《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《2630》,《暦日2》,十四／,ひのえむま,おさん,水,ひかんニなる,大みやう めつもん わうまう
《2640》,《暦日0》,十五／,ひのとのひつし,ひらく,,　,●
《2650》,《暦日2》,十六／,つちのえさる,とつ,土,社日,天しや よろつよし
《2660》,《暦日0》,十七／,つちのとのとり,たつ,,　,大みやう くゑ日 天火 らうしやく 下しきむまの時
《2670》,《暦日2》,十八／,かのえいぬ,のそく,金,　,大みやう ちいみ
《2680》,《暦日0》,十九／,かのとのい,みつ,,　,神よし 大みやう ちう日 ふく日
《2690》,《暦日2》,廿／,みつのえね,たいら,木,八せんのはしめ,神よし きしく 大くわ 地火
《2700》,《暦日0》,廿一／,みつのとのうし,さたん,,ま日,神よし  たねまき 竹木こり  つめとりよし
《2710》,《暦日2》,廿二／,きのえとら,とる,水,　,きこ  かまぬり 田かり  つめとりよし
《2720》,《暦日0》,廿三／,きのとのう,やふる,,　,くゑ日 ふく日
《2730》,《暦日2》,廿四／,ひのえたつ,あやふ,土,ま日,大みやう
《2740》,《暦日0》,廿五／,ひのとのみ,なる,,　,十し
《2750》,《暦日2》,廿六／,つちのえむま,おさん,火,ま日,めつもん
《2760》,《暦日0》,廿七／,つちのとのひつし,おさん,,　,神よし 大みやう 大くわ ふく日  かといてよし
《2770》,《節中》,寒露九月せつひつしの七刻ニ入日の出より日入まて,昼四十七刻余/夜五十二刻余,六より六まて,昼五十二刻余/夜四十七刻余
《2780》,《暦日2》,廿八／,かのえさる,ひらく,木,　,大みやう
《2790》,《暦日0》,廿九／,かのとのとり,とつ,,　,神よし 大みやう  いちたちよし
《2800》,《暦日1》,卅／,みつのえいぬ,たつ,水,ま日, 田かりよし
《2810》,《月序》,九月,小,建,戊戌,心宿　尾　火よう
《2820》,《暦日1》,一／,みつのとのい,のそく,水,八せんのおはり,ちう日  むきまきよし
《2830》,《暦日2》,二／,きのえね,みつ,金,　,きこ 天火 らうしやく
《2840》,《暦日0》,三／,きのとのうし,たいら,,　,十し
《2850》,《暦日2》,四／,ひのえとら,さたん,火,　,●
《2860》,《暦日0》,五／,ひのとのう,とる,,　,神よし  田かりよし
《2870》,《暦日2》,六／,つちのえたつ,やふる,木,　,五む日 ふく日
《2880》,《暦日0》,七／,つちのとのみ,あやふ,,　,神よし ちいみ ちう日 ふく日 下しきひつしの時
《2890》,《暦日2》,八／,かのえむま,なる,土,　,神よし  みそすつくりよし
《2900》,《暦日0》,九／,かのとのひつし,おさん,,とようとりの七刻ニ入,大みやう 大くわ  たねまき 田かりよし
《2910》,《暦日2》,十／,みつのえさる,ひらく,金,　,大みやう  むきまきよし
《2920》,《暦日0》,十一／,みつのとのとり,とつ,,　,神よし 大みやう
《2930》,《暦日1》,十二／,きのえいぬ,たつ,火,　,くゑ日
《2940》,《節中》,霜降九月中いぬの三刻日の出より日入まて,昼四十四刻余/夜五十五刻余,六より六まて,昼四十九刻余/夜五十刻余
《2950》,《暦日1》,十三／,きのとのい,のそく,火,　,ちう日  田かりよし
《2960》,《暦日2》,十四／,ひのえね,みつ,水,　,きこ 天火 らうしやく
《2970》,《暦日0》,十五／,ひのとのうし,たいら,,　,十し
《2980》,《暦日2》,十六／,つちのえとら,さたん,土,　,●
《2990》,《暦日0》,十七／,つちのとのう,とる,,　,神よし 大みやう ふく日  竹木こりよし
《3000》,《暦日2》,十八／,かのえたつ,やふる,金,　,きしく
《3010》,《暦日0》,十九／,かのとのみ,あやふ,,　,ちいみ ちう日 下しきひつしの時
《3020》,《暦日2》,廿／,みつのえむま,なる,木,　,神よし 大みやう  けんふくよし
