《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《2340》,《暦日2》,十七／,みつのえとら,やふる,金,　,大みやう 月とく  やたて  つめとりよし
《2350》,《暦日0》,十八／,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
《2360》,《暦日2》,十九／,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
《2370》,《暦日0》,廿／,きのとのみ,おさん,,二百十日,神よし 大みやう 大くわ ちう日  けんふくよし
《2380》,《暦日2》,廿一／,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
《2390》,《暦日0》,廿二／,ひのとのひつし,とつ,,　,神よし 母倉 月とく  いちたちよし
《2400》,《暦日2》,廿三／,つちのえさる,たつ,土,　,天しや よろつよし
《2410》,《暦日0》,廿四／,つちのとのとり,たつ,,　,大みやう くゑ日 天火 らうしやく 下しきむまの時
《2420》,《節中》,白露八月せつひつしの六刻ニ入日の出より日入まて,昼五十二刻半/夜四十七刻半,六より六まて,昼五十七刻半余/夜四十二刻余
《2430》,《暦日2》,廿五／,かのえいぬ,のそく,金,　,大みやう 天おん 母倉 月とく ちいみ
《2440》,《暦日0》,廿六／,かのとのい,みつ,,　,神よし 大みやう 天おん ちう日 ふく日
《2450》,《暦日2》,廿七／,みつのえね,たいら,木,八せんのはしめ,神よし きしく 天おん 大くわ 地火
《2460》,《暦日0》,廿八／,みつのとのうし,さたん,,ま日,神よし 天おん 母倉  たねまき 竹木こり  つめとりよし
《2470》,《暦日2》,廿九／,きのえとら,とる,水,　,きこ  かまぬり 田かり  つめとりよし
《2480》,《暦日0》,卅／,きのとのう,やふる,,二百廿日,くゑ日 ふく日
《2490》,《月序》,八月,小,建,乙酉,房宿　翼　火よう
《2500》,《暦日2》,一／,ひのえたつ,あやふ,土,ま日,大みやう 母倉
《2510》,《暦日0》,二／,ひのとのみ,なる,,　,十し
《2520》,《暦日2》,三／,つちのえむま,おさん,火,ま日,めつもん
《2530》,《暦日0》,四／,つちのとのひつし,ひらく,,　,●
《2540》,《暦日2》,五／,かのえさる,とつ,木,　,神よし 大みやう 月とく  入学よし
《2550》,《暦日0》,六／,かのとのとり,たつ,,　,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
《2560》,《暦日2》,七／,みつのえいぬ,のそく,水,ま日,母倉 ちいみ  たねまきよし
《2570》,《暦日0》,八／,みつのとのい,みつ,,八せんのおはり/ひかんニなる,ちう日  いちたちよし
《2580》,《暦日1》,九／,きのえね,たいら,金,　,天おん 大くわ 地火  わたましよし
《2590》,《節中》,秋分八月中いぬの三刻日の出より日入まて,昼五十刻余/夜四十九刻半余,六より六まて,昼五十五刻余/夜四十四刻半余
《2600》,《暦日1》,十／,きのとのうし,さたん,金,　,神よし 天おん 母倉 月とく ふく日  つめとりよし
《2610》,《暦日2》,十一／,ひのえとら,とる,火,　,天おん きこ わうまう  つめとりよし
《2620》,《暦日0》,十二／,ひのとのう,やふる,,　,天おん  田かりよし
《2630》,《暦日2》,十三／,つちのえたつ,あやふ,木,社日,天おん 母倉 五む日  みそすつくりよし
《2640》,《暦日0》,十四／,つちのとのみ,なる,,　,十し
