《1826-0000》,# カンマ区切りテキスト形式です。
《1826-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1826-0020》,# ・表の区画内での改行は“/”で表記します。
《1826-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1826-1340》,《暦日1》,十五／,ひのえとら,おさん,火,　,天おん 母倉 ふく日 めつもん  つめとりよし
《1826-1350》,《食記》,月そく皆既
《1826-1360》,《暦日1》,十六／,ひのとのう,ひらく,火,　,神よし 天おん 母倉  わたましよし
《1826-1370》,《暦日1》,十七／,つちのえたつ,とつ,木,　,五む日 くゑ日
《1826-1380》,《節中》,小満四月中たつの三刻日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《1826-1390》,《暦日1》,十八／,つちのとのみ,たつ,木,　,●
《1826-1400》,《暦日2》,十九／,かのえむま,のそく,土,　,神よし 月とく  さひらき みそすつくりよし
《1826-1410》,《暦日0》,廿／,かのとのひつし,みつ,,　,大みやう くゑ日
《1826-1420》,《暦日2》,廿一／,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
《1826-1430》,《暦日0》,廿二／,みつのとのとり,さたん,,　,十し
《1826-1440》,《暦日2》,廿三／,きのえいぬ,とる,火,　, やたて くらたてよし
《1826-1450》,《暦日0》,廿四／,きのとのい,やふる,,　,月とく ちう日
《1826-1460》,《暦日2》,廿五／,ひのえね,あやふ,水,　,ふく日  さひらきよし
《1826-1470》,《暦日0》,廿六／,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
《1826-1480》,《暦日2》,廿七／,つちのえとら,おさん,土,　,母倉 めつもん  たねまき  つめとりよし
《1826-1490》,《暦日0》,廿八／,つちのとのう,ひらく,,　,神よし 大みやう 天おん 母倉  入学よし
《1826-1500》,《暦日2》,廿九／,かのえたつ,とつ,金,　,天おん 月とく  けんふくよし
《1826-1510》,《暦日0》,卅／,かのとのみ,たつ,,　,●
《1826-1520》,《月序》,五月,小,建,甲午,室宿　室　火よう
《1826-1530》,《暦日2》,一／,みつのえむま,のそく,木,　,神よし 大みやう 天おん ふく日
《1826-1540》,《暦日0》,二／,みつのとのひつし,のそく,,　,天おん ふく日  田うへよし
《1826-1550》,《節中》,芒種五月せつむまの八刻ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1826-1560》,《暦日2》,三／,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
《1826-1570》,《暦日0》,四／,きのとのとり,たいら,,　,神よし めつもん 地火
《1826-1580》,《暦日2》,五／,ひのえいぬ,さたん,土,　,月とく 五む日  むきかりよし
《1826-1590》,《暦日0》,六／,ひのとのい,とる,,　,大みやう ちう日 ふく日
《1826-1600》,《暦日2》,七／,つちのえね,やふる,火,　,●
《1826-1610》,《暦日0》,八／,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
《1826-1620》,《暦日2》,九／,かのえとら,なる,木,　,母倉 きこ  井ほり  つめとりよし
《1826-1630》,《暦日0》,十／,かのとのう,おさん,,　,母倉 月とく ちいみ 大くわ  ものたちよし
《1826-1640》,《暦日2》,十一／,みつのえたつ,ひらく,水,入梅,きしく 大みやう 五む日
《1826-1650》,《暦日0》,十二／,みつのとのみ,とつ,,天一天上,十し
《1826-1660》,《暦日2》,十三／,きのえむま,たつ,金,　,天しや よろつよし
《1826-1670》,《暦日0》,十四／,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
