«1755-0000»,【 カンマ区切りテキスト形式です。】
«1755-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1755-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1755-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1755-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1755-0050»,【 外部リンク　】
«1755-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/48 ～ 53】
«1755-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1755h　(翻刻編集終了データを表成型して表示します)】
«1755-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1755ht (翻刻編集中データを表成型して表示します)】
«1755-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1755-0100»,«版元»,出版地○○,出版元□□□,　
«1755-1680»,«節中»,夏至五月中みの二刻日の出より日入まて,昼六十刻|夜四十刻,六より六まて,昼六十五刻|夜三十五刻
«1755-1690»,«暦日1»,十四〳,ひのとのい,とる,土,　,大みやう ちう日 ふく日
«1755-1700»,«暦日2»,十五〳,つちのえね,やふる,火,　,●
«1755-1710»,«暦日0»,十六〳,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
«1755-1720»,«暦日2»,十七〳,かのえとら,なる,木,　,母倉 きこ  井ほり  つめとりよし
«1755-1730»,«暦日0»,十八〳,かのとのう,おさん,,　,母倉 月とく ちいみ 大くわ  ものたちよし
«1755-1740»,«暦日2»,十九〳,みつのえたつ,ひらく,水,　,大みやう 五む日
«1755-1750»,«暦日0»,廿〳,みつのとのみ,とつ,,天一天上,十し
«1755-1760»,«暦日2»,廿一〳,きのえむま,たつ,金,　,天しや よろつよし
«1755-1770»,«暦日0»,廿二〳,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
«1755-1780»,«暦日2»,廿三〳,ひのえさる,みつ,火,はんけしやう,神よし 月とく  入学 いちたちよし
«1755-1790»,«暦日0»,廿四〳,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
«1755-1800»,«暦日2»,廿五〳,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
«1755-1810»,«暦日0»,廿六〳,つちのとのい,とる,,　,神よし ちう日
«1755-1820»,«暦日2»,廿七〳,かのえね,やふる,土,　,●
«1755-1830»,«暦日0»,廿八〳,かのとのうし,やふる,,　,十し
«1755-1840»,«節中»,小暑六月せつひつしの八刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1755-1850»,«暦日1»,廿九〳,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
«1755-1860»,«月序»,六月,大,建,癸未,亢宿　壁　水よう
«1755-1870»,«暦日1»,一〳,みつのとのう,なる,金,　,神よし 天火 らうしやく
«1755-1880»,«暦日2»,二〳,きのえたつ,おさん,火,　,大みやう 月とく めつもん  わたましよし
«1755-1890»,«暦日0»,三〳,きのとのみ,ひらく,,　,大みやう 母倉 ちう日
«1755-1900»,«暦日2»,四〳,ひのえむま,とつ,水,　,●
«1755-1910»,«暦日0»,五〳,ひのとのひつし,たつ,,　,くゑ日
«1755-1920»,«暦日2»,六〳,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
«1755-1930»,«暦日0»,七〳,つちのとのとり,みつ,,　,神よし 大みやう 天おん 月とく ちいみ ふく日
«1755-1940»,«暦日2»,八〳,かのえいぬ,たいら,金,初伏,大みやう 天おん 大くわ 地火
«1755-1950»,«暦日0»,九〳,かのとのい,さたん,,　,大みやう 天おん ちう日
«1755-1960»,«暦日2»,十〳,みつのえね,とる,木,八せんのはしめ,きしく 天おん きこ 下しきたつの時
«1755-1970»,«暦日0»,十一〳,みつのとのうし,やふる,,ま日|とようとりの八刻ニ入,十し
«1755-1980»,«暦日2»,十二〳,きのえとら,あやふ,水,　,母倉 月とく  やたて  つめとりよし
«1755-1990»,«暦日0»,十三〳,きのとのう,なる,,　,神よし 母倉 天火 らうしやく
«1755-2000»,«暦日1»,十四〳,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
«1755-2010»,«節中»,大暑六月中いぬの四刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1755-2020»,«暦日1»,十五〳,ひのとのみ,ひらく,土,　,くゑ日 ちう日
«1755-2030»,«暦日2»,十六〳,つちのえむま,とつ,火,ま日,●
«1755-2040»,«暦日0»,十七〳,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
«1755-2050»,«暦日2»,十八〳,かのえさる,のそく,木,中伏,神よし 大みやう  くさかりよし
«1755-2060»,«暦日0»,十九〳,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
«1755-2070»,«暦日2»,廿〳,みつのえいぬ,たいら,水,ま日,大くわ 地火
«1755-2080»,«暦日0»,廿一〳,みつのとのい,さたん,,八せんのおはり,ちう日
«1755-2090»,«暦日2»,廿二〳,きのえね,とる,金,　,天おん 月とく きこ わうまう 下しきたつの時
«1755-2100»,«暦日0»,廿三〳,きのとのうし,やふる,,　,十し
«1755-2110»,«暦日2»,廿四〳,ひのえとら,あやふ,火,　,天おん  わたまし  つめとりよし
«1755-2120»,«暦日0»,廿五〳,ひのとのう,なる,,　,神よし 天おん 天火 らうしやく
«1755-2130»,«暦日2»,廿六〳,つちのえたつ,おさん,木,　,天おん 五む日 ふく日 めつもん
«1755-2140»,«暦日0»,廿七〳,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
«1755-2150»,«暦日2»,廿八〳,かのえむま,とつ,土,　,●
«1755-2160»,«暦日0»,廿九〳,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
«1755-2170»,«暦日1»,卅〳,みつのえさる,たつ,金,　,神よし 大みやう 月とく 下しきみの時
«1755-2180»,«節中»,立秋七月せつ今暁うしの一刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1755-2190»,«月序»,七月,小,建,甲申,氐宿　婁　金よう
«1755-2200»,«暦日1»,一〳,みつのとのとり,のそく,金,　,十し
«1755-2210»,«暦日2»,二〳,きのえいぬ,みつ,火,　,母倉 ふく日  くらたてよし
«1755-2220»,«暦日0»,三〳,きのとのい,たいら,,　,ちう日 めつもん 地火
«1755-2230»,«暦日2»,四〳,ひのえね,さたん,水,　, 田かりよし
«1755-2240»,«暦日0»,五〳,ひのとのうし,とる,,　,●
«1755-2250»,«暦日2»,六〳,つちのえとら,やふる,土,　, たねまき  つめとりよし
«1755-2260»,«暦日0»,七〳,つちのとのう,あやふ,,　,神よし 大みやう 天おん  みそすつくりよし
«1755-2270»,«暦日2»,八〳,かのえたつ,なる,金,末伏,きしく 天おん 母倉 ちいみ ふく日 わうまう  かといてよし
«1755-2280»,«暦日0»,九〳,かのとのみ,おさん,,　,天おん 大くわ ちう日
«1755-2290»,«暦日2»,十〳,みつのえむま,ひらく,木,　,神よし 大みやう 天おん 月とく 天火 らうしやく
