«1789-0000»,【 カンマ区切りテキスト形式です。】
«1789-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1789-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1789-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1789-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1789-0050»,【 外部リンク　】
«1789-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/211 ～ 216】
«1789-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1789h　(翻刻編集終了データを表成型して表示します)】
«1789-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1789ht (翻刻編集中データを表成型して表示します)】
«1789-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1789-0100»,«版元»,出版地○○,出版元□□□,　
«1789-1700»,«暦日2»,十六〳,みつのえさる,みつ,金,入梅,神よし 大みやう  くさかりよし
«1789-1710»,«暦日0»,十七〳,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1789-1720»,«暦日2»,十八〳,きのえいぬ,さたん,火,　, わたまし くらたてよし
«1789-1730»,«暦日0»,十九〳,きのとのい,とる,,　,ちう日  むきかり 田うへよし
«1789-1740»,«暦日2»,廿〳,ひのえね,やふる,水,　,●
«1789-1750»,«暦日0»,廿一〳,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
«1789-1760»,«暦日2»,廿二〳,つちのえとら,なる,土,　,母倉 きこ  みそすつくり  つめとりよし
«1789-1770»,«暦日0»,廿三〳,つちのとのう,おさん,,　,大みやう 天おん 母倉 ちいみ 大くわ
«1789-1780»,«暦日2»,廿四〳,かのえたつ,ひらく,金,　,天おん  けんふく かといてよし
«1789-1790»,«暦日0»,廿五〳,かのとのみ,とつ,,　,十し
«1789-1800»,«暦日2»,廿六〳,みつのえむま,たつ,木,　,大みやう 天おん 下しきうの時
«1789-1810»,«暦日0»,廿七〳,みつのとのひつし,のそく,,　,天おん ふく日  田うへよし
«1789-1820»,«暦日1»,廿八〳,きのえさる,みつ,水,十方くれニ入,大みやう わうまう
«1789-1830»,«節中»,夏至五月中とりの五刻日の出より日入まて,昼六十刻|夜四十刻,六より六まて,昼六十五刻|夜三十五刻
«1789-1840»,«暦日1»,廿九〳,きのとのとり,たいら,水,　,神よし めつもん 地火
«1789-1850»,«月序»,六月,大,建,辛未,昴宿　室　火よう
«1789-1860»,«暦日2»,一〳,ひのえいぬ,さたん,土,　,さい下しき 月とく 五む日  むきかりよし
«1789-1870»,«暦日0»,二〳,ひのとのい,とる,,　,大みやう ちう日 ふく日
«1789-1880»,«暦日2»,三〳,つちのえね,やふる,火,　,●
«1789-1890»,«暦日0»,四〳,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
«1789-1900»,«暦日2»,五〳,かのえとら,なる,木,　,母倉 きこ  井ほり  つめとりよし
«1789-1910»,«暦日0»,六〳,かのとのう,おさん,,　,母倉 月とく ちいみ 大くわ  ものたちよし
«1789-1920»,«暦日2»,七〳,みつのえたつ,ひらく,水,　,大みやう 五む日
«1789-1930»,«暦日0»,八〳,みつのとのみ,とつ,,天一天上,十し
«1789-1940»,«暦日2»,九〳,きのえむま,たつ,金,はんけしやう,天しや よろつよし
«1789-1950»,«暦日0»,十〳,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
«1789-1960»,«暦日2»,十一〳,ひのえさる,みつ,火,　,神よし きしく 月とく  入学 いちたちよし
«1789-1970»,«暦日0»,十二〳,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
«1789-1980»,«暦日2»,十三〳,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
«1789-1990»,«暦日0»,十四〳,つちのとのい,さたん,,　,月とく ちう日 ふく日  ふねのりよし
«1789-2000»,«節中»,小暑六月せつ今夜ねの二刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1789-2010»,«暦日2»,十五〳,かのえね,とる,土,　,きこ 下しきたつの時
«1789-2020»,«暦日0»,十六〳,かのとのうし,やふる,,　,十し
«1789-2030»,«暦日2»,十七〳,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
«1789-2040»,«暦日0»,十八〳,みつのとのう,なる,,　,神よし 天火 らうしやく
«1789-2050»,«暦日2»,十九〳,きのえたつ,おさん,火,　,大みやう 月とく めつもん  わたましよし
«1789-2060»,«暦日0»,廿〳,きのとのみ,ひらく,,　,大みやう 母倉 ちう日
«1789-2070»,«暦日2»,廿一〳,ひのえむま,とつ,水,　,●
«1789-2080»,«暦日0»,廿二〳,ひのとのひつし,たつ,,　,くゑ日
«1789-2090»,«暦日2»,廿三〳,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
«1789-2100»,«暦日0»,廿四〳,つちのとのとり,みつ,,　,神よし 大みやう 天おん 月とく ちいみ ふく日
«1789-2110»,«暦日2»,廿五〳,かのえいぬ,たいら,金,初伏,大みやう 天おん 大くわ 地火
«1789-2120»,«暦日0»,廿六〳,かのとのい,さたん,,　,大みやう 天おん ちう日
«1789-2130»,«暦日2»,廿七〳,みつのえね,とる,木,八せんのはしめ|とよう今暁とらの三刻ニ入,天おん きこ 下しきたつの時
«1789-2140»,«暦日0»,廿八〳,みつのとのうし,やふる,,ま日,十し
«1789-2150»,«暦日2»,廿九〳,きのえとら,あやふ,水,　,母倉 月とく  やたて  つめとりよし
«1789-2160»,«暦日0»,卅〳,きのとのう,なる,,　,神よし 母倉 天火 らうしやく
«1789-2170»,«節中»,大暑六月中今暁とらの七刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1789-2180»,«月序»,閏六月,小,隨節用之,奎　木よう
«1789-2190»,«暦日2»,一〳,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
«1789-2200»,«暦日0»,二〳,ひのとのみ,ひらく,,　,くゑ日 ちう日
«1789-2210»,«暦日2»,三〳,つちのえむま,とつ,火,ま日,●
«1789-2220»,«暦日0»,四〳,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
«1789-2230»,«暦日2»,五〳,かのえさる,のそく,木,中伏,神よし 大みやう  くさかりよし
«1789-2240»,«暦日0»,六〳,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
«1789-2250»,«暦日2»,七〳,みつのえいぬ,たいら,水,ま日,大くわ 地火 わうまう
«1789-2260»,«暦日0»,八〳,みつのとのい,さたん,,八せんのおはり,ちう日
«1789-2270»,«暦日2»,九〳,きのえね,とる,金,　,きしく 天おん 月とく きこ 下しきたつの時
«1789-2280»,«暦日0»,十〳,きのとのうし,やふる,,　,十し
«1789-2290»,«暦日2»,十一〳,ひのえとら,あやふ,火,　,天おん  わたまし  つめとりよし
«1789-2300»,«暦日0»,十二〳,ひのとのう,なる,,　,神よし 天おん 天火 らうしやく
«1789-2310»,«暦日2»,十三〳,つちのえたつ,おさん,木,　,天おん 五む日 ふく日 めつもん
«1789-2320»,«暦日0»,十四〳,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
«1789-2330»,«暦日1»,十五〳,かのえむま,ひらく,土,末伏,神よし ふく日 天火 らうしやく
«1789-2340»,«節中»,立秋七月せつみの四刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1789-2350»,«暦日1»,十六〳,かのとのひつし,とつ,土,　,大みやう 母倉  ものたちよし
«1789-2360»,«暦日2»,十七〳,みつのえさる,たつ,金,　,神よし 大みやう 月とく 下しきみの時
«1789-2370»,«暦日0»,十八〳,みつのとのとり,のそく,,　,十し
«1789-2380»,«暦日2»,十九〳,きのえいぬ,みつ,火,　,母倉 ふく日  くらたてよし
«1789-2390»,«暦日0»,廿〳,きのとのい,たいら,,　,ちう日 めつもん 地火
«1789-2400»,«暦日2»,廿一〳,ひのえね,さたん,水,　, 田かりよし
«1789-2410»,«暦日0»,廿二〳,ひのとのうし,とる,,　,●
«1789-2420»,«暦日2»,廿三〳,つちのえとら,やふる,土,　,わうまう  たねまき  つめとりよし
«1789-2430»,«暦日0»,廿四〳,つちのとのう,あやふ,,　,神よし 大みやう 天おん  みそすつくりよし
«1789-2440»,«暦日2»,廿五〳,かのえたつ,なる,金,　,天おん 母倉 ちいみ ふく日  かといてよし
«1789-2450»,«暦日0»,廿六〳,かのとのみ,おさん,,　,天おん 大くわ ちう日
«1789-2460»,«暦日2»,廿七〳,みつのえむま,ひらく,木,　,神よし 大みやう 天おん 月とく 天火 らうしやく
«1789-2470»,«暦日0»,廿八〳,みつのとのひつし,とつ,,　,天おん 母倉
«1789-2480»,«暦日1»,廿九〳,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
«1789-2490»,«月序»,七月,小,建,壬申,畢宿　婁　金よう
«1789-2500»,«暦日1»,一〳,きのとのとり,のそく,水,　,十し
