«1794-0000»,【 カンマ区切りテキスト形式です。】
«1794-1310»,«暦日0»,十〳,ひのとのう,ひらく,,　,さい下しき 神よし 天おん 母倉  わたましよし
«1794-1320»,«暦日2»,十一〳,つちのえたつ,とつ,木,　,五む日 くゑ日
«1794-1330»,«暦日0»,十二〳,つちのとのみ,たつ,,　,●
«1794-1340»,«暦日2»,十三〳,かのえむま,のそく,土,　,神よし 月とく  さひらき みそすつくりよし
«1794-1350»,«暦日0»,十四〳,かのとのひつし,みつ,,　,大みやう くゑ日
«1794-1360»,«暦日2»,十五〳,みつのえさる,たいら,金,　,大みやう ちいみ 大くわ ふく日 地火 わうまう
«1794-1370»,«暦日0»,十六〳,みつのとのとり,さたん,,　,十し
«1794-1380»,«暦日2»,十七〳,きのえいぬ,とる,火,　, やたて くらたてよし
«1794-1390»,«暦日0»,十八〳,きのとのい,やふる,,　,月とく ちう日
«1794-1400»,«暦日2»,十九〳,ひのえね,あやふ,水,　,ふく日  さひらきよし
«1794-1410»,«暦日0»,廿〳,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
«1794-1420»,«暦日2»,廿一〳,つちのえとら,おさん,土,　,母倉 めつもん  たねまき  つめとりよし
«1794-1430»,«暦日0»,廿二〳,つちのとのう,ひらく,,　,神よし 大みやう 天おん 母倉  入学よし
«1794-1440»,«暦日1»,廿三〳,かのえたつ,とつ,金,　,天おん 月とく  けんふくよし
«1794-1450»,«節中»,小満四月中むまの七刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1794-1460»,«暦日1»,廿四〳,かのとのみ,たつ,金,　,●
«1794-1470»,«暦日2»,廿五〳,みつのえむま,のそく,木,　,神よし 大みやう 天おん ふく日
«1794-1480»,«暦日0»,廿六〳,みつのとのひつし,みつ,,　,くゑ日
«1794-1490»,«暦日2»,廿七〳,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
«1794-1500»,«暦日0»,廿八〳,きのとのとり,さたん,,　,十し
«1794-1510»,«暦日1»,廿九〳,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
«1794-1520»,«月序»,五月,小,建,庚午,參宿　井　木よう
«1794-1530»,«暦日1»,一〳,ひのとのい,やふる,土,　,大みやう ちう日
«1794-1540»,«暦日2»,二〳,つちのえね,あやふ,火,　,きしく  けんふくよし
«1794-1550»,«暦日0»,三〳,つちのとのうし,なる,,　,きこ  つめとりよし
«1794-1560»,«暦日2»,四〳,かのえとら,おさん,木,　,母倉 月とく めつもん  さひらき  つめとりよし
«1794-1570»,«暦日0»,五〳,かのとのう,ひらく,,　,神よし 母倉  やたて ものたちよし
«1794-1580»,«暦日2»,六〳,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
«1794-1590»,«暦日0»,七〳,みつのとのみ,たつ,,天一天上,●
«1794-1600»,«暦日2»,八〳,きのえむま,のそく,金,　,天しや よろつよし
«1794-1610»,«暦日0»,九〳,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
«1794-1620»,«節中»,芒種五月せつとりの四刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1794-1630»,«暦日2»,十〳,ひのえさる,みつ,火,　,神よし 月とく  入学 いちたちよし
«1794-1640»,«暦日0»,十一〳,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
«1794-1650»,«暦日2»,十二〳,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
«1794-1660»,«暦日0»,十三〳,つちのとのい,とる,,　,神よし ちう日
«1794-1670»,«暦日2»,十四〳,かのえね,やふる,土,　,●
«1794-1680»,«暦日0»,十五〳,かのとのうし,あやふ,,　,神よし 月とく 五む日  つめとりよし
«1794-1690»,«暦日2»,十六〳,みつのえとら,なる,金,入梅,大みやう 母倉 きこ  くさかり  つめとりよし
«1794-1700»,«暦日0»,十七〳,みつのとのう,おさん,,　,母倉 ちいみ 大くわ ふく日
«1794-1710»,«暦日2»,十八〳,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
«1794-1720»,«暦日0»,十九〳,きのとのみ,とつ,,　,十し
«1794-1730»,«暦日2»,廿〳,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
«1794-1740»,«暦日0»,廿一〳,ひのとのひつし,のそく,,　,神よし ふく日
«1794-1750»,«暦日2»,廿二〳,つちのえさる,みつ,土,　,神よし  入学よし
«1794-1760»,«暦日0»,廿三〳,つちのとのとり,たいら,,　,神よし 大みやう 天おん めつもん 地火
«1794-1770»,«暦日1»,廿四〳,かのえいぬ,さたん,金,　,大みやう 天おん わうまう  かといてよし
«1794-1780»,«節中»,夏至五月中今夜ねの一刻日の出より日入まて,昼六十刻|夜四十刻,六より六まて,昼六十五刻|夜三十五刻
