«1747-0000»,【 カンマ区切りテキスト形式です。】
«1747-2210»,«暦日2»,四〳,みつのえたつ,なる,水,　,さい下しき 大みやう 五む日 ちいみ
«1747-2220»,«暦日0»,五〳,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
«1747-2230»,«暦日2»,六〳,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
«1747-2240»,«暦日0»,七〳,きのとのひつし,とつ,,　,大みやう 五む日
«1747-2250»,«暦日2»,八〳,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
«1747-2260»,«暦日0»,九〳,ひのとのとり,のそく,,　,十し
«1747-2270»,«暦日2»,十〳,つちのえいぬ,みつ,木,　,わうまう  くらたて かまぬりよし
«1747-2280»,«暦日0»,十一〳,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
«1747-2290»,«暦日2»,十二〳,かのえね,さたん,土,　,神よし ふく日
«1747-2300»,«暦日0»,十三〳,かのとのうし,とる,,　,●
«1747-2310»,«暦日2»,十四〳,みつのえとら,やふる,金,　,大みやう  やたて  つめとりよし
«1747-2320»,«暦日0»,十五〳,みつのとのう,あやふ,,　
«1747-2330»,«食記»,月帯そく
«1747-2340»,«暦日2»,十六〳,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
«1747-2350»,«暦日0»,十七〳,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
«1747-2360»,«節中»,処暑七月中みの三刻日の出より日入まて,昼五十五刻余|夜四十四刻余,六より六まて,昼六十刻余|夜三十九刻余
«1747-2370»,«暦日2»,十八〳,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
«1747-2380»,«暦日0»,十九〳,ひのとのひつし,とつ,,　,神よし  いちたちよし
«1747-2390»,«暦日2»,廿〳,つちのえさる,たつ,土,　,天しや よろつよし
«1747-2400»,«暦日0»,廿一〳,つちのとのとり,のそく,,　,十し
«1747-2410»,«暦日2»,廿二〳,かのえいぬ,みつ,金,　,大みやう ふく日
«1747-2420»,«暦日0»,廿三〳,かのとのい,たいら,,　,神よし 大みやう ちう日 めつもん 地火
«1747-2430»,«暦日2»,廿四〳,みつのえね,さたん,木,八せんのはしめ,神よし  くらたてよし
«1747-2440»,«暦日0»,廿五〳,みつのとのうし,とる,,ま日,●
«1747-2450»,«暦日2»,廿六〳,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
«1747-2460»,«暦日0»,廿七〳,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
«1747-2470»,«暦日2»,廿八〳,ひのえたつ,なる,土,二百十日|ま日,大みやう ちいみ  くさかりよし
«1747-2480»,«暦日0»,廿九〳,ひのとのみ,おさん,,　,大くわ ちう日  ものたちよし
«1747-2490»,«暦日1»,卅〳,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
«1747-2500»,«月序»,八月,小,建,己酉,觜宿　尾　火よう
«1747-2510»,«暦日1»,一〳,つちのとのひつし,とつ,火,　,神よし 大みやう  みそすつくりよし
«1747-2520»,«暦日1»,二〳,かのえさる,とつ,木,　,神よし 大みやう  入学よし
«1747-2530»,«節中»,白露八月せつさるの初刻ニ入日の出より日入まて,昼五十二刻余|夜四十七刻余,六より六まて,昼五十七刻余|夜四十二刻余
«1747-2540»,«暦日1»,三〳,かのとのとり,たつ,木,　,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
«1747-2550»,«暦日2»,四〳,みつのえいぬ,のそく,水,ま日,ちいみ  たねまきよし
«1747-2560»,«暦日0»,五〳,みつのとのい,みつ,,八せんのおはり,ちう日  いちたちよし
«1747-2570»,«暦日2»,六〳,きのえね,たいら,金,　,大くわ 地火  わたましよし
«1747-2580»,«暦日0»,七〳,きのとのうし,さたん,,　,神よし ふく日  つめとりよし
«1747-2590»,«暦日2»,八〳,ひのえとら,とる,火,二百廿日,きこ  つめとりよし
«1747-2600»,«暦日0»,九〳,ひのとのう,やふる,,　, 田かりよし
«1747-2610»,«暦日2»,十〳,つちのえたつ,あやふ,木,　,五む日  みそすつくりよし
«1747-2620»,«暦日0»,十一〳,つちのとのみ,なる,,　,十し
«1747-2630»,«暦日2»,十二〳,かのえむま,おさん,土,　,めつもん  竹木こりよし
«1747-2640»,«暦日0»,十三〳,かのとのひつし,ひらく,,　,●
«1747-2650»,«暦日2»,十四〳,みつのえさる,とつ,金,　,神よし 大みやう
«1747-2660»,«暦日0»,十五〳,みつのとのとり,たつ,,　,大みやう 天火 らうしやく 下しきむまの時
«1747-2670»,«暦日2»,十六〳,きのえいぬ,のそく,火,　,ちいみ  竹木こりよし
«1747-2680»,«暦日0»,十七〳,きのとのい,みつ,,　,ちう日 ふく日  入学よし
«1747-2690»,«節中»,秋分八月中いぬの五刻日の出より日入まて,昼五十刻|夜五十刻,六より六まて,昼五十五刻|夜四十五刻
«1747-2700»,«暦日2»,十八〳,ひのえね,たいら,水,　,きしく 大くわ 地火
«1747-2710»,«暦日0»,十九〳,ひのとのうし,さたん,,ひかんニなる,大みやう わうまう  ものたち  つめとりよし
«1747-2720»,«暦日2»,廿〳,つちのえとら,とる,土,社日,きこ  田かり  つめとりよし
«1747-2730»,«暦日0»,廿一〳,つちのとのう,やふる,,　,大みやう
«1747-2740»,«暦日2»,廿二〳,かのえたつ,あやふ,金,　
«1747-2750»,«暦日0»,廿三〳,かのとのみ,なる,,　,十し
«1747-2760»,«暦日2»,廿四〳,みつのえむま,おさん,木,　,大みやう めつもん
«1747-2770»,«暦日0»,廿五〳,みつのとのひつし,ひらく,,　,●
«1747-2780»,«暦日2»,廿六〳,きのえさる,とつ,水,十方くれニ入,神よし 大みやう  竹木こり 田かりよし
«1747-2790»,«暦日0»,廿七〳,きのとのとり,たつ,,　,ふく日 天火 らうしやく 下しきむまの時
«1747-2800»,«暦日2»,廿八〳,ひのえいぬ,のそく,土,　,五む日 ちいみ
«1747-2810»,«暦日0»,廿九〳,ひのとのい,みつ,,　,大みやう ちう日  入学よし
«1747-2820»,«月序»,九月,大,建,庚戌,參宿　箕　水よう
«1747-2830»,«暦日2»,一〳,つちのえね,たいら,火,　,大くわ 地火
«1747-2840»,«暦日0»,二〳,つちのとのうし,さたん,,　, かまぬり  つめとりよし
«1747-2850»,«暦日1»,三〳,かのえとら,とる,木,　,きこ  つめとりよし
