«1703-0000»,【 カンマ区切りテキスト形式です。】
«1703-2720»,«暦日0»,六〳,つちのとのとり,とつ,,　,神よし 大みやう ふく日  たねまきよし
«1703-2730»,«暦日2»,七〳,かのえいぬ,たつ,金,　,大みやう くゑ日
«1703-2740»,«暦日0»,八〳,かのとのい,のそく,,　,神よし 大みやう ちう日  田かりよし
«1703-2750»,«暦日2»,九〳,みつのえね,みつ,木,八せんのはしめ|とようひつしの六刻ニ入,神よし きしく きこ 天火 らうしやく
«1703-2760»,«暦日0»,十〳,みつのとのうし,たいら,,ま日,十し
«1703-2770»,«暦日2»,十一〳,きのえとら,さたん,水,　,●
«1703-2780»,«暦日0»,十二〳,きのとのう,とる,,九月中さるの二刻,神よし  かまぬり ものたちよし
«1703-2790»,«暦日2»,十三〳,ひのえたつ,やふる,土,ま日,大みやう  かとたてよし
«1703-2800»,«暦日0»,十四〳,ひのとのみ,あやふ,,　,ちいみ ちう日 下しきひつしの時
«1703-2810»,«暦日2»,十五〳,つちのえむま,なる,火,ま日,神よし ふく日
«1703-2820»,«暦日0»,十六〳,つちのとのひつし,おさん,,　,神よし 大みやう 大くわ ふく日  かといてよし
«1703-2830»,«暦日2»,十七〳,かのえさる,ひらく,木,　,さい下しき 大みやう
«1703-2840»,«暦日0»,十八〳,かのとのとり,とつ,,　,神よし 大みやう  いちたちよし
«1703-2850»,«暦日2»,十九〳,みつのえいぬ,たつ,水,ま日, 田かりよし
«1703-2860»,«暦日0»,廿〳,みつのとのい,のそく,,八せんのおはり,ちう日  むきまきよし
«1703-2870»,«暦日2»,廿一〳,きのえね,みつ,金,　,きこ 天火 らうしやく
«1703-2880»,«暦日0»,廿二〳,きのとのうし,たいら,,　,十し
«1703-2890»,«暦日2»,廿三〳,ひのえとら,さたん,火,　,●
«1703-2900»,«暦日0»,廿四〳,ひのとのう,とる,,　,神よし  田かりよし
«1703-2910»,«暦日2»,廿五〳,つちのえたつ,やふる,木,　,五む日 ふく日
