《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1760》,《暦日0》,二／,きのとのとり,みつ,,　,神よし ちいみ
《1770》,《暦日2》,三／,ひのえいぬ,たいら,土,　,さい下しき 五む日 大くわ 地火
《1780》,《暦日0》,四／,ひのとのい,さたん,,　,大みやう ちう日
《1790》,《暦日2》,五／,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
《1800》,《暦日0》,六／,つちのとのうし,やふる,,　,十し
《1810》,《暦日2》,七／,かのえとら,あやふ,木,初伏, やたて  つめとりよし
《1820》,《暦日0》,八／,かのとのう,なる,,　,神よし 天火 らうしやく
《1830》,《暦日2》,九／,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
《1840》,《暦日0》,十／,みつのとのみ,ひらく,,天一天上,ちう日  いちたちよし
《1850》,《暦日2》,十一／,きのえむま,とつ,金,とようさるの五刻ニ入,●
《1860》,《暦日0》,十二／,きのとのひつし,たつ,,　,大みやう 五む日
《1870》,《暦日2》,十三／,ひのえさる,のそく,火,　,神よし
《1880》,《暦日0》,十四／,ひのとのとり,みつ,,六月中とりの一刻,神よし ちいみ  くさかりよし
《1890》,《暦日2》,十五／,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
《1900》,《暦日0》,十六／,つちのとのい,さたん,,　,ちう日 ふく日  ふねのりよし
《1910》,《暦日2》,十七／,かのえね,とる,土,中伏,きこ 下しきたつの時
《1920》,《暦日0》,十八／,かのとのうし,やふる,,　,十し
《1930》,《暦日2》,十九／,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
《1940》,《暦日0》,廿／,みつのとのう,なる,,　,神よし 天火 らうしやく
《1950》,《暦日2》,廿一／,きのえたつ,おさん,火,　,大みやう めつもん  わたましよし
《1960》,《暦日0》,廿二／,きのとのみ,ひらく,,　,大みやう ちう日 わうまう
《1970》,《暦日2》,廿三／,ひのえむま,とつ,水,　,●
《1980》,《暦日0》,廿四／,ひのとのひつし,たつ,,　,くゑ日
《1990》,《暦日2》,廿五／,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
《2000》,《暦日0》,廿六／,つちのとのとり,みつ,,　,神よし 大みやう ちいみ ふく日
《2010》,《暦日2》,廿七／,かのえいぬ,たいら,金,　,大みやう 大くわ 地火
《2020》,《暦日0》,廿八／,かのとのい,さたん,,　,大みやう ちう日
《2030》,《暦日1》,廿九／,みつのえね,さたん,木,立秋七月せついの六刻ニ入/八せんのはしめ,神よし きしく  くらたてよし
《2040》,《月序》,七月,小,建,戊申,鬼宿　柳　土よう
《2050》,《暦日1》,一／,みつのとのうし,とる,木,ま日,●
《2060》,《暦日2》,二／,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
《2070》,《暦日0》,三／,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
《2080》,《暦日2》,四／,ひのえたつ,なる,土,ま日,大みやう ちいみ  くさかりよし
《2090》,《暦日0》,五／,ひのとのみ,おさん,,　,大くわ ちう日  ものたちよし
《2100》,《暦日2》,六／,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
《2110》,《暦日0》,七／,つちのとのひつし,とつ,,　,神よし 大みやう  みそすつくりよし
《2120》,《暦日2》,八／,かのえさる,たつ,木,末伏,大みやう くゑ日 ふく日 わうまう 下しきみの時
《2130》,《暦日0》,九／,かのとのとり,のそく,,　,十し
《2140》,《暦日2》,十／,みつのえいぬ,みつ,水,ま日
《2150》,《暦日0》,十一／,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
《2160》,《暦日2》,十二／,きのえね,さたん,金,　,ふく日  ふねのりよし
《2170》,《暦日0》,十三／,きのとのうし,とる,,　,●
《2180》,《暦日2》,十四／,ひのえとら,やふる,火,　, けんふく  つめとりよし
《2190》,《暦日0》,十五／,ひのとのう,あやふ,,　,神よし  わたましよし
《2200》,《暦日2》,十六／,つちのえたつ,なる,木,七月中とらの三刻,五む日 ちいみ  いちたちよし
《2210》,《暦日0》,十七／,つちのとのみ,おさん,,　,神よし 大くわ ちう日
《2220》,《暦日2》,十八／,かのえむま,ひらく,土,　,神よし ふく日 天火 らうしやく
《2230》,《暦日0》,十九／,かのとのひつし,とつ,,　,大みやう  ものたちよし
《2240》,《暦日2》,廿／,みつのえさる,たつ,金,　,神よし 大みやう 下しきみの時
《2250》,《暦日0》,廿一／,みつのとのとり,のそく,,　,十し
《2260》,《暦日2》,廿二／,きのえいぬ,みつ,火,　,ふく日  くらたてよし
《2270》,《暦日0》,廿三／,きのとのい,たいら,,　,ちう日 めつもん 地火
《2280》,《暦日2》,廿四／,ひのえね,さたん,水,　, 田かりよし
《2290》,《暦日0》,廿五／,ひのとのうし,とる,,　,●
《2300》,《暦日2》,廿六／,つちのえとら,やふる,土,　, たねまき  つめとりよし
《2310》,《暦日0》,廿七／,つちのとのう,あやふ,,二百十日,神よし 大みやう  みそすつくりよし
《2320》,《暦日2》,廿八／,かのえたつ,なる,金,　,きしく ちいみ ふく日  かといてよし
《2330》,《暦日0》,廿九／,かのとのみ,おさん,,　,大くわ ちう日
《2340》,《月序》,八月,大,建,己酉,柳宿　星　日よう
《2350》,《暦日2》,一／,みつのえむま,ひらく,木,　,神よし 大みやう 天火 らうしやく
《2360》,《暦日0》,二／,みつのとのひつし,ひらく,,八月せつみの初刻ニ入,●
《2370》,《暦日2》,三／,きのえさる,とつ,水,十方くれニ入,神よし 大みやう  竹木こり 田かりよし
《2380》,《暦日0》,四／,きのとのとり,たつ,,　,ふく日 天火 らうしやく 下しきむまの時
《2390》,《暦日2》,五／,ひのえいぬ,のそく,土,　,さい下しき 五む日 ちいみ
《2400》,《暦日0》,六／,ひのとのい,みつ,,　,大みやう ちう日  入学よし
《2410》,《暦日2》,七／,つちのえね,たいら,火,　,大くわ 地火
《2420》,《暦日0》,八／,つちのとのうし,さたん,,二百廿日, かまぬり  つめとりよし
《2430》,《暦日2》,九／,かのえとら,とる,木,　,きこ  つめとりよし
《2440》,《暦日0》,十／,かのとのう,やふる,,　,ふく日  田かりよし
《2450》,《暦日2》,十一／,みつのえたつ,あやふ,水,　,大みやう 五む日
《2460》,《暦日0》,十二／,みつのとのみ,なる,,天一天上,十し
《2470》,《暦日2》,十三／,きのえむま,おさん,金,　,めつもん
《2480》,《暦日0》,十四／,きのとのひつし,ひらく,,　,●
《2490》,《暦日2》,十五／,ひのえさる,とつ,火,　,神よし
《2500》,《暦日0》,十六／,ひのとのとり,たつ,,　,天火 らうしやく 下しきむまの時
《2510》,《食記》,月そく六分
《2520》,《暦日2》,十七／,つちのえいぬ,のそく,木,秋分八月中ひつしの五刻/社日,ちいみ  ふねのり 田かりよし
《2530》,《暦日0》,十八／,つちのとのい,みつ,,　,神よし ちう日  いちたちよし
《2540》,《暦日2》,十九／,かのえね,たいら,土,ひかんニなる,大くわ 地火 わうまう
《2550》,《暦日0》,廿／,かのとのうし,さたん,,　,神よし 五む日 ふく日  ものたち  つめとりよし
《2560》,《暦日2》,廿一／,みつのえとら,とる,金,　,大みやう きこ  やたて  つめとりよし
《2570》,《暦日0》,廿二／,みつのとのう,やふる,,　, くらたて 田かりよし
《2580》,《暦日2》,廿三／,きのえたつ,あやふ,火,　,大みやう  けんふく わたましよし
《2590》,《暦日0》,廿四／,きのとのみ,なる,,　,十し
《2600》,《暦日2》,廿五／,ひのえむま,おさん,水,　,大みやう めつもん
《2610》,《暦日0》,廿六／,ひのとのひつし,ひらく,,　,●
《2620》,《暦日2》,廿七／,つちのえさる,とつ,土,　,天しや よろつよし
《2630》,《暦日0》,廿八／,つちのとのとり,たつ,,　,大みやう くゑ日 天火 らうしやく 下しきむまの時
《2640》,《暦日2》,廿九／,かのえいぬ,のそく,金,　,大みやう ちいみ
《2650》,《暦日0》,卅／,かのとのい,みつ,,　,神よし 大みやう ちう日 ふく日
《2660》,《月序》,九月,小,建,庚戌,星宿　翼　火よう
《2670》,《暦日2》,一／,みつのえね,たいら,木,八せんのはしめ,神よし 大くわ 地火
《2680》,《暦日0》,二／,みつのとのうし,たいら,,かん露九月せついぬの二刻ニ入/ま日,十し
《2690》,《暦日2》,三／,きのえとら,さたん,水,　,●
《2700》,《暦日0》,四／,きのとのう,とる,,　,神よし  かまぬり ものたちよし
《2710》,《暦日2》,五／,ひのえたつ,やふる,土,ま日,大みやう  かとたてよし
《2720》,《暦日0》,六／,ひのとのみ,あやふ,,　,ちいみ ちう日 下しきひつしの時
《2730》,《暦日2》,七／,つちのえむま,なる,火,ま日,神よし ふく日
《2740》,《暦日0》,八／,つちのとのひつし,おさん,,　,神よし 大みやう 大くわ ふく日  かといてよし
《2750》,《暦日2》,九／,かのえさる,ひらく,木,　,大みやう
《2760》,《暦日0》,十／,かのとのとり,とつ,,　,神よし 大みやう  いちたちよし
《2770》,《暦日2》,十一／,みつのえいぬ,たつ,水,ま日, 田かりよし
《2780》,《暦日0》,十二／,みつのとのい,のそく,,八せんのおはり,ちう日  むきまきよし
《2790》,《暦日2》,十三／,きのえね,みつ,金,　,きこ 天火 らうしやく
《2800》,《暦日0》,十四／,きのとのうし,たいら,,とよう夜ねの三刻ニ入,十し
《2810》,《暦日2》,十五／,ひのえとら,さたん,火,　,●
《2820》,《暦日0》,十六／,ひのとのう,とる,,　,神よし  田かりよし
《2830》,《暦日2》,十七／,つちのえたつ,やふる,木,　,五む日 ふく日
