《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《2620》,《暦日0》,十三／,ひのとのうし,とる,,　,●
《2630》,《暦日2》,十四／,つちのえとら,やふる,土,　, たねまき  つめとりよし
《2640》,《暦日0》,十五／,つちのとのう,あやふ,,　,神よし 大みやう 天おん  みそすつくりよし
《2650》,《暦日1》,十六／,かのえたつ,あやふ,金,　,天おん 母倉 月とく
《2660》,《節中》,白露八月せつむまの三刻ニ入日の出より日入まて,昼五十二刻半/夜四十七刻半,六より六まて,昼五十七刻半余/夜四十二刻余
《2670》,《暦日1》,十七／,かのとのみ,なる,金,　,十し
《2680》,《暦日2》,十八／,みつのえむま,おさん,木,　,大みやう 天おん めつもん
《2690》,《暦日0》,十九／,みつのとのひつし,ひらく,,　,●
《2700》,《暦日2》,廿／,きのえさる,とつ,水,十方くれニ入,神よし 大みやう  竹木こり 田かりよし
《2710》,《暦日0》,廿一／,きのとのとり,たつ,,　,月とく ふく日 天火 らうしやく 下しきむまの時
《2720》,《暦日2》,廿二／,ひのえいぬ,のそく,土,二百廿日,母倉 五む日 ちいみ
《2730》,《暦日0》,廿三／,ひのとのい,みつ,,　,大みやう ちう日  入学よし
《2740》,《暦日2》,廿四／,つちのえね,たいら,火,　,大くわ 地火
《2750》,《暦日0》,廿五／,つちのとのうし,さたん,,　,母倉  かまぬり  つめとりよし
《2760》,《暦日2》,廿六／,かのえとら,とる,木,　,月とく きこ  つめとりよし
《2770》,《暦日0》,廿七／,かのとのう,やふる,,　,ふく日  田かりよし
《2780》,《暦日2》,廿八／,みつのえたつ,あやふ,水,　,大みやう 母倉 五む日
《2790》,《暦日0》,廿九／,みつのとのみ,なる,,天一天上,十し
《2800》,《月序》,八月,大,建,辛酉,柳宿　室　火よう
《2810》,《暦日2》,一／,きのえむま,おさん,金,ひかんニなる,めつもん
《2820》,《暦日0》,二／,きのとのひつし,ひらく,,　,●
《2830》,《節中》,秋分八月中さるの八刻日の出より日入まて,昼五十刻余/夜四十九刻半余,六より六まて,昼五十五刻余/夜四十四刻半余
《2840》,《暦日2》,三／,ひのえさる,とつ,火,　,神よし
《2850》,《暦日0》,四／,ひのとのとり,たつ,,　,天火 らうしやく わうまう 下しきむまの時
《2860》,《暦日2》,五／,つちのえいぬ,のそく,木,社日,母倉 ちいみ  ふねのり 田かりよし
《2870》,《暦日0》,六／,つちのとのい,みつ,,　,神よし ちう日  いちたちよし
《2880》,《暦日2》,七／,かのえね,たいら,土,　,神よし 月とく 大くわ 地火
《2890》,《暦日0》,八／,かのとのうし,さたん,,　,神よし 母倉 五む日 ふく日  ものたち  つめとりよし
《2900》,《暦日2》,九／,みつのえとら,とる,金,　,大みやう きこ  やたて  つめとりよし
《2910》,《暦日0》,十／,みつのとのう,やふる,,　, くらたて 田かりよし
《2920》,《暦日2》,十一／,きのえたつ,あやふ,火,　,きしく 大みやう 母倉  けんふく わたましよし
《2930》,《暦日0》,十二／,きのとのみ,なる,,　,十し
《2940》,《暦日2》,十三／,ひのえむま,おさん,水,　,大みやう めつもん
《2950》,《暦日0》,十四／,ひのとのひつし,ひらく,,　,●
