«1735-0000»,【 カンマ区切りテキスト形式です。】
«1735-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1735-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1735-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1735-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1735-0050»,【 外部リンク　】
«1735-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/156 ～ 160】
«1735-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1735h　(翻刻編集終了データを表成型して表示します)】
«1735-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1735ht (翻刻編集中データを表成型して表示します)】
«1735-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1735-0100»,«版元»,出版地○○,出版元□□□,　
«1735-1690»,«暦日1»,十七〳,ひのえいぬ,さたん,土,　,五む日  むきかりよし
«1735-1700»,«節中»,芒種五月せつみの四刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1735-1710»,«暦日1»,十八〳,ひのとのい,とる,土,　,大みやう ちう日 ふく日
«1735-1720»,«暦日2»,十九〳,つちのえね,やふる,火,　,●
«1735-1730»,«暦日0»,廿〳,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
«1735-1740»,«暦日2»,廿一〳,かのえとら,なる,木,　,きこ  井ほり  つめとりよし
«1735-1750»,«暦日0»,廿二〳,かのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
«1735-1760»,«暦日2»,廿三〳,みつのえたつ,ひらく,水,入梅,さい下しき 大みやう 五む日
«1735-1770»,«暦日0»,廿四〳,みつのとのみ,とつ,,天一天上,十し
«1735-1780»,«暦日2»,廿五〳,きのえむま,たつ,金,　,天しや よろつよし
«1735-1790»,«暦日0»,廿六〳,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
«1735-1800»,«暦日2»,廿七〳,ひのえさる,みつ,火,　,神よし きしく  入学 いちたちよし
«1735-1810»,«暦日0»,廿八〳,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
«1735-1820»,«暦日2»,廿九〳,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
«1735-1830»,«暦日0»,卅〳,つちのとのい,とる,,　,神よし ちう日
«1735-1840»,«月序»,五月,小,建,壬午,室宿　翼　火よう
«1735-1850»,«暦日2»,一〳,かのえね,やふる,土,　,●
«1735-1860»,«暦日0»,二〳,かのとのうし,あやふ,,　,五む日 わうまう  つめとりよし
«1735-1870»,«節中»,夏至五月中さるの初刻日の出より日入まて,昼六十刻|夜四十刻,六より六まて,昼六十五刻|夜三十五刻
«1735-1880»,«暦日2»,三〳,みつのえとら,なる,金,　,大みやう きこ  くさかり  つめとりよし
«1735-1890»,«暦日0»,四〳,みつのとのう,おさん,,　,ちいみ 大くわ ふく日
«1735-1900»,«暦日2»,五〳,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
«1735-1910»,«暦日0»,六〳,きのとのみ,とつ,,　,十し
«1735-1920»,«暦日2»,七〳,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
«1735-1930»,«暦日0»,八〳,ひのとのひつし,のそく,,　,神よし ふく日
«1735-1940»,«暦日2»,九〳,つちのえさる,みつ,土,　,神よし  入学よし
«1735-1950»,«暦日0»,十〳,つちのとのとり,たいら,,　,神よし 大みやう めつもん 地火
