《1829-0000》,# カンマ区切りテキスト形式です。
《1829-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1829-0020》,# ・表の区画内での改行は“/”で表記します。
《1829-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1829-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1829-0050》,# 外部リンク
《1829-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/104 ～ 108
《1829-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1829g　(GitHub上データを表成型)
《1829-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1829h　(翻刻編集データを表成型 - 未実装)
《1829-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1829-0100》,《版元》,出版地○○,出版元□□□,　
《1829-1640》,《暦日2》,十一／,きのえたつ,ひらく,火,　,きしく 大みやう  むきかり 田うへよし
《1829-1650》,《暦日0》,十二／,きのとのみ,とつ,,　,十し
《1829-1660》,《暦日2》,十三／,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
《1829-1670》,《暦日0》,十四／,ひのとのひつし,のそく,,　,神よし ふく日
《1829-1680》,《暦日2》,十五／,つちのえさる,みつ,土,　,神よし  入学よし
《1829-1690》,《暦日0》,十六／,つちのとのとり,たいら,,　,神よし 大みやう 天おん めつもん 地火
《1829-1700》,《暦日2》,十七／,かのえいぬ,さたん,金,　,大みやう 天おん  かといてよし
《1829-1710》,《暦日0》,十八／,かのとのい,とる,,　,神よし 大みやう 天おん 月とく ちう日  入学よし
《1829-1720》,《暦日2》,十九／,みつのえね,やふる,木,八せんのはしめ,●
《1829-1730》,《暦日0》,廿／,みつのとのうし,あやふ,,ま日,神よし 天おん ふく日  むきかり  つめとりよし
《1829-1740》,《暦日1》,廿一／,きのえとら,なる,水,　,母倉 きこ わうまう  田うへ  つめとりよし
《1829-1750》,《節中》,夏至五月中むまの三刻日の出より日入まて,昼五十九刻半余/夜四十刻余,六より六まて,昼六十五刻半余/夜三十四刻余
《1829-1760》,《暦日1》,廿二／,きのとのう,おさん,水,　,母倉 ちいみ 大くわ  ものたちよし
《1829-1770》,《暦日2》,廿三／,ひのえたつ,ひらく,土,ま日,大みやう 月とく  けんふく いちたちよし
《1829-1780》,《暦日0》,廿四／,ひのとのみ,とつ,,　,十し
《1829-1790》,《暦日2》,廿五／,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
《1829-1800》,《暦日0》,廿六／,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
