《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《2190》,《暦日2》,三／,みつのえいぬ,たいら,水,ま日,大くわ 地火
《2200》,《暦日0》,四／,みつのとのい,さたん,,八せんのおはり,ちう日
《2210》,《暦日2》,五／,きのえね,とる,金,　,天おん 月とく きこ 下しきたつの時
《2220》,《暦日0》,六／,きのとのうし,とる,,　,●
《2230》,《節中》,立秋七月せつ今暁八時九分ニ入日の出より日入まて,昼五十六刻半/夜四十三刻半,六より六まて,昼六十二刻/夜三十八刻
《2240》,《暦日2》,七／,ひのえとら,やふる,火,　,天おん  けんふく  つめとりよし
《2250》,《暦日0》,八／,ひのとのう,あやふ,,　,神よし 天おん 月とく  わたましよし
《2260》,《暦日2》,九／,つちのえたつ,なる,木,　,天おん 母倉 五む日 ちいみ  いちたちよし
《2270》,《暦日0》,十／,つちのとのみ,おさん,,　,神よし 大くわ ちう日
《2280》,《暦日2》,十一／,かのえむま,ひらく,土,末伏,神よし ふく日 天火 らうしやく
《2290》,《暦日0》,十二／,かのとのひつし,とつ,,　,大みやう 母倉  ものたちよし
《2300》,《暦日2》,十三／,みつのえさる,たつ,金,　,神よし きしく 大みやう 月とく 下しきみの時
《2310》,《暦日0》,十四／,みつのとのとり,のそく,,　,十し
《2320》,《暦日2》,十五／,きのえいぬ,みつ,火,　,母倉 ふく日  くらたてよし
《2330》,《暦日0》,十六／,きのとのい,たいら,,　,ちう日 めつもん 地火
《2340》,《暦日2》,十七／,ひのえね,さたん,水,　, 田かりよし
《2350》,《暦日0》,十八／,ひのとのうし,とる,,　,●
《2360》,《暦日2》,十九／,つちのえとら,やふる,土,　, たねまき  つめとりよし
《2370》,《暦日0》,廿／,つちのとのう,あやふ,,　,神よし 大みやう 天おん  みそすつくりよし
《2380》,《暦日1》,廿一／,かのえたつ,なる,金,　,天おん 母倉 ちいみ ふく日  かといてよし
《2390》,《節中》,処暑七月中夕七時二分日の出より日入まて,昼五十四刻半/夜四十五刻半,六より六まて,昼五十九刻半余/夜四十刻余
《2400》,《暦日1》,廿二／,かのとのみ,おさん,金,　,天おん 大くわ ちう日
《2410》,《暦日2》,廿三／,みつのえむま,ひらく,木,　,神よし 大みやう 天おん 月とく 天火 らうしやく
《2420》,《暦日0》,廿四／,みつのとのひつし,とつ,,　,天おん 母倉
《2430》,《暦日2》,廿五／,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
《2440》,《暦日0》,廿六／,きのとのとり,のそく,,　,十し
《2450》,《暦日2》,廿七／,ひのえいぬ,みつ,土,　,母倉 五む日
《2460》,《暦日0》,廿八／,ひのとのい,たいら,,　,大みやう 月とく ちう日 めつもん 地火
《2470》,《暦日2》,廿九／,つちのえね,さたん,火,　, けんふく くさかりよし
《2480》,《暦日0》,卅／,つちのとのうし,とる,,二百十日,●
《2490》,《月序》,八月,小,建,乙酉,觜宿　室　火よう
《2500》,《暦日2》,一／,かのえとら,やふる,木,　,ふく日  つめとりよし
《2510》,《暦日0》,二／,かのとのう,あやふ,,　,神よし
《2520》,《暦日2》,三／,みつのえたつ,なる,水,　,大みやう 母倉 月とく 五む日 ちいみ
《2530》,《暦日0》,四／,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
《2540》,《暦日2》,五／,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
《2550》,《暦日0》,六／,きのとのひつし,とつ,,　,大みやう 母倉 五む日
《2560》,《暦日1》,七／,ひのえさる,とつ,火,　,神よし
《2570》,《節中》,白露八月せつ明六時ニ入日の出より日入まて,昼五十二刻余/夜四十七刻半余,六より六まて,昼五十七刻半/夜四十二刻半
《2580》,《暦日1》,八／,ひのとのとり,たつ,火,　,天火 らうしやく 下しきむまの時
《2590》,《暦日2》,九／,つちのえいぬ,のそく,木,　,母倉 ちいみ  ふねのり 田かりよし
《2600》,《暦日0》,十／,つちのとのい,みつ,,二百廿日,神よし ちう日  いちたちよし
《2610》,《暦日2》,十一／,かのえね,たいら,土,　,神よし きしく 月とく 大くわ 地火
《2620》,《暦日0》,十二／,かのとのうし,さたん,,　,神よし 母倉 五む日 ふく日  ものたち  つめとりよし
《2630》,《暦日2》,十三／,みつのえとら,とる,金,　,大みやう きこ  やたて  つめとりよし
《2640》,《暦日0》,十四／,みつのとのう,やふる,,　, くらたて 田かりよし
《2650》,《暦日2》,十五／,きのえたつ,あやふ,火,　,大みやう 母倉  けんふく わたましよし
《2660》,《暦日0》,十六／,きのとのみ,なる,,　,十し
《2670》,《暦日2》,十七／,ひのえむま,おさん,水,　,さい下しき 大みやう めつもん
《2680》,《暦日0》,十八／,ひのとのひつし,ひらく,,　,●
《2690》,《暦日2》,十九／,つちのえさる,とつ,土,社日/ひかんニなる,天しや よろつよし
《2700》,《暦日0》,廿／,つちのとのとり,たつ,,　,大みやう くゑ日 天火 らうしやく 下しきむまの時
《2710》,《暦日2》,廿一／,かのえいぬ,のそく,金,　,大みやう 天おん 母倉 月とく ちいみ
《2720》,《暦日0》,廿二／,かのとのい,みつ,,　,神よし 大みやう 天おん ちう日 ふく日
《2730》,《節中》,秋分八月中昼九時九分日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《2740》,《暦日2》,廿三／,みつのえね,たいら,木,八せんのはしめ,神よし 天おん 大くわ 地火
《2750》,《暦日0》,廿四／,みつのとのうし,さたん,,ま日,天おん 母倉 わうまう  たねまき 竹木こり  つめとりよし
《2760》,《暦日2》,廿五／,きのえとら,とる,水,　,きこ  かまぬり 田かり  つめとりよし
《2770》,《暦日0》,廿六／,きのとのう,やふる,,　,くゑ日 ふく日
《2780》,《暦日2》,廿七／,ひのえたつ,あやふ,土,ま日,大みやう 母倉
《2790》,《暦日0》,廿八／,ひのとのみ,なる,,　,十し
《2800》,《暦日1》,廿九／,つちのえむま,おさん,火,ま日,めつもん
《2810》,《月序》,九月,大,建,丙戌,參宿　壁　水よう
《2820》,《暦日1》,一／,つちのとのひつし,ひらく,火,　,●
《2830》,《暦日2》,二／,かのえさる,とつ,木,　,神よし 大みやう 月とく  入学よし
《2840》,《暦日0》,三／,かのとのとり,たつ,,　,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
《2850》,《暦日2》,四／,みつのえいぬ,のそく,水,ま日,母倉 ちいみ  たねまきよし
《2860》,《暦日0》,五／,みつのとのい,みつ,,八せんのおはり,ちう日  いちたちよし
《2870》,《暦日2》,六／,きのえね,たいら,金,　,天おん 大くわ 地火  わたましよし
《2880》,《暦日0》,七／,きのとのうし,さたん,,　,神よし 天おん 母倉 月とく ふく日  つめとりよし
《2890》,《暦日1》,八／,ひのえとら,さたん,火,　,●
《2900》,《節中》,寒露九月せつ暮六時八分ニ入日の出より日入まて,昼四十七刻半余/夜五十二刻余,六より六まて,昼五十二刻半余/夜四十七刻余
《2910》,《暦日1》,九／,ひのとのう,とる,火,　,神よし 天おん  田かりよし
《2920》,《暦日2》,十／,つちのえたつ,やふる,木,　,きしく 天おん 五む日 ふく日
《2930》,《暦日0》,十一／,つちのとのみ,あやふ,,　,神よし 母倉 ちいみ ちう日 ふく日 下しきひつしの時
《2940》,《暦日2》,十二／,かのえむま,なる,土,　,神よし 母倉  みそすつくりよし
