《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《2000》,《節中》,大暑六月中昼八時四分日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《2010》,《暦日2》,十六／,ひのえね,とる,水,　,きこ 下しきたつの時
《2020》,《暦日0》,十七／,ひのとのうし,やふる,,　,十し
《2030》,《暦日2》,十八／,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
《2040》,《暦日0》,十九／,つちのとのう,なる,,　,神よし 大みやう 天おん 月とく ふく日 天火 らうしやく
《2050》,《暦日2》,廿／,かのえたつ,おさん,金,中伏,天おん めつもん  けんふくよし
《2060》,《暦日0》,廿一／,かのとのみ,ひらく,,　,天おん 母倉 ちう日  ものたちよし
《2070》,《暦日2》,廿二／,みつのえむま,とつ,木,　,●
《2080》,《暦日0》,廿三／,みつのとのひつし,たつ,,　,天おん  たねまきよし
《2090》,《暦日2》,廿四／,きのえさる,のそく,水,十方くれニ入,神よし 大みやう 月とく
《2100》,《暦日0》,廿五／,きのとのとり,みつ,,　,神よし ちいみ
《2110》,《暦日2》,廿六／,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
《2120》,《暦日0》,廿七／,ひのとのい,さたん,,　,大みやう ちう日
《2130》,《暦日2》,廿八／,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
《2140》,《暦日0》,廿九／,つちのとのうし,やふる,,　,十し
《2150》,《暦日1》,卅／,かのえとら,あやふ,木,　,母倉  やたて  つめとりよし
《2160》,《月序》,七月,小,建,甲申,鬼宿　井　木よう
《2170》,《暦日1》,一／,かのとのう,あやふ,木,　
《2180》,《節中》,立秋七月せつ朝五時三分ニ入日の出より日入まて,昼五十六刻半/夜四十三刻半,六より六まて,昼六十二刻/夜三十八刻
《2190》,《食記》,日帯そく
《2200》,《暦日2》,二／,みつのえたつ,なる,水,　,きしく 大みやう 母倉 月とく 五む日 ちいみ
《2210》,《暦日0》,三／,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
《2220》,《暦日2》,四／,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
《2230》,《暦日0》,五／,きのとのひつし,とつ,,　,大みやう 母倉 五む日
《2240》,《暦日2》,六／,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
《2250》,《暦日0》,七／,ひのとのとり,のそく,,　,十し
《2260》,《暦日2》,八／,つちのえいぬ,みつ,木,　,母倉  くらたて かまぬりよし
《2270》,《暦日0》,九／,つちのとのい,たいら,,　,ちう日 めつもん 地火 わうまう
