《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1630》,《暦日2》,十二／,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
《1640》,《暦日0》,十三／,つちのとのとり,さたん,,　,十し
《1650》,《暦日1》,十四／,かのえいぬ,さたん,金,　,大みやう  かといてよし
《1660》,《節中》,芒種五月せつ翌うの七刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1670》,《暦日1》,十五／,かのとのい,とる,金,　,神よし 大みやう ちう日  入学よし
《1680》,《暦日2》,十六／,みつのえね,やふる,木,入梅/八せんのはしめ,●
《1690》,《暦日0》,十七／,みつのとのうし,あやふ,,ま日,神よし ふく日  むきかり  つめとりよし
《1700》,《暦日2》,十八／,きのえとら,なる,水,　,きこ  田うへ  つめとりよし
《1710》,《暦日0》,十九／,きのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
《1720》,《暦日2》,廿／,ひのえたつ,ひらく,土,ま日,大みやう  けんふく いちたちよし
《1730》,《暦日0》,廿一／,ひのとのみ,とつ,,　,十し
《1740》,《暦日2》,廿二／,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
《1750》,《暦日0》,廿三／,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
《1760》,《暦日2》,廿四／,かのえさる,みつ,木,　,さい下しき 神よし 大みやう  入学 むきかりよし
《1770》,《暦日0》,廿五／,かのとのとり,たいら,,　,神よし 大みやう めつもん 地火
《1780》,《暦日2》,廿六／,みつのえいぬ,さたん,水,ま日, むきかりよし
《1790》,《暦日0》,廿七／,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
《1800》,《暦日2》,廿八／,きのえね,やふる,金,　,●
《1810》,《暦日0》,廿九／,きのとのうし,あやふ,,　,わうまう  つめとりよし
《1820》,《節中》,夏至五月中むまの四刻日の出より日入まて,昼六十刻/夜四十刻,六より六まて,昼六十五刻/夜三十五刻
《1830》,《月序》,六月,大,建,乙未,女宿　參　水よう
《1840》,《暦日2》,一／,ひのえとら,なる,火,　,きこ  つめとりよし
《1850》,《暦日0》,二／,ひのとのう,おさん,,　,ちいみ 大くわ ふく日
《1860》,《暦日2》,三／,つちのえたつ,ひらく,木,　,きしく 五む日  かまぬり 田うへよし
《1870》,《暦日0》,四／,つちのとのみ,とつ,,　,十し
《1880》,《暦日2》,五／,かのえむま,たつ,土,　,下しきうの時  むきかりよし
《1890》,《暦日0》,六／,かのとのひつし,のそく,,　,大みやう  ふねのり 井ほりよし
《1900》,《暦日2》,七／,みつのえさる,みつ,金,　,神よし 大みやう  くさかりよし
《1910》,《暦日0》,八／,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1920》,《暦日2》,九／,きのえいぬ,さたん,火,　, わたまし くらたてよし
《1930》,《暦日0》,十／,きのとのい,とる,,はんけしやう,ちう日  むきかり 田うへよし
《1940》,《暦日2》,十一／,ひのえね,やふる,水,　,●
《1950》,《暦日0》,十二／,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
《1960》,《暦日2》,十三／,つちのえとら,なる,土,　,きこ  みそすつくり  つめとりよし
《1970》,《暦日0》,十四／,つちのとのう,おさん,,　,大みやう ちいみ 大くわ
《1980》,《暦日1》,十五／,かのえたつ,おさん,金,　,めつもん  けんふくよし
《1990》,《節中》,小暑六月せつとりの一刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《2000》,《暦日1》,十六／,かのとのみ,ひらく,金,　,ちう日  ものたちよし
《2010》,《暦日2》,十七／,みつのえむま,とつ,木,　,●
《2020》,《暦日0》,十八／,みつのとのひつし,たつ,,　, たねまきよし
《2030》,《暦日2》,十九／,きのえさる,のそく,水,十方くれニ入,神よし 大みやう
《2040》,《暦日0》,廿／,きのとのとり,みつ,,　,神よし ちいみ
《2050》,《暦日2》,廿一／,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
《2060》,《暦日0》,廿二／,ひのとのい,さたん,,　,大みやう ちう日
《2070》,《暦日2》,廿三／,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
《2080》,《暦日0》,廿四／,つちのとのうし,やふる,,　,十し
《2090》,《暦日2》,廿五／,かのえとら,あやふ,木,初伏, やたて  つめとりよし
《2100》,《暦日0》,廿六／,かのとのう,なる,,　,神よし 天火 らうしやく
《2110》,《暦日2》,廿七／,みつのえたつ,おさん,水,とよういの一刻ニ入,大みやう 五む日 めつもん
《2120》,《暦日0》,廿八／,みつのとのみ,ひらく,,天一天上,ちう日  いちたちよし
《2130》,《暦日2》,廿九／,きのえむま,とつ,金,　,●
《2140》,《暦日0》,卅／,きのとのひつし,たつ,,　,大みやう 五む日
《2150》,《節中》,大暑六月中いの六刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《2160》,《月序》,閏六月,小,隨節用之,鬼　金よう
《2170》,《暦日2》,一／,ひのえさる,のそく,火,　,神よし きしく
《2180》,《暦日0》,二／,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
《2190》,《暦日2》,三／,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
《2200》,《暦日0》,四／,つちのとのい,さたん,,　,ちう日 ふく日  ふねのりよし
《2210》,《暦日2》,五／,かのえね,とる,土,中伏,きこ 下しきたつの時
《2220》,《暦日0》,六／,かのとのうし,やふる,,　,十し
《2230》,《暦日2》,七／,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
《2240》,《暦日0》,八／,みつのとのう,なる,,　,天火 らうしやく わうまう
《2250》,《暦日2》,九／,きのえたつ,おさん,火,　,大みやう めつもん  わたましよし
《2260》,《暦日0》,十／,きのとのみ,ひらく,,　,大みやう ちう日
《2270》,《暦日2》,十一／,ひのえむま,とつ,水,　,●
《2280》,《暦日0》,十二／,ひのとのひつし,たつ,,　,くゑ日
《2290》,《暦日2》,十三／,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
《2300》,《暦日0》,十四／,つちのとのとり,みつ,,　,神よし 大みやう ちいみ ふく日
《2310》,《暦日1》,十五／,かのえいぬ,たいら,金,　,大みやう 大くわ 地火
《2320》,《節中》,立秋七月せつ翌とらの三刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《2330》,《暦日1》,十六／,かのとのい,たいら,金,　,神よし 大みやう ちう日 めつもん 地火
《2340》,《暦日2》,十七／,みつのえね,さたん,木,八せんのはしめ,神よし  くらたてよし
《2350》,《暦日0》,十八／,みつのとのうし,とる,,ま日,●
《2360》,《暦日2》,十九／,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
《2370》,《暦日0》,廿／,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
《2380》,《暦日2》,廿一／,ひのえたつ,なる,土,ま日,大みやう ちいみ  くさかりよし
《2390》,《暦日0》,廿二／,ひのとのみ,おさん,,　,大くわ ちう日  ものたちよし
《2400》,《暦日2》,廿三／,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
《2410》,《暦日0》,廿四／,つちのとのひつし,とつ,,　,大みやう わうまう  みそすつくりよし
《2420》,《暦日2》,廿五／,かのえさる,たつ,木,末伏,さい下しき 大みやう くゑ日 ふく日 下しきみの時
《2430》,《暦日0》,廿六／,かのとのとり,のそく,,　,十し
《2440》,《暦日2》,廿七／,みつのえいぬ,みつ,水,ま日
《2450》,《暦日0》,廿八／,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
《2460》,《暦日1》,廿九／,きのえね,さたん,金,　,きしく ふく日  ふねのりよし
《2470》,《月序》,七月,大,建,丙申,虛宿　柳　土よう
《2480》,《暦日1》,一／,きのとのうし,とる,金,　,●
《2490》,《暦日1》,二／,ひのえとら,やふる,火,　, けんふく  つめとりよし
《2500》,《節中》,処暑七月中たつの八刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《2510》,《暦日1》,三／,ひのとのう,あやふ,火,　,神よし  わたましよし
《2520》,《暦日2》,四／,つちのえたつ,なる,木,　,五む日 ちいみ  いちたちよし
《2530》,《暦日0》,五／,つちのとのみ,おさん,,　,神よし 大くわ ちう日
《2540》,《暦日2》,六／,かのえむま,ひらく,土,　,神よし ふく日 天火 らうしやく
《2550》,《暦日0》,七／,かのとのひつし,とつ,,　,大みやう  ものたちよし
《2560》,《暦日2》,八／,みつのえさる,たつ,金,　,神よし 大みやう 下しきみの時
《2570》,《暦日0》,九／,みつのとのとり,のそく,,　,十し
《2580》,《暦日2》,十／,きのえいぬ,みつ,火,　,ふく日  くらたてよし
《2590》,《暦日0》,十一／,きのとのい,たいら,,　,ちう日 めつもん 地火
《2600》,《暦日2》,十二／,ひのえね,さたん,水,　, 田かりよし
《2610》,《暦日0》,十三／,ひのとのうし,とる,,二百十日,●
《2620》,《暦日2》,十四／,つちのえとら,やふる,土,　, たねまき  つめとりよし
《2630》,《暦日0》,十五／,つちのとのう,あやふ,,　,神よし 大みやう  みそすつくりよし
《2640》,《暦日2》,十六／,かのえたつ,なる,金,　,ちいみ ふく日  かといてよし
《2650》,《暦日0》,十七／,かのとのみ,なる,,　,十し
《2660》,《節中》,白露八月せつひつしの五刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《2670》,《暦日2》,十八／,みつのえむま,おさん,木,　,大みやう めつもん
《2680》,《暦日0》,十九／,みつのとのひつし,ひらく,,　,●
《2690》,《暦日2》,廿／,きのえさる,とつ,水,十方くれニ入,神よし 大みやう  竹木こり 田かりよし
《2700》,《暦日0》,廿一／,きのとのとり,たつ,,　,ふく日 天火 らうしやく 下しきむまの時
《2710》,《暦日2》,廿二／,ひのえいぬ,のそく,土,　,五む日 ちいみ
《2720》,《暦日0》,廿三／,ひのとのい,みつ,,二百廿日,大みやう ちう日  入学よし
《2730》,《暦日2》,廿四／,つちのえね,たいら,火,　,大くわ 地火
《2740》,《暦日0》,廿五／,つちのとのうし,さたん,,　, かまぬり  つめとりよし
《2750》,《暦日2》,廿六／,かのえとら,とる,木,　,きこ  つめとりよし
《2760》,《暦日0》,廿七／,かのとのう,やふる,,　,ふく日  田かりよし
《2770》,《暦日2》,廿八／,みつのえたつ,あやふ,水,　,きしく 大みやう 五む日
《2780》,《暦日0》,廿九／,みつのとのみ,なる,,天一天上,十し
《2790》,《暦日1》,卅／,きのえむま,おさん,金,　,めつもん
《2800》,《月序》,八月,小,建,丁酉,危宿　張　月よう
《2810》,《暦日1》,一／,きのとのひつし,ひらく,金,　,●
《2820》,《暦日1》,二／,ひのえさる,とつ,火,　,神よし
