«1696-0000»,【 カンマ区切りテキスト形式です。】
«1696-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1696-1340»,«暦日0»,廿二〳,ひのとのひつし,みつ,,　,くゑ日
«1696-1350»,«暦日2»,廿三〳,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
«1696-1360»,«暦日0»,廿四〳,つちのとのとり,さたん,,　,十し
«1696-1370»,«暦日2»,廿五〳,かのえいぬ,とる,金,　,大みやう  やたて くさかりよし
«1696-1380»,«暦日0»,廿六〳,かのとのい,やふる,,　,神よし 大みやう ちう日  さひらきよし
«1696-1390»,«暦日2»,廿七〳,みつのえね,あやふ,木,八せんのはしめ,神よし ふく日  くらたてよし
«1696-1400»,«暦日0»,廿八〳,みつのとのうし,なる,,ま日,きこ  つめとりよし
«1696-1410»,«暦日2»,廿九〳,きのえとら,おさん,水,　,めつもん  つめとりよし
«1696-1420»,«暦日0»,卅〳,きのとのう,ひらく,,　,神よし  さひらきよし
«1696-1430»,«月序»,五月,小,建,甲午,參宿　奎　木よう
«1696-1440»,«暦日2»,一〳,ひのえたつ,とつ,土,ま日,大みやう ふく日
«1696-1450»,«暦日0»,二〳,ひのとのみ,たつ,,　,●
«1696-1460»,«暦日2»,三〳,つちのえむま,のそく,火,ま日,くゑ日
«1696-1470»,«暦日0»,四〳,つちのとのひつし,みつ,,　,大みやう くゑ日
«1696-1480»,«暦日2»,五〳,かのえさる,たいら,木,　,神よし 大みやう ちいみ 大くわ 地火
«1696-1490»,«暦日0»,六〳,かのとのとり,たいら,,五月せつ夜ねの三刻ニ入,神よし 大みやう めつもん 地火
«1696-1500»,«暦日2»,七〳,みつのえいぬ,さたん,水,入梅|ま日, むきかりよし
«1696-1510»,«暦日0»,八〳,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
«1696-1520»,«暦日2»,九〳,きのえね,やふる,金,　,●
«1696-1530»,«暦日0»,十〳,きのとのうし,あやふ,,　,神よし  つめとりよし
«1696-1540»,«暦日2»,十一〳,ひのえとら,なる,火,　,きこ  つめとりよし
«1696-1550»,«暦日0»,十二〳,ひのとのう,おさん,,　,ちいみ 大くわ ふく日
«1696-1560»,«暦日2»,十三〳,つちのえたつ,ひらく,木,　,五む日  かまぬり 田うへよし
«1696-1570»,«暦日0»,十四〳,つちのとのみ,とつ,,　,十し
«1696-1580»,«暦日2»,十五〳,かのえむま,たつ,土,　,下しきうの時  むきかりよし
«1696-1590»,«暦日0»,十六〳,かのとのひつし,のそく,,　,大みやう  ふねのり 井ほりよし
«1696-1600»,«暦日2»,十七〳,みつのえさる,みつ,金,　,神よし 大みやう  くさかりよし
«1696-1610»,«暦日0»,十八〳,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1696-1620»,«暦日2»,十九〳,きのえいぬ,さたん,火,　, わたまし くらたてよし
«1696-1630»,«暦日0»,廿〳,きのとのい,とる,,　,ちう日  むきかり 田うへよし
«1696-1640»,«暦日2»,廿一〳,ひのえね,やふる,水,　,●
«1696-1650»,«暦日0»,廿二〳,ひのとのうし,あやふ,,夏至五月中うの初刻,さい下しき 神よし 大みやう ふく日  ものたち  つめとりよし
«1696-1660»,«暦日2»,廿三〳,つちのえとら,なる,土,　,きこ  みそすつくり  つめとりよし
«1696-1670»,«暦日0»,廿四〳,つちのとのう,おさん,,　,大みやう ちいみ 大くわ
«1696-1680»,«暦日2»,廿五〳,かのえたつ,ひらく,金,　, けんふく かといてよし
«1696-1690»,«暦日0»,廿六〳,かのとのみ,とつ,,　,十し
«1696-1700»,«暦日2»,廿七〳,みつのえむま,たつ,木,　,大みやう 下しきうの時
«1696-1710»,«暦日0»,廿八〳,みつのとのひつし,のそく,,　,ふく日  田うへよし
«1696-1720»,«暦日1»,廿九〳,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
«1696-1730»,«月序»,六月,大,建,乙未,井宿　婁　金よう
«1696-1740»,«暦日1»,一〳,きのとのとり,たいら,水,　,神よし めつもん 地火
«1696-1750»,«暦日2»,二〳,ひのえいぬ,さたん,土,　,五む日  むきかりよし
«1696-1760»,«暦日0»,三〳,ひのとのい,とる,,はんけしやう,大みやう ちう日 ふく日
«1696-1770»,«暦日2»,四〳,つちのえね,やふる,火,　,●
«1696-1780»,«暦日0»,五〳,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
«1696-1790»,«暦日2»,六〳,かのえとら,なる,木,　,きこ  井ほり  つめとりよし
«1696-1800»,«暦日0»,七〳,かのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
«1696-1810»,«暦日2»,八〳,みつのえたつ,おさん,水,六月せつみの五刻ニ入,きしく 大みやう 五む日 めつもん
«1696-1820»,«暦日0»,九〳,みつのとのみ,ひらく,,天一天上,ちう日  いちたちよし
«1696-1830»,«暦日2»,十〳,きのえむま,とつ,金,　,●
«1696-1840»,«暦日0»,十一〳,きのとのひつし,たつ,,　,大みやう 五む日
«1696-1850»,«暦日2»,十二〳,ひのえさる,のそく,火,　,神よし
«1696-1860»,«暦日0»,十三〳,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
