《1790-0000》,# カンマ区切りテキスト形式です。
《1790-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1790-0020》,# ・表の区画内での改行は“/”で表記します。
《1790-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1790-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1790-0050》,# 外部リンク
《1790-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/216 ～ 220
《1790-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1790g　(GitHub上データを表成型)
《1790-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1790h　(翻刻編集データを表成型 - 未実装)
《1790-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1790-0100》,《版元》,出版地○○,出版元□□□,　
《1790-0910》,《暦日0》,五／,きのとのとり,とる,,　,神よし  くさかりよし
《1790-0920》,《暦日2》,六／,ひのえいぬ,やふる,土,とよう今暁うしの四刻ニ入,五む日
《1790-0930》,《暦日0》,七／,ひのとのい,あやふ,,　,●
《1790-0940》,《暦日2》,八／,つちのえね,なる,火,　,母倉 きこ ふく日
《1790-0950》,《暦日0》,九／,つちのとのうし,おさん,,　,十し
《1790-0960》,《節中》,穀雨三月中今暁とらの初刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《1790-0970》,《暦日2》,十／,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
《1790-0980》,《暦日0》,十一／,かのとのう,とつ,,　,神よし  わたまし ものたちよし
《1790-0990》,《暦日2》,十二／,みつのえたつ,たつ,水,　,大みやう 月とく 五む日
《1790-1000》,《暦日0》,十三／,みつのとのみ,のそく,,天一天上,母倉 ちう日 わうまう  けんふくよし
《1790-1010》,《暦日2》,十四／,きのえむま,みつ,金,　,神よし 母倉 天火 らうしやく  ふねのりよし
《1790-1020》,《暦日0》,十五／,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
《1790-1030》,《暦日2》,十六／,ひのえさる,さたん,火,　,くゑ日
《1790-1040》,《暦日0》,十七／,ひのとのとり,とる,,　,神よし 月とく  いちたちよし
《1790-1050》,《暦日2》,十八／,つちのえいぬ,やふる,木,　,ふく日
《1790-1060》,《暦日0》,十九／,つちのとのい,あやふ,,　,●
《1790-1070》,《暦日2》,廿／,かのえね,なる,土,八十八や,神よし きこ
《1790-1080》,《暦日0》,廿一／,かのとのうし,おさん,,　,十し
《1790-1090》,《暦日2》,廿二／,みつのえとら,ひらく,金,　,大みやう 月とく ちいみ  つめとりよし
《1790-1100》,《暦日0》,廿三／,みつのとのう,とつ,,　,神よし  けんふく かといてよし
《1790-1110》,《暦日1》,廿四／,きのえたつ,とつ,火,　,きしく 大みやう
《1790-1120》,《節中》,立夏四月せつたつの五刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
