«1813-0000»,【 カンマ区切りテキスト形式です。】
«1813-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1813-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1813-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1813-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1813-0050»,【 外部リンク　】
«1813-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/36 ～ 40】
«1813-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1813h　(翻刻編集終了データを表成型して表示します)】
«1813-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1813ht (翻刻編集中データを表成型して表示します)】
«1813-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1813-0100»,«版元»,出版地○○,出版元□□□,　
«1813-1600»,«暦日2»,八〳,きのえいぬ,とる,火,　, やたて くらたてよし
«1813-1610»,«暦日0»,九〳,きのとのい,とる,,　,ちう日  むきかり 田うへよし
«1813-1620»,«節中»,芒種五月せつみの一刻ニ入日の出より日入まて,昼五十九刻半|夜四十刻半,六より六まて,昼六十五刻余|夜三十四刻半余
«1813-1630»,«暦日2»,十〳,ひのえね,やふる,水,　,●
«1813-1640»,«暦日0»,十一〳,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
«1813-1650»,«暦日2»,十二〳,つちのえとら,なる,土,　,母倉 きこ  みそすつくり  つめとりよし
«1813-1660»,«暦日0»,十三〳,つちのとのう,おさん,,　,大みやう 天おん 母倉 ちいみ 大くわ
«1813-1670»,«暦日2»,十四〳,かのえたつ,ひらく,金,　,天おん  けんふく かといてよし
«1813-1680»,«暦日0»,十五〳,かのとのみ,とつ,,　,十し
«1813-1690»,«暦日2»,十六〳,みつのえむま,たつ,木,入梅,大みやう 天おん 下しきうの時
«1813-1700»,«暦日0»,十七〳,みつのとのひつし,のそく,,　,天おん ふく日  田うへよし
«1813-1710»,«暦日2»,十八〳,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
«1813-1720»,«暦日0»,十九〳,きのとのとり,たいら,,　,神よし めつもん 地火
«1813-1730»,«暦日2»,廿〳,ひのえいぬ,さたん,土,　,さい下しき 月とく 五む日  むきかりよし
«1813-1740»,«暦日0»,廿一〳,ひのとのい,とる,,　,大みやう ちう日 ふく日
«1813-1750»,«暦日2»,廿二〳,つちのえね,やふる,火,　,●
«1813-1760»,«暦日0»,廿三〳,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
«1813-1770»,«暦日1»,廿四〳,かのえとら,なる,木,　,母倉 きこ わうまう  井ほり  つめとりよし
«1813-1780»,«節中»,夏至五月中ひつしの六刻日の出より日入まて,昼五十九刻半余|夜四十刻余,六より六まて,昼六十五刻半余|夜三十四刻余
«1813-1790»,«暦日1»,廿五〳,かのとのう,おさん,木,　,母倉 月とく ちいみ 大くわ  ものたちよし
«1813-1800»,«暦日2»,廿六〳,みつのえたつ,ひらく,水,　,大みやう 五む日
«1813-1810»,«暦日0»,廿七〳,みつのとのみ,とつ,,天一天上,十し
«1813-1820»,«暦日2»,廿八〳,きのえむま,たつ,金,　,天しや よろつよし
«1813-1830»,«暦日0»,廿九〳,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
«1813-1840»,«月序»,六月,小,建,己未,張宿　畢　月よう
«1813-1850»,«暦日2»,一〳,ひのえさる,みつ,火,　,神よし 月とく  入学 いちたちよし
«1813-1860»,«暦日0»,二〳,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
«1813-1870»,«暦日2»,三〳,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
«1813-1880»,«暦日0»,四〳,つちのとのい,とる,,　,神よし ちう日
«1813-1890»,«暦日2»,五〳,かのえね,やふる,土,はんけしやう,●
«1813-1900»,«暦日0»,六〳,かのとのうし,あやふ,,　,神よし 月とく 五む日  つめとりよし
«1813-1910»,«暦日2»,七〳,みつのえとら,なる,金,　,大みやう 母倉 きこ  くさかり  つめとりよし
«1813-1920»,«暦日0»,八〳,みつのとのう,おさん,,　,母倉 ちいみ 大くわ ふく日
«1813-1930»,«暦日2»,九〳,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
«1813-1940»,«暦日0»,十〳,きのとのみ,ひらく,,　,大みやう 母倉 ちう日
«1813-1950»,«節中»,小暑六月せついぬの三刻ニ入日の出より日入まて,昼五十九刻半|夜四十刻半,六より六まて,昼六十五刻余|夜三十四刻半余
«1813-1960»,«暦日2»,十一〳,ひのえむま,とつ,水,　,●
«1813-1970»,«暦日0»,十二〳,ひのとのひつし,たつ,,　,くゑ日
«1813-1980»,«暦日2»,十三〳,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
«1813-1990»,«暦日0»,十四〳,つちのとのとり,みつ,,　,神よし 大みやう 天おん 月とく ちいみ ふく日
«1813-2000»,«暦日2»,十五〳,かのえいぬ,たいら,金,初伏,大みやう 天おん 大くわ 地火
«1813-2010»,«暦日0»,十六〳,かのとのい,さたん,,　,大みやう 天おん ちう日
«1813-2020»,«暦日2»,十七〳,みつのえね,とる,木,八せんのはしめ,天おん きこ 下しきたつの時
«1813-2030»,«暦日0»,十八〳,みつのとのうし,やふる,,ま日,十し
«1813-2040»,«暦日2»,十九〳,きのえとら,あやふ,水,　,母倉 月とく  やたて  つめとりよし
«1813-2050»,«暦日0»,廿〳,きのとのう,なる,,　,神よし 母倉 天火 らうしやく
«1813-2060»,«暦日2»,廿一〳,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
«1813-2070»,«暦日0»,廿二〳,ひのとのみ,ひらく,,とよう今夜ねの四刻ニ入,くゑ日 ちう日
«1813-2080»,«暦日2»,廿三〳,つちのえむま,とつ,火,ま日,●
«1813-2090»,«暦日0»,廿四〳,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
«1813-2100»,«暦日2»,廿五〳,かのえさる,のそく,木,中伏,神よし 大みやう  くさかりよし
«1813-2110»,«暦日0»,廿六〳,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
«1813-2120»,«節中»,大暑六月中今暁うしの初刻日の出より日入まて,昼五十八刻余|夜四十一刻半余,六より六まて,昼六十四刻|夜三十六刻
«1813-2130»,«暦日2»,廿七〳,みつのえいぬ,たいら,水,ま日,大くわ 地火
«1813-2140»,«暦日0»,廿八〳,みつのとのい,さたん,,八せんのおはり,ちう日
«1813-2150»,«暦日1»,廿九〳,きのえね,とる,金,　,天おん 月とく きこ 下しきたつの時
«1813-2160»,«月序»,七月,大,建,庚申,翼宿　觜　火よう
«1813-2170»,«暦日1»,一〳,きのとのうし,やふる,金,　,十し
«1813-2180»,«暦日2»,二〳,ひのえとら,あやふ,火,　,天おん  わたまし  つめとりよし
«1813-2190»,«暦日0»,三〳,ひのとのう,なる,,　,神よし 天おん 天火 らうしやく
«1813-2200»,«暦日2»,四〳,つちのえたつ,おさん,木,　,きしく 天おん 五む日 ふく日 めつもん わうまう
«1813-2210»,«暦日0»,五〳,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
«1813-2220»,«暦日2»,六〳,かのえむま,とつ,土,　,●
«1813-2230»,«暦日0»,七〳,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
«1813-2240»,«暦日2»,八〳,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
«1813-2250»,«暦日0»,九〳,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
«1813-2260»,«暦日2»,十〳,きのえいぬ,たいら,火,　,月とく 大くわ 地火  わたましよし
«1813-2270»,«暦日0»,十一〳,きのとのい,さたん,,　,ちう日
«1813-2280»,«暦日1»,十二〳,ひのえね,さたん,水,　, 田かりよし
«1813-2290»,«節中»,立秋七月せつうの五刻ニ入日の出より日入まて,昼五十六刻半余|夜四十三刻余,六より六まて,昼六十二刻余|夜三十七刻半余
«1813-2300»,«暦日1»,十三〳,ひのとのうし,とる,水,　,●
«1813-2310»,«暦日2»,十四〳,つちのえとら,やふる,土,　, たねまき  つめとりよし
«1813-2320»,«暦日0»,十五〳,つちのとのう,あやふ,,　,神よし 大みやう 天おん  みそすつくりよし
«1813-2330»,«暦日2»,十六〳,かのえたつ,なる,金,末伏,天おん 母倉 ちいみ ふく日  かといてよし
«1813-2340»,«暦日0»,十七〳,かのとのみ,おさん,,　,天おん 大くわ ちう日
«1813-2350»,«暦日2»,十八〳,みつのえむま,ひらく,木,　,神よし 大みやう 天おん 月とく 天火 らうしやく
«1813-2360»,«暦日0»,十九〳,みつのとのひつし,とつ,,　,天おん 母倉
«1813-2370»,«暦日2»,廿〳,きのえさる,たつ,水,十方くれニ入,大みやう ふく日 わうまう 下しきみの時
