《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1850》,《暦日2》,三／,ひのえたつ,ひらく,土,ま日,大みやう 月とく  けんふく いちたちよし
《1860》,《暦日0》,四／,ひのとのみ,とつ,,　,十し
《1870》,《節中》,夏至五月中みの二刻日の出より日入まて,昼五十九刻半余/夜四十刻余,六より六まて,昼六十五刻半余/夜三十四刻余
《1880》,《暦日2》,五／,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
《1890》,《暦日0》,六／,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
《1900》,《暦日2》,七／,かのえさる,みつ,木,　,神よし きしく 大みやう  入学 むきかりよし
《1910》,《暦日0》,八／,かのとのとり,たいら,,　,神よし 大みやう 月とく めつもん 地火
《1920》,《暦日2》,九／,みつのえいぬ,さたん,水,ま日, むきかりよし
《1930》,《暦日0》,十／,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
《1940》,《暦日2》,十一／,きのえね,やふる,金,　,●
《1950》,《暦日0》,十二／,きのとのうし,あやふ,,　,神よし 天おん  つめとりよし
《1960》,《暦日2》,十三／,ひのえとら,なる,火,　,天おん 母倉 月とく きこ  つめとりよし
《1970》,《暦日0》,十四／,ひのとのう,おさん,,はんけしやう,天おん 母倉 ちいみ 大くわ ふく日
《1980》,《暦日2》,十五／,つちのえたつ,ひらく,木,　,天おん 五む日  かまぬり 田うへよし
《1990》,《暦日0》,十六／,つちのとのみ,とつ,,　,十し
《2000》,《暦日2》,十七／,かのえむま,たつ,土,　,下しきうの時  むきかりよし
《2010》,《暦日0》,十八／,かのとのひつし,のそく,,　,大みやう 月とく  ふねのり 井ほりよし
《2020》,《暦日1》,十九／,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
《2030》,《節中》,小暑六月せつひつしの七刻ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《2040》,《暦日1》,廿／,みつのとのとり,みつ,金,　,神よし 大みやう ちいみ  みそすつくりよし
《2050》,《暦日2》,廿一／,きのえいぬ,たいら,火,　,月とく 大くわ 地火  わたましよし
《2060》,《暦日0》,廿二／,きのとのい,さたん,,　,ちう日
《2070》,《暦日2》,廿三／,ひのえね,とる,水,　,きこ 下しきたつの時
《2080》,《暦日0》,廿四／,ひのとのうし,やふる,,　,十し
《2090》,《暦日2》,廿五／,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
《2100》,《暦日0》,廿六／,つちのとのう,なる,,　,神よし 大みやう 天おん 月とく ふく日 天火 らうしやく
《2110》,《暦日2》,廿七／,かのえたつ,おさん,金,初伏,天おん めつもん  けんふくよし
《2120》,《暦日0》,廿八／,かのとのみ,ひらく,,　,天おん 母倉 ちう日  ものたちよし
《2130》,《暦日1》,廿九／,みつのえむま,とつ,木,　,●
《2140》,《月序》,六月,大,建,乙未,張宿　昴　日よう
《2150》,《暦日1》,一／,みつのとのひつし,たつ,木,　,天おん  たねまきよし
《2160》,《暦日2》,二／,きのえさる,のそく,水,とようとりの八刻ニ入/十方くれニ入,神よし 大みやう 月とく
《2170》,《暦日0》,三／,きのとのとり,みつ,,　,神よし ちいみ
《2180》,《暦日2》,四／,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
《2190》,《暦日0》,五／,ひのとのい,さたん,,　,大みやう ちう日
