《1718-0000》,# カンマ区切りテキスト形式です。
《1718-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1718-1820》,《暦日2》,七／,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
《1718-1830》,《暦日0》,八／,きのとのとり,たいら,,　,神よし めつもん 地火
《1718-1840》,《暦日2》,九／,ひのえいぬ,さたん,土,　,五む日  むきかりよし
《1718-1850》,《暦日0》,十／,ひのとのい,さたん,,六月せつとりの三刻ニ入,大みやう ちう日
《1718-1860》,《暦日2》,十一／,つちのえね,とる,火,　,きしく きこ ふく日 下しきたつの時
《1718-1870》,《暦日0》,十二／,つちのとのうし,やふる,,　,十し
《1718-1880》,《暦日2》,十三／,かのえとら,あやふ,木,　, やたて  つめとりよし
《1718-1890》,《暦日0》,十四／,かのとのう,なる,,　,神よし 天火 らうしやく
《1718-1900》,《暦日2》,十五／,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
《1718-1910》,《暦日0》,十六／,みつのとのみ,ひらく,,天一天上,ちう日  いちたちよし
《1718-1920》,《暦日2》,十七／,きのえむま,とつ,金,　,●
《1718-1930》,《暦日0》,十八／,きのとのひつし,たつ,,　,大みやう 五む日
《1718-1940》,《暦日2》,十九／,ひのえさる,のそく,火,　,神よし
《1718-1950》,《暦日0》,廿／,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
《1718-1960》,《暦日2》,廿一／,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
《1718-1970》,《暦日0》,廿二／,つちのとのい,さたん,,とよういの四刻ニ入,ちう日 ふく日  ふねのりよし
《1718-1980》,《暦日2》,廿三／,かのえね,とる,土,初伏,きこ 下しきたつの時
《1718-1990》,《暦日0》,廿四／,かのとのうし,やふる,,　,十し
《1718-2000》,《暦日2》,廿五／,みつのえとら,あやふ,金,六月中夜ねの初刻,大みやう  けんふく  つめとりよし
《1718-2010》,《暦日0》,廿六／,みつのとのう,なる,,　,神よし 天火 らうしやく
《1718-2020》,《暦日2》,廿七／,きのえたつ,おさん,火,　,大みやう めつもん  わたましよし
《1718-2030》,《暦日0》,廿八／,きのとのみ,ひらく,,　,大みやう ちう日
《1718-2040》,《暦日2》,廿九／,ひのえむま,とつ,水,　,●
《1718-2050》,《暦日0》,卅／,ひのとのひつし,たつ,,　,くゑ日
《1718-2060》,《月序》,七月,小,建,庚申,箕宿　奎　木よう
《1718-2070》,《暦日2》,一／,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
《1718-2080》,《暦日0》,二／,つちのとのとり,みつ,,　,神よし 大みやう ちいみ ふく日
《1718-2090》,《暦日2》,三／,かのえいぬ,たいら,金,中伏,大みやう 大くわ 地火 わうまう
《1718-2100》,《暦日0》,四／,かのとのい,さたん,,　,さい下しき 大みやう ちう日
