《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《1690》,《暦日0》,十八／,つちのとのう,おさん,,　,大みやう 天おん 母倉 ちいみ 大くわ
《1700》,《暦日2》,十九／,かのえたつ,ひらく,金,はんけしやう,天おん  けんふく かといてよし
《1710》,《暦日0》,廿／,かのとのみ,とつ,,　,十し
《1720》,《暦日2》,廿一／,みつのえむま,たつ,木,　,大みやう 天おん 下しきうの時
《1730》,《暦日0》,廿二／,みつのとのひつし,のそく,,　,天おん ふく日  田うへよし
《1740》,《暦日2》,廿三／,きのえさる,みつ,水,十方くれニ入,神よし きしく 大みやう
《1750》,《暦日0》,廿四／,きのとのとり,たいら,,　,神よし めつもん 地火
《1760》,《暦日1》,廿五／,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
《1770》,《節中》,小暑六月せつ今暁七時四分ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1780》,《暦日1》,廿六／,ひのとのい,さたん,土,　,大みやう ちう日
《1790》,《暦日2》,廿七／,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
《1800》,《暦日0》,廿八／,つちのとのうし,やふる,,　,十し
《1810》,《暦日2》,廿九／,かのえとら,あやふ,木,初伏,母倉  やたて  つめとりよし
《1820》,《暦日0》,卅／,かのとのう,なる,,　,神よし 母倉 天火 らうしやく
《1830》,《月序》,六月,大,建,癸未,張宿　氐　土よう
《1840》,《暦日2》,一／,みつのえたつ,おさん,水,　,さい下しき 大みやう 五む日 めつもん
《1850》,《暦日0》,二／,みつのとのみ,ひらく,,天一天上,母倉 ちう日  いちたちよし
《1860》,《暦日2》,三／,きのえむま,とつ,金,　,●
《1870》,《暦日0》,四／,きのとのひつし,たつ,,　,大みやう 五む日
《1880》,《暦日2》,五／,ひのえさる,のそく,火,　,神よし
《1890》,《暦日0》,六／,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
《1900》,《暦日2》,七／,つちのえいぬ,たいら,木,とよう朝五時四分ニ入,大くわ ふく日 地火
《1910》,《暦日0》,八／,つちのとのい,さたん,,　,月とく ちう日 ふく日  ふねのりよし
《1920》,《暦日2》,九／,かのえね,とる,土,中伏,きこ 下しきたつの時
《1930》,《暦日0》,十／,かのとのうし,やふる,,　,十し
《1940》,《節中》,大暑六月中暮六時七分日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《1950》,《暦日2》,十一／,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
《1960》,《暦日0》,十二／,みつのとのう,なる,,　,神よし 天火 らうしやく
