«1745-0000»,【 カンマ区切りテキスト形式です。】
«1745-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1745-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1745-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1745-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1745-0050»,【 外部リンク　】
«1745-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/214 ～ 219】
«1745-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1745h　(翻刻編集終了データを表成型して表示します)】
«1745-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1745ht (翻刻編集中データを表成型して表示します)】
«1745-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1745-0100»,«版元»,出版地○○,出版元□□□,　
«1745-1260»,«暦日0»,五〳,ひのとのひつし,たいら,,　,神よし めつもん 地火
«1745-1270»,«暦日1»,六〳,つちのえさる,たいら,土,　,神よし きしく ちいみ 大くわ 地火
«1745-1280»,«節中»,立夏四月せつみの二刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1745-1290»,«暦日1»,七〳,つちのとのとり,さたん,土,　,十し
«1745-1300»,«暦日2»,八〳,かのえいぬ,とる,金,　,大みやう  やたて くさかりよし
«1745-1310»,«暦日0»,九〳,かのとのい,やふる,,　,神よし 大みやう ちう日  さひらきよし
«1745-1320»,«暦日2»,十〳,みつのえね,あやふ,木,八せんのはしめ,神よし ふく日  くらたてよし
«1745-1330»,«暦日0»,十一〳,みつのとのうし,なる,,ま日,きこ  つめとりよし
«1745-1340»,«暦日2»,十二〳,きのえとら,おさん,水,　,めつもん  つめとりよし
«1745-1350»,«暦日0»,十三〳,きのとのう,ひらく,,　,わうまう  さひらきよし
«1745-1360»,«暦日2»,十四〳,ひのえたつ,とつ,土,ま日,大みやう ふく日
«1745-1370»,«暦日0»,十五〳,ひのとのみ,たつ,,　,●
«1745-1380»,«暦日2»,十六〳,つちのえむま,のそく,火,ま日,くゑ日
«1745-1390»,«暦日0»,十七〳,つちのとのひつし,みつ,,　,大みやう くゑ日
«1745-1400»,«暦日2»,十八〳,かのえさる,たいら,木,　,神よし 大みやう ちいみ 大くわ 地火
«1745-1410»,«暦日0»,十九〳,かのとのとり,さたん,,　,十し
«1745-1420»,«暦日2»,廿〳,みつのえいぬ,とる,水,ま日,ふく日
«1745-1430»,«暦日0»,廿一〳,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
«1745-1440»,«節中»,小満四月中ひつしの七刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1745-1450»,«暦日2»,廿二〳,きのえね,あやふ,金,　
«1745-1460»,«暦日0»,廿三〳,きのとのうし,なる,,　,きこ  かまぬり  つめとりよし
«1745-1470»,«暦日2»,廿四〳,ひのえとら,おさん,火,　,ふく日 めつもん  つめとりよし
«1745-1480»,«暦日0»,廿五〳,ひのとのう,ひらく,,　,神よし  わたましよし
«1745-1490»,«暦日2»,廿六〳,つちのえたつ,とつ,木,　,五む日 くゑ日
«1745-1500»,«暦日0»,廿七〳,つちのとのみ,たつ,,　,●
«1745-1510»,«暦日2»,廿八〳,かのえむま,のそく,土,　,神よし  さひらき みそすつくりよし
«1745-1520»,«暦日0»,廿九〳,かのとのひつし,みつ,,　,大みやう くゑ日
«1745-1530»,«月序»,五月,大,建,壬午,參宿　畢　月よう
«1745-1540»,«暦日2»,一〳,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
«1745-1550»,«暦日0»,二〳,みつのとのとり,さたん,,　,十し
«1745-1560»,«暦日2»,三〳,きのえいぬ,とる,火,　, やたて くらたてよし
