《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2535422/13 ～ 18
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1706g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1706h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《2550》,《暦日2》,廿一／,ひのえむま,おさん,水,　,大みやう めつもん
《2560》,《暦日0》,廿二／,ひのとのひつし,ひらく,,　,●
《2570》,《暦日2》,廿三／,つちのえさる,とつ,土,　,天しや よろつよし
《2580》,《暦日0》,廿四／,つちのとのとり,たつ,,　,大みやう くゑ日 天火 らうしやく 下しきむまの時
《2590》,《暦日2》,廿五／,かのえいぬ,のそく,金,　,大みやう ちいみ
《2600》,《暦日0》,廿六／,かのとのい,みつ,,　,さい下しき 神よし 大みやう ちう日 ふく日
《2610》,《暦日2》,廿七／,みつのえね,たいら,木,八せんのはしめ,神よし 大くわ 地火
《2620》,《暦日0》,廿八／,みつのとのうし,さたん,,ま日,神よし  たねまき 竹木こり  つめとりよし
《2630》,《暦日2》,廿九／,きのえとら,とる,水,　,きこ  かまぬり 田かり  つめとりよし
《2640》,《暦日0》,卅／,きのとのう,やふる,,　,くゑ日 ふく日
《2650》,《月序》,九月,小,建,戊戌,心宿　奎　木よう
《2660》,《暦日2》,一／,ひのえたつ,やふる,土,かん露九月せつとらの三刻ニ入/ま日,大みやう  かとたてよし
《2670》,《暦日0》,二／,ひのとのみ,あやふ,,　,ちいみ ちう日 下しきひつしの時
《2680》,《暦日2》,三／,つちのえむま,なる,火,ま日,神よし ふく日
