《1690-0000》,# カンマ区切りテキスト形式です。
《1690-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1690-1660》,《暦日2》,廿二／,みつのえね,やふる,木,八せんのはしめ,●
《1690-1670》,《暦日0》,廿三／,みつのとのうし,あやふ,,ま日,神よし ふく日  むきかり  つめとりよし
《1690-1680》,《暦日2》,廿四／,きのえとら,なる,水,　,きこ  田うへ  つめとりよし
《1690-1690》,《暦日0》,廿五／,きのとのう,おさん,,はんけしやう,ちいみ 大くわ  ものたちよし
《1690-1700》,《暦日2》,廿六／,ひのえたつ,ひらく,土,ま日,大みやう  けんふく いちたちよし
《1690-1710》,《暦日0》,廿七／,ひのとのみ,とつ,,　,十し
《1690-1720》,《暦日2》,廿八／,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
《1690-1730》,《暦日0》,廿九／,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
《1690-1740》,《月序》,六月,大,建,癸未,尾宿　奎　木よう
《1690-1750》,《暦日2》,一／,かのえさる,のそく,木,六月せつ夜ねの二刻ニ入,神よし 大みやう  くさかりよし
《1690-1760》,《暦日0》,二／,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
《1690-1770》,《暦日2》,三／,みつのえいぬ,たいら,水,ま日,大くわ 地火
《1690-1780》,《暦日0》,四／,みつのとのい,さたん,,八せんのおはり,ちう日
《1690-1790》,《暦日2》,五／,きのえね,とる,金,　,きこ 下しきたつの時
《1690-1800》,《暦日0》,六／,きのとのうし,やふる,,　,十し
《1690-1810》,《暦日2》,七／,ひのえとら,あやふ,火,　, わたまし  つめとりよし
《1690-1820》,《暦日0》,八／,ひのとのう,なる,,　,神よし 天火 らうしやく
《1690-1830》,《暦日2》,九／,つちのえたつ,おさん,木,　,きしく 五む日 ふく日 めつもん
《1690-1840》,《暦日0》,十／,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
《1690-1850》,《暦日2》,十一／,かのえむま,とつ,土,初伏,●
《1690-1860》,《暦日0》,十二／,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
《1690-1870》,《暦日2》,十三／,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
《1690-1880》,《暦日0》,十四／,みつのとのとり,みつ,,とようとらの二刻ニ入,神よし 大みやう ちいみ  みそすつくりよし
《1690-1890》,《暦日2》,十五／,きのえいぬ,たいら,火,　,大くわ 地火  わたましよし
《1690-1900》,《暦日0》,十六／,きのとのい,さたん,,　,ちう日
《1690-1910》,《暦日2》,十七／,ひのえね,とる,水,六月中とらの七刻,きこ 下しきたつの時
《1690-1920》,《暦日0》,十八／,ひのとのうし,やふる,,　,十し
《1690-1930》,《暦日2》,十九／,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
《1690-1940》,《暦日0》,廿／,つちのとのう,なる,,　,神よし 大みやう ふく日 天火 らうしやく
《1690-1950》,《暦日2》,廿一／,かのえたつ,おさん,金,中伏,めつもん  けんふくよし
《1690-1960》,《暦日0》,廿二／,かのとのみ,ひらく,,　,ちう日  ものたちよし
《1690-1970》,《暦日2》,廿三／,みつのえむま,とつ,木,　,●
《1690-1980》,《暦日0》,廿四／,みつのとのひつし,たつ,,　,わうまう  たねまきよし
《1690-1990》,《暦日2》,廿五／,きのえさる,のそく,水,十方くれニ入,神よし 大みやう
《1690-2000》,《暦日0》,廿六／,きのとのとり,みつ,,　,神よし ちいみ
《1690-2010》,《暦日2》,廿七／,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
《1690-2020》,《暦日0》,廿八／,ひのとのい,さたん,,　,大みやう ちう日
《1690-2030》,《暦日2》,廿九／,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
《1690-2040》,《暦日0》,卅／,つちのとのうし,やふる,,　,十し
《1690-2050》,《月序》,七月,小,建,甲申,箕宿　胃　土よう
《1690-2060》,《暦日2》,一／,かのえとら,あやふ,木,　, やたて  つめとりよし
《1690-2070》,《暦日0》,二／,かのとのう,あやふ,,立秋七月せつみの四刻ニ入,神よし
《1690-2080》,《暦日2》,三／,みつのえたつ,なる,水,　,大みやう 五む日 ちいみ
《1690-2090》,《暦日0》,四／,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
《1690-2100》,《暦日2》,五／,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
《1690-2110》,《暦日0》,六／,きのとのひつし,とつ,,　,大みやう 五む日
《1690-2120》,《暦日2》,七／,ひのえさる,たつ,火,　,神よし きしく 下しきみの時  入学よし
《1690-2130》,《暦日0》,八／,ひのとのとり,のそく,,　,十し
《1690-2140》,《暦日2》,九／,つちのえいぬ,みつ,木,　, くらたて かまぬりよし
《1690-2150》,《暦日0》,十／,つちのとのい,たいら,,　,ちう日 めつもん 地火 わうまう
《1690-2160》,《暦日2》,十一／,かのえね,さたん,土,末伏,神よし ふく日
《1690-2170》,《暦日0》,十二／,かのとのうし,とる,,　,●
《1690-2180》,《暦日2》,十三／,みつのえとら,やふる,金,　,大みやう  やたて  つめとりよし
