《1691-0000》,# カンマ区切りテキスト形式です。
《1691-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1691-1010》,《暦日0》,十七／,みつのとのう,とつ,,　,神よし  けんふく かといてよし
《1691-1020》,《暦日2》,十八／,きのえたつ,たつ,火,　,大みやう くゑ日
《1691-1030》,《暦日0》,十九／,きのとのみ,のそく,,　,神よし 大みやう ちう日  ふねのりよし
《1691-1040》,《暦日2》,廿／,ひのえむま,みつ,水,　,神よし 大みやう 天火 らうしやく
《1691-1050》,《暦日0》,廿一／,ひのとのひつし,たいら,,とよううしの四刻ニ入,神よし めつもん 地火
《1691-1060》,《暦日2》,廿二／,つちのえさる,さたん,土,　,きしく くゑ日 ふく日
《1691-1070》,《暦日0》,廿三／,つちのとのとり,とる,,　,神よし 大みやう ふく日
《1691-1080》,《暦日2》,廿四／,かのえいぬ,やふる,金,三月中とらの初刻,大みやう
《1691-1090》,《暦日0》,廿五／,かのとのい,あやふ,,　,●
《1691-1100》,《暦日2》,廿六／,みつのえね,なる,木,八せんのはしめ,神よし きこ
《1691-1110》,《暦日0》,廿七／,みつのとのうし,おさん,,ま日,十し
《1691-1120》,《暦日2》,廿八／,きのえとら,ひらく,水,　,ちいみ わうまう  やたて  つめとりよし
《1691-1130》,《暦日0》,廿九／,きのとのう,とつ,,　,神よし  ものたちよし
《1691-1140》,《月序》,四月,大,建,癸巳,婁宿　氐　土よう
《1691-1150》,《暦日2》,一／,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
《1691-1160》,《暦日0》,二／,ひのとのみ,のそく,,　,ちう日  いちたちよし
《1691-1170》,《暦日2》,三／,つちのえむま,みつ,火,ま日,神よし ふく日 天火 らうしやく  ふねのりよし
《1691-1180》,《暦日0》,四／,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1691-1190》,《暦日2》,五／,かのえさる,さたん,木,　,さい下しき 大みやう くゑ日
《1691-1200》,《暦日0》,六／,かのとのとり,とる,,八十八や,神よし 大みやう  井ほりよし
《1691-1210》,《暦日2》,七／,みつのえいぬ,やふる,水,ま日
《1691-1220》,《暦日0》,八／,みつのとのい,あやふ,,八せんのおはり,●
《1691-1230》,《暦日2》,九／,きのえね,なる,金,　,くゑ日 きこ
《1691-1240》,《暦日0》,十／,きのとのうし,なる,,立夏四月せつたつの五刻ニ入,きこ  かまぬり  つめとりよし
《1691-1250》,《暦日2》,十一／,ひのえとら,おさん,火,　,ふく日 めつもん  つめとりよし
《1691-1260》,《暦日0》,十二／,ひのとのう,ひらく,,　,神よし  わたましよし
《1691-1270》,《暦日2》,十三／,つちのえたつ,とつ,木,　,五む日 くゑ日
《1691-1280》,《暦日0》,十四／,つちのとのみ,たつ,,　,●
《1691-1290》,《暦日2》,十五／,かのえむま,のそく,土,　,神よし  さひらき みそすつくりよし
《1691-1300》,《暦日0》,十六／,かのとのひつし,みつ,,　,大みやう くゑ日
《1691-1310》,《暦日2》,十七／,みつのえさる,たいら,金,　,大みやう ちいみ 大くわ ふく日 地火 わうまう
《1691-1320》,《暦日0》,十八／,みつのとのとり,さたん,,　,十し
《1691-1330》,《暦日2》,十九／,きのえいぬ,とる,火,　, やたて くらたてよし
《1691-1340》,《暦日0》,廿／,きのとのい,やふる,,　,ちう日
《1691-1350》,《暦日2》,廿一／,ひのえね,あやふ,水,　,きしく ふく日  さひらきよし
《1691-1360》,《暦日0》,廿二／,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
《1691-1370》,《暦日2》,廿三／,つちのえとら,おさん,土,　,めつもん  たねまき  つめとりよし
《1691-1380》,《暦日0》,廿四／,つちのとのう,ひらく,,　,神よし 大みやう  入学よし
《1691-1390》,《暦日2》,廿五／,かのえたつ,とつ,金,四月中ひつしの二刻, けんふくよし
《1691-1400》,《暦日0》,廿六／,かのとのみ,たつ,,　,●
《1691-1410》,《暦日2》,廿七／,みつのえむま,のそく,木,　,神よし 大みやう ふく日
《1691-1420》,《暦日0》,廿八／,みつのとのひつし,みつ,,　,くゑ日
《1691-1430》,《暦日2》,廿九／,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
《1691-1440》,《暦日0》,卅／,きのとのとり,さたん,,　,十し
《1691-1450》,《月序》,五月,小,建,甲午,胃宿　心　月よう
《1691-1460》,《暦日2》,一／,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
《1691-1470》,《暦日0》,二／,ひのとのい,やふる,,　,大みやう ちう日
《1691-1480》,《暦日2》,三／,つちのえね,あやふ,火,　, けんふくよし
《1691-1490》,《暦日0》,四／,つちのとのうし,なる,,　,きこ  つめとりよし
《1691-1500》,《暦日2》,五／,かのえとら,おさん,木,　,めつもん  さひらき  つめとりよし
《1691-1510》,《暦日0》,六／,かのとのう,ひらく,,　,神よし  やたて ものたちよし
《1691-1520》,《暦日2》,七／,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
《1691-1530》,《暦日0》,八／,みつのとのみ,たつ,,天一天上,●
《1691-1540》,《暦日2》,九／,きのえむま,のそく,金,　,天しや よろつよし
《1691-1550》,《暦日0》,十／,きのとのひつし,のそく,,五月せつとりの七刻ニ入,大みやう 五む日  むきかりよし
《1691-1560》,《暦日2》,十一／,ひのえさる,みつ,火,　,神よし  入学 いちたちよし
《1691-1570》,《暦日0》,十二／,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
《1691-1580》,《暦日2》,十三／,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
《1691-1590》,《暦日0》,十四／,つちのとのい,とる,,　,神よし ちう日
《1691-1600》,《暦日2》,十五／,かのえね,やふる,土,　,●
《1691-1610》,《暦日0》,十六／,かのとのうし,あやふ,,　,神よし 五む日  つめとりよし
《1691-1620》,《暦日2》,十七／,みつのえとら,なる,金,入梅,大みやう きこ  くさかり  つめとりよし
《1691-1630》,《暦日0》,十八／,みつのとのう,おさん,,　,ちいみ 大くわ ふく日
《1691-1640》,《暦日2》,十九／,きのえたつ,ひらく,火,　,きしく 大みやう  むきかり 田うへよし
《1691-1650》,《暦日0》,廿／,きのとのみ,とつ,,　,十し
《1691-1660》,《暦日2》,廿一／,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
《1691-1670》,《暦日0》,廿二／,ひのとのひつし,のそく,,　,神よし ふく日
《1691-1680》,《暦日2》,廿三／,つちのえさる,みつ,土,　,神よし  入学よし
《1691-1690》,《暦日0》,廿四／,つちのとのとり,たいら,,　,神よし 大みやう めつもん 地火
《1691-1700》,《暦日2》,廿五／,かのえいぬ,さたん,金,　,大みやう  かといてよし
《1691-1710》,《暦日0》,廿六／,かのとのい,とる,,夏至五月中ねの四刻,神よし 大みやう ちう日  入学よし
《1691-1720》,《暦日2》,廿七／,みつのえね,やふる,木,八せんのはしめ,●
《1691-1730》,《暦日0》,廿八／,みつのとのうし,あやふ,,ま日,神よし ふく日  むきかり  つめとりよし
《1691-1740》,《暦日1》,廿九／,きのえとら,なる,水,　,きこ  田うへ  つめとりよし
《1691-1750》,《月序》,六月,小,建,乙未,昴宿　尾　火よう
《1691-1760》,《暦日1》,一／,きのとのう,おさん,水,　,ちいみ 大くわ  ものたちよし
《1691-1770》,《暦日2》,二／,ひのえたつ,ひらく,土,ま日,大みやう  けんふく いちたちよし
《1691-1780》,《暦日0》,三／,ひのとのみ,とつ,,　,十し
《1691-1790》,《暦日2》,四／,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
《1691-1800》,《暦日0》,五／,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
《1691-1810》,《暦日2》,六／,かのえさる,みつ,木,　,さい下しき 神よし 大みやう  入学 むきかりよし
《1691-1820》,《暦日0》,七／,かのとのとり,たいら,,はんけしやう,神よし 大みやう めつもん 地火
《1691-1830》,《暦日2》,八／,みつのえいぬ,さたん,水,ま日, むきかりよし
《1691-1840》,《暦日0》,九／,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
