«1780-0000»,【 カンマ区切りテキスト形式です。】
«1780-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1780-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1780-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1780-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1780-0050»,【 外部リンク　】
«1780-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/169 ～ 173】
«1780-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1780h　(翻刻編集終了データを表成型して表示します)】
«1780-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1780ht (翻刻編集中データを表成型して表示します)】
«1780-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1780-0100»,«版元»,出版地○○,出版元□□□,　
«1780-1970»,«暦日2»,十一〳,つちのえむま,とつ,火,ま日,●
«1780-1980»,«暦日0»,十二〳,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
«1780-1990»,«暦日2»,十三〳,かのえさる,のそく,木,初伏,神よし きしく 大みやう  くさかりよし
«1780-2000»,«暦日0»,十四〳,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
«1780-2010»,«暦日2»,十五〳,みつのえいぬ,たいら,水,ま日,大くわ 地火
«1780-2020»,«暦日0»,十六〳,みつのとのい,さたん,,八せんのおはり,ちう日
«1780-2030»,«暦日2»,十七〳,きのえね,とる,金,とよう今夜ねの二刻ニ入,天おん 月とく きこ 下しきたつの時
«1780-2040»,«暦日0»,十八〳,きのとのうし,やふる,,　,十し
«1780-2050»,«暦日2»,十九〳,ひのえとら,あやふ,火,　,天おん  わたまし  つめとりよし
«1780-2060»,«暦日0»,廿〳,ひのとのう,なる,,　,神よし 天おん 天火 らうしやく
«1780-2070»,«暦日1»,廿一〳,つちのえたつ,おさん,木,　,天おん 五む日 ふく日 めつもん
