«1777-0000»,【 カンマ区切りテキスト形式です。】
«1777-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1777-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1777-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1777-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1777-0050»,【 外部リンク　】
«1777-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/155 ～ 159】
«1777-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1777h　(翻刻編集終了データを表成型して表示します)】
«1777-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1777ht (翻刻編集中データを表成型して表示します)】
«1777-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1777-0100»,«版元»,出版地○○,出版元□□□,　
«1777-1120»,«暦日0»,廿五〳,かのとのう,とつ,,八十八や,神よし  わたまし ものたちよし
«1777-1130»,«暦日2»,廿六〳,みつのえたつ,たつ,水,　,大みやう 月とく 五む日
«1777-1140»,«暦日0»,廿七〳,みつのとのみ,のそく,,天一天上,母倉 ちう日  けんふくよし
«1777-1150»,«暦日2»,廿八〳,きのえむま,みつ,金,　,神よし 母倉 天火 らうしやく  ふねのりよし
«1777-1160»,«暦日0»,廿九〳,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
«1777-1170»,«月序»,四月,大,建,乙巳,危宿　箕　水よう
«1777-1180»,«暦日1»,一〳,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
«1777-1190»,«節中»,立夏四月せつ今暁とらの八刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1777-1200»,«暦日1»,二〳,ひのとのとり,さたん,火,　,十し
«1777-1210»,«暦日2»,三〳,つちのえいぬ,とる,木,　, くらたて かまぬりよし
«1777-1220»,«暦日0»,四〳,つちのとのい,やふる,,　,くゑ日 ちう日
«1777-1230»,«暦日2»,五〳,かのえね,あやふ,土,　,神よし 月とく  わたまし たねまきよし
«1777-1240»,«暦日0»,六〳,かのとのうし,なる,,　,五む日 きこ  つめとりよし
«1777-1250»,«暦日2»,七〳,みつのえとら,おさん,金,　,大みやう 母倉 ふく日 めつもん  つめとりよし
«1777-1260»,«暦日0»,八〳,みつのとのう,ひらく,,　,母倉 わうまう  かといて さひらきよし
«1777-1270»,«暦日2»,九〳,きのえたつ,とつ,火,　,大みやう
«1777-1280»,«暦日0»,十〳,きのとのみ,たつ,,　,●
«1777-1290»,«暦日2»,十一〳,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
«1777-1300»,«暦日0»,十二〳,ひのとのひつし,みつ,,　,くゑ日
«1777-1310»,«暦日2»,十三〳,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
«1777-1320»,«暦日0»,十四〳,つちのとのとり,さたん,,　,十し
«1777-1330»,«暦日2»,十五〳,かのえいぬ,とる,金,　,大みやう 天おん 月とく  やたて くさかりよし
«1777-1340»,«暦日0»,十六〳,かのとのい,やふる,,　,神よし 大みやう 天おん ちう日  さひらきよし
«1777-1350»,«節中»,小満四月中みの五刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1777-1360»,«暦日2»,十七〳,みつのえね,あやふ,木,八せんのはしめ,神よし きしく 天おん ふく日  くらたてよし
«1777-1370»,«暦日0»,十八〳,みつのとのうし,なる,,ま日,天おん きこ  つめとりよし
«1777-1380»,«暦日2»,十九〳,きのえとら,おさん,水,　,母倉 めつもん  つめとりよし
«1777-1390»,«暦日0»,廿〳,きのとのう,ひらく,,　,神よし 母倉 月とく  さひらきよし
«1777-1400»,«暦日2»,廿一〳,ひのえたつ,とつ,土,ま日,大みやう ふく日
«1777-1410»,«暦日0»,廿二〳,ひのとのみ,たつ,,　,●
«1777-1420»,«暦日2»,廿三〳,つちのえむま,のそく,火,ま日,くゑ日
«1777-1430»,«暦日0»,廿四〳,つちのとのひつし,みつ,,　,大みやう くゑ日
«1777-1440»,«暦日2»,廿五〳,かのえさる,たいら,木,　,神よし 大みやう 月とく ちいみ 大くわ 地火
«1777-1450»,«暦日0»,廿六〳,かのとのとり,さたん,,　,十し
