《1871-0000》,# カンマ区切りテキスト形式です。
《1871-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1871-0020》,# ・表の区画内での改行は“/”で表記します。
《1871-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1871-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1871-0050》,# 外部リンク
《1871-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546787/154 ～ 159
《1871-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1871g　(GitHub上データを表成型)
《1871-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1871h　(翻刻編集データを表成型 - 未実装)
《1871-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1871-0100》,《版元》,出版地○○,出版元□□□,　
《1871-2230》,《暦日0》,五／,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
《1871-2240》,《暦日2》,六／,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
《1871-2250》,《暦日0》,七／,きのとのひつし,とつ,,　,大みやう 母倉 五む日
《1871-2260》,《暦日2》,八／,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
《1871-2270》,《暦日0》,九／,ひのとのとり,のそく,,　,十し
《1871-2280》,《節中》,処暑七月中今暁九時一分日の出より日入まて,昼五十四刻半/夜四十五刻半,六より六まて,昼五十九刻半余/夜四十刻余
《1871-2290》,《暦日2》,十／,つちのえいぬ,みつ,木,　,母倉  くらたて かまぬりよし
《1871-2300》,《暦日0》,十一／,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
《1871-2310》,《暦日2》,十二／,かのえね,さたん,土,　,神よし ふく日
《1871-2320》,《暦日0》,十三／,かのとのうし,とる,,　,●
《1871-2330》,《暦日2》,十四／,みつのえとら,やふる,金,　,大みやう 月とく  やたて  つめとりよし
《1871-2340》,《暦日0》,十五／,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
《1871-2350》,《暦日2》,十六／,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
《1871-2360》,《暦日0》,十七／,きのとのみ,おさん,,二百十日,神よし 大みやう 大くわ ちう日  けんふくよし
《1871-2370》,《暦日2》,十八／,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
《1871-2380》,《暦日0》,十九／,ひのとのひつし,とつ,,　,神よし 母倉 月とく  いちたちよし
《1871-2390》,《暦日2》,廿／,つちのえさる,たつ,土,　,天しや よろつよし
《1871-2400》,《暦日0》,廿一／,つちのとのとり,のそく,,　,十し
《1871-2410》,《暦日2》,廿二／,かのえいぬ,みつ,金,　,大みやう 天おん 母倉 ふく日
《1871-2420》,《暦日0》,廿三／,かのとのい,たいら,,　,神よし 大みやう 天おん ちう日 めつもん 地火
《1871-2430》,《暦日1》,廿四／,みつのえね,たいら,木,八せんのはしめ,神よし きしく 天おん 大くわ 地火
《1871-2440》,《節中》,白露八月せつ昼九時一分ニ入日の出より日入まて,昼五十二刻余/夜四十七刻半余,六より六まて,昼五十七刻半/夜四十二刻半
《1871-2450》,《暦日1》,廿五／,みつのとのうし,さたん,木,ま日,神よし 天おん 母倉  たねまき 竹木こり  つめとりよし
《1871-2460》,《暦日2》,廿六／,きのえとら,とる,水,　,きこ  かまぬり 田かり  つめとりよし
《1871-2470》,《暦日0》,廿七／,きのとのう,やふる,,二百廿日,くゑ日 ふく日
《1871-2480》,《暦日2》,廿八／,ひのえたつ,あやふ,土,ま日,大みやう 母倉
《1871-2490》,《暦日0》,廿九／,ひのとのみ,なる,,　,十し
《1871-2500》,《暦日1》,卅／,つちのえむま,おさん,火,ま日,めつもん
《1871-2510》,《月序》,八月,小,建,丁酉,柳宿　亢　金よう
《1871-2520》,《暦日1》,一／,つちのとのひつし,ひらく,火,　,●
