《1870-0000》,# カンマ区切りテキスト形式です。
《1870-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1870-1340》,《暦日2》,十四／,かのえいぬ,とる,金,　,大みやう 天おん 月とく  やたて くさかりよし
《1870-1350》,《暦日0》,十五／,かのとのい,やふる,,　,神よし 大みやう 天おん ちう日  さひらきよし
《1870-1360》,《暦日2》,十六／,みつのえね,あやふ,木,八せんのはしめ,神よし 天おん ふく日  くらたてよし
《1870-1370》,《暦日0》,十七／,みつのとのうし,なる,,ま日,天おん きこ  つめとりよし
《1870-1380》,《暦日2》,十八／,きのえとら,おさん,水,　,母倉 めつもん  つめとりよし
《1870-1390》,《暦日0》,十九／,きのとのう,ひらく,,　,神よし 母倉 月とく  さひらきよし
《1870-1400》,《暦日2》,廿／,ひのえたつ,とつ,土,ま日,きしく 大みやう ふく日
《1870-1410》,《暦日0》,廿一／,ひのとのみ,たつ,,　,●
《1870-1420》,《節中》,小満四月中昼八時八分日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《1870-1430》,《暦日2》,廿二／,つちのえむま,のそく,火,ま日,くゑ日
《1870-1440》,《暦日0》,廿三／,つちのとのひつし,みつ,,　,大みやう くゑ日
《1870-1450》,《暦日2》,廿四／,かのえさる,たいら,木,　,神よし 大みやう 月とく ちいみ 大くわ 地火
《1870-1460》,《暦日0》,廿五／,かのとのとり,さたん,,　,十し
《1870-1470》,《暦日2》,廿六／,みつのえいぬ,とる,水,ま日,ふく日
《1870-1480》,《暦日0》,廿七／,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
《1870-1490》,《暦日2》,廿八／,きのえね,あやふ,金,　,天おん
《1870-1500》,《暦日0》,廿九／,きのとのうし,なる,,　,天おん 月とく きこ  かまぬり  つめとりよし
《1870-1510》,《月序》,五月,大,建,壬午,牛宿　心　月よう
《1870-1520》,《暦日2》,一／,ひのえとら,おさん,火,　,天おん 母倉 ふく日 めつもん  つめとりよし
《1870-1530》,《暦日0》,二／,ひのとのう,ひらく,,　,神よし 天おん 母倉  わたましよし
《1870-1540》,《暦日2》,三／,つちのえたつ,とつ,木,　,五む日 くゑ日
《1870-1550》,《暦日0》,四／,つちのとのみ,たつ,,　,●
《1870-1560》,《暦日2》,五／,かのえむま,のそく,土,　,神よし 月とく  さひらき みそすつくりよし
《1870-1570》,《暦日0》,六／,かのとのひつし,みつ,,　,大みやう くゑ日
《1870-1580》,《暦日2》,七／,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
《1870-1590》,《暦日0》,八／,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1870-1600》,《節中》,芒種五月せつ朝五時四分ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1870-1610》,《暦日2》,九／,きのえいぬ,さたん,火,　, わたまし くらたてよし
《1870-1620》,《暦日0》,十／,きのとのい,とる,,　,ちう日  むきかり 田うへよし
《1870-1630》,《暦日2》,十一／,ひのえね,やふる,水,　,●
《1870-1640》,《暦日0》,十二／,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
《1870-1650》,《暦日2》,十三／,つちのえとら,なる,土,　,母倉 きこ  みそすつくり  つめとりよし
《1870-1660》,《暦日0》,十四／,つちのとのう,おさん,,　,大みやう 天おん 母倉 ちいみ 大くわ
《1870-1670》,《暦日2》,十五／,かのえたつ,ひらく,金,　,天おん  けんふく かといてよし
《1870-1680》,《暦日0》,十六／,かのとのみ,とつ,,　,十し
《1870-1690》,《暦日2》,十七／,みつのえむま,たつ,木,入梅,大みやう 天おん 下しきうの時
《1870-1700》,《暦日0》,十八／,みつのとのひつし,のそく,,　,天おん ふく日  田うへよし
《1870-1710》,《暦日2》,十九／,きのえさる,みつ,水,十方くれニ入,神よし きしく 大みやう
《1870-1720》,《暦日0》,廿／,きのとのとり,たいら,,　,神よし めつもん 地火
《1870-1730》,《暦日2》,廿一／,ひのえいぬ,さたん,土,　,月とく 五む日  むきかりよし
《1870-1740》,《暦日0》,廿二／,ひのとのい,とる,,　,大みやう ちう日 ふく日
《1870-1750》,《暦日2》,廿三／,つちのえね,やふる,火,　,●
《1870-1760》,《暦日0》,廿四／,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
《1870-1770》,《節中》,夏至五月中今暁九時六分日の出より日入まて,昼五十九刻半余/夜四十刻余,六より六まて,昼六十五刻半余/夜三十四刻余
《1870-1780》,《暦日2》,廿五／,かのえとら,なる,木,　,母倉 きこ  井ほり  つめとりよし
《1870-1790》,《暦日0》,廿六／,かのとのう,おさん,,　,母倉 月とく ちいみ 大くわ  ものたちよし
《1870-1800》,《暦日2》,廿七／,みつのえたつ,ひらく,水,　,大みやう 五む日
《1870-1810》,《暦日0》,廿八／,みつのとのみ,とつ,,天一天上,十し
《1870-1820》,《暦日2》,廿九／,きのえむま,たつ,金,　,天しや よろつよし
《1870-1830》,《暦日0》,卅／,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
《1870-1840》,《月序》,六月,小,建,癸未,女宿　箕　水よう
《1870-1850》,《暦日2》,一／,ひのえさる,みつ,火,　,神よし 月とく  入学 いちたちよし
《1870-1860》,《暦日0》,二／,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
《1870-1870》,《暦日2》,三／,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
《1870-1880》,《暦日0》,四／,つちのとのい,とる,,はんけしやう,神よし ちう日
《1870-1890》,《暦日2》,五／,かのえね,やふる,土,　,●
《1870-1900》,《暦日0》,六／,かのとのうし,あやふ,,　,神よし 月とく 五む日  つめとりよし
《1870-1910》,《暦日2》,七／,みつのえとら,なる,金,　,大みやう 母倉 きこ  くさかり  つめとりよし
《1870-1920》,《暦日0》,八／,みつのとのう,おさん,,　,母倉 ちいみ 大くわ ふく日
《1870-1930》,《暦日1》,九／,きのえたつ,おさん,火,　,大みやう 月とく めつもん  わたましよし
《1870-1940》,《節中》,小暑六月せつ夕七時四分ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1870-1950》,《暦日1》,十／,きのとのみ,ひらく,火,　,大みやう 母倉 ちう日
《1870-1960》,《暦日2》,十一／,ひのえむま,とつ,水,　,●
《1870-1970》,《暦日0》,十二／,ひのとのひつし,たつ,,　,さい下しき くゑ日
《1870-1980》,《暦日2》,十三／,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
《1870-1990》,《暦日0》,十四／,つちのとのとり,みつ,,　,神よし 大みやう 天おん 月とく ちいみ ふく日
《1870-2000》,《暦日2》,十五／,かのえいぬ,たいら,金,初伏,大みやう 天おん 大くわ 地火
《1870-2010》,《暦日0》,十六／,かのとのい,さたん,,　,大みやう 天おん ちう日
《1870-2020》,《暦日2》,十七／,みつのえね,とる,木,八せんのはしめ,きしく 天おん きこ 下しきたつの時
《1870-2030》,《暦日0》,十八／,みつのとのうし,やふる,,ま日,十し
《1870-2040》,《暦日2》,十九／,きのえとら,あやふ,水,　,母倉 月とく  やたて  つめとりよし
《1870-2050》,《暦日0》,廿／,きのとのう,なる,,　,神よし 母倉 天火 らうしやく
《1870-2060》,《暦日2》,廿一／,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
《1870-2070》,《暦日0》,廿二／,ひのとのみ,ひらく,,とよう朝五時三分ニ入,くゑ日 ちう日
《1870-2080》,《暦日2》,廿三／,つちのえむま,とつ,火,ま日,●
《1870-2090》,《暦日0》,廿四／,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
《1870-2100》,《暦日1》,廿五／,かのえさる,のそく,木,中伏,神よし 大みやう  くさかりよし
《1870-2110》,《節中》,大暑六月中朝四時九分日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《1870-2120》,《暦日1》,廿六／,かのとのとり,みつ,木,　,神よし 大みやう ちいみ  ものたち 井ほりよし
《1870-2130》,《暦日2》,廿七／,みつのえいぬ,たいら,水,ま日,大くわ 地火
《1870-2140》,《暦日0》,廿八／,みつのとのい,さたん,,八せんのおはり,ちう日
《1870-2150》,《暦日1》,廿九／,きのえね,とる,金,　,天おん 月とく きこ 下しきたつの時
《1870-2160》,《月序》,七月,大,建,甲申,虛宿　斗　木よう
《1870-2170》,《暦日1》,一／,きのとのうし,やふる,金,　,十し
《1870-2180》,《暦日2》,二／,ひのえとら,あやふ,火,　,天おん  わたまし  つめとりよし
《1870-2190》,《暦日0》,三／,ひのとのう,なる,,　,天おん 天火 らうしやく わうまう
《1870-2200》,《暦日2》,四／,つちのえたつ,おさん,木,　,天おん 五む日 ふく日 めつもん
《1870-2210》,《暦日0》,五／,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
《1870-2220》,《暦日2》,六／,かのえむま,とつ,土,　,●
《1870-2230》,《暦日0》,七／,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
《1870-2240》,《暦日2》,八／,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
《1870-2250》,《暦日0》,九／,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
《1870-2260》,《暦日2》,十／,きのえいぬ,たいら,火,　,月とく 大くわ 地火  わたましよし
《1870-2270》,《暦日0》,十一／,きのとのい,さたん,,　,ちう日
《1870-2280》,《暦日1》,十二／,ひのえね,さたん,水,　, 田かりよし
《1870-2290》,《節中》,立秋七月せつ今暁七時五分ニ入日の出より日入まて,昼五十六刻半/夜四十三刻半,六より六まて,昼六十二刻/夜三十八刻
《1870-2300》,《暦日1》,十三／,ひのとのうし,とる,水,　,●
《1870-2310》,《暦日2》,十四／,つちのえとら,やふる,土,　, たねまき  つめとりよし
《1870-2320》,《暦日0》,十五／,つちのとのう,あやふ,,　,神よし 大みやう 天おん  みそすつくりよし
《1870-2330》,《暦日2》,十六／,かのえたつ,なる,金,末伏,きしく 天おん 母倉 ちいみ ふく日  かといてよし
《1870-2340》,《暦日0》,十七／,かのとのみ,おさん,,　,天おん 大くわ ちう日
《1870-2350》,《暦日2》,十八／,みつのえむま,ひらく,木,　,神よし 大みやう 天おん 月とく 天火 らうしやく
《1870-2360》,《暦日0》,十九／,みつのとのひつし,とつ,,　,天おん 母倉
《1870-2370》,《暦日2》,廿／,きのえさる,たつ,水,十方くれニ入,大みやう ふく日 わうまう 下しきみの時
《1870-2380》,《暦日0》,廿一／,きのとのとり,のそく,,　,十し
《1870-2390》,《暦日2》,廿二／,ひのえいぬ,みつ,土,　,母倉 五む日
《1870-2400》,《暦日0》,廿三／,ひのとのい,たいら,,　,大みやう 月とく ちう日 めつもん 地火
《1870-2410》,《暦日2》,廿四／,つちのえね,さたん,火,　, けんふく くさかりよし
《1870-2420》,《暦日0》,廿五／,つちのとのうし,とる,,　,●
《1870-2430》,《暦日2》,廿六／,かのえとら,やふる,木,　,ふく日  つめとりよし
《1870-2440》,《暦日0》,廿七／,かのとのう,あやふ,,　,神よし
《1870-2450》,《節中》,処暑七月中夕七時七分日の出より日入まて,昼五十四刻半/夜四十五刻半,六より六まて,昼五十九刻半余/夜四十刻余
《1870-2460》,《暦日2》,廿八／,みつのえたつ,なる,水,　,大みやう 母倉 月とく 五む日 ちいみ
《1870-2470》,《暦日0》,廿九／,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
《1870-2480》,《暦日1》,卅／,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
《1870-2490》,《月序》,八月,小,建,乙酉,危宿　女　土よう
《1870-2500》,《暦日1》,一／,きのとのひつし,とつ,金,　,大みやう 母倉 五む日
《1870-2510》,《暦日2》,二／,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
《1870-2520》,《暦日0》,三／,ひのとのとり,のそく,,　,十し
《1870-2530》,《暦日2》,四／,つちのえいぬ,みつ,木,　,母倉  くらたて かまぬりよし
《1870-2540》,《暦日0》,五／,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
《1870-2550》,《暦日2》,六／,かのえね,さたん,土,二百十日,神よし ふく日
《1870-2560》,《暦日0》,七／,かのとのうし,とる,,　,●
《1870-2570》,《暦日2》,八／,みつのえとら,やふる,金,　,大みやう 月とく  やたて  つめとりよし
《1870-2580》,《暦日0》,九／,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
《1870-2590》,《暦日2》,十／,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
《1870-2600》,《暦日0》,十一／,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
