《1744-0000》,# カンマ区切りテキスト形式です。
《1744-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1744-0020》,# ・表の区画内での改行は“/”で表記します。
《1744-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1744-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1744-0050》,# 外部リンク
《1744-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2535427/44 ～ 50
《1744-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1744g　(GitHub上データを表成型)
《1744-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1744h　(翻刻編集データを表成型 - 未実装)
《1744-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1744-0100》,《版元》,出版地○○,出版元□□□,　
《1744-2340》,《暦日2》,十七／,みつのえたつ,なる,水,　,大みやう 五む日 ちいみ
《1744-2350》,《暦日0》,十八／,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
《1744-2360》,《暦日2》,十九／,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
《1744-2370》,《暦日0》,廿／,きのとのひつし,とつ,,　,大みやう 五む日
《1744-2380》,《暦日2》,廿一／,ひのえさる,たつ,火,　,神よし きしく 下しきみの時  入学よし
《1744-2390》,《暦日0》,廿二／,ひのとのとり,のそく,,　,十し
《1744-2400》,《暦日2》,廿三／,つちのえいぬ,みつ,木,　, くらたて かまぬりよし
《1744-2410》,《暦日0》,廿四／,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
《1744-2420》,《暦日2》,廿五／,かのえね,さたん,土,二百十日,神よし ふく日
《1744-2430》,《暦日0》,廿六／,かのとのうし,とる,,　,●
《1744-2440》,《暦日2》,廿七／,みつのえとら,やふる,金,　,大みやう  やたて  つめとりよし
《1744-2450》,《暦日0》,廿八／,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
《1744-2460》,《暦日1》,廿九／,きのえたつ,あやふ,火,　,大みやう  けんふく わたましよし
《1744-2470》,《節中》,白露八月せついの二刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《1744-2480》,《暦日1》,卅／,きのとのみ,なる,火,　,十し
《1744-2490》,《月序》,八月,小,建,癸酉,危宿　心　月よう
《1744-2500》,《暦日2》,一／,ひのえむま,おさん,水,　,大みやう めつもん
《1744-2510》,《暦日0》,二／,ひのとのひつし,ひらく,,　,●
《1744-2520》,《暦日2》,三／,つちのえさる,とつ,土,　,天しや よろつよし
《1744-2530》,《暦日0》,四／,つちのとのとり,たつ,,　,大みやう くゑ日 天火 らうしやく 下しきむまの時
《1744-2540》,《暦日2》,五／,かのえいぬ,のそく,金,二百廿日,大みやう ちいみ
《1744-2550》,《暦日0》,六／,かのとのい,みつ,,　,神よし 大みやう ちう日 ふく日
《1744-2560》,《暦日2》,七／,みつのえね,たいら,木,八せんのはしめ,神よし 大くわ 地火
《1744-2570》,《暦日0》,八／,みつのとのうし,さたん,,ま日,神よし  たねまき 竹木こり  つめとりよし
《1744-2580》,《暦日2》,九／,きのえとら,とる,水,　,きこ  かまぬり 田かり  つめとりよし
《1744-2590》,《暦日0》,十／,きのとのう,やふる,,　,くゑ日 ふく日
《1744-2600》,《暦日2》,十一／,ひのえたつ,あやふ,土,ま日,大みやう
《1744-2610》,《暦日0》,十二／,ひのとのみ,なる,,　,十し
《1744-2620》,《暦日2》,十三／,つちのえむま,おさん,火,ま日/社日,めつもん
《1744-2630》,《暦日0》,十四／,つちのとのひつし,ひらく,,　,●
《1744-2640》,《節中》,秋分八月中翌うしの七刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《1744-2650》,《暦日2》,十五／,かのえさる,とつ,木,　,神よし 大みやう  入学よし
《1744-2660》,《暦日0》,十六／,かのとのとり,たつ,,　,大みやう くゑ日 ふく日 天火 らうしやく わうまう 下しきむまの時
