《1759-0000》,# カンマ区切りテキスト形式です。
《1759-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1759-0020》,# ・表の区画内での改行は“/”で表記します。
《1759-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1759-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1759-0050》,# 外部リンク
《1759-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/68 ～ 73
《1759-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1759g　(GitHub上データを表成型)
《1759-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1759h　(翻刻編集データを表成型 - 未実装)
《1759-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1759-0100》,《版元》,出版地○○,出版元□□□,　
《1759-1850》,《暦日0》,二／,かのとのい,とる,,　,神よし 大みやう 天おん 月とく ちう日  入学よし
《1759-1860》,《暦日2》,三／,みつのえね,やふる,木,八せんのはしめ,●
《1759-1870》,《暦日0》,四／,みつのとのうし,あやふ,,ま日,神よし 天おん ふく日  むきかり  つめとりよし
《1759-1880》,《暦日2》,五／,きのえとら,なる,水,　,母倉 きこ  田うへ  つめとりよし
《1759-1890》,《暦日0》,六／,きのとのう,おさん,,　,母倉 ちいみ 大くわ  ものたちよし
《1759-1900》,《暦日2》,七／,ひのえたつ,ひらく,土,ま日,大みやう 月とく  けんふく いちたちよし
《1759-1910》,《暦日0》,八／,ひのとのみ,とつ,,はんけしやう,十し
《1759-1920》,《暦日2》,九／,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
《1759-1930》,《暦日0》,十／,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
《1759-1940》,《暦日2》,十一／,かのえさる,みつ,木,　,神よし 大みやう  入学 むきかりよし
《1759-1950》,《暦日0》,十二／,かのとのとり,たいら,,　,神よし 大みやう 月とく めつもん 地火
《1759-1960》,《暦日1》,十三／,みつのえいぬ,たいら,水,ま日,大くわ 地火
《1759-1970》,《節中》,小暑六月せつひつしの四刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1759-1980》,《暦日1》,十四／,みつのとのい,さたん,水,八せんのおはり,ちう日
《1759-1990》,《暦日2》,十五／,きのえね,とる,金,　,天おん 月とく きこ 下しきたつの時
《1759-2000》,《暦日0》,十六／,きのとのうし,やふる,,　,十し
《1759-2010》,《暦日2》,十七／,ひのえとら,あやふ,火,　,天おん  わたまし  つめとりよし
《1759-2020》,《暦日0》,十八／,ひのとのう,なる,,　,神よし 天おん 天火 らうしやく
《1759-2030》,《暦日2》,十九／,つちのえたつ,おさん,木,　,きしく 天おん 五む日 ふく日 めつもん
《1759-2040》,《暦日0》,廿／,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
《1759-2050》,《暦日2》,廿一／,かのえむま,とつ,土,初伏,●
《1759-2060》,《暦日0》,廿二／,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
《1759-2070》,《暦日2》,廿三／,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
《1759-2080》,《暦日0》,廿四／,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
《1759-2090》,《暦日2》,廿五／,きのえいぬ,たいら,火,とようとりの五刻ニ入,月とく 大くわ 地火  わたましよし
《1759-2100》,《暦日0》,廿六／,きのとのい,さたん,,　,ちう日
《1759-2110》,《暦日2》,廿七／,ひのえね,とる,水,　,きこ 下しきたつの時
《1759-2120》,《暦日0》,廿八／,ひのとのうし,やふる,,　,十し
