《1787-0000》,# カンマ区切りテキスト形式です。
《1787-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1787-0020》,# ・表の区画内での改行は“/”で表記します。
《1787-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1787-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1787-0050》,# 外部リンク
《1787-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/202 ～ 206
《1787-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1787g　(GitHub上データを表成型)
《1787-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1787h　(翻刻編集データを表成型 - 未実装)
《1787-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1787-0100》,《版元》,出版地○○,出版元□□□,　
《1787-1150》,《暦日0》,廿七／,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日 わうまう
《1787-1160》,《暦日2》,廿八／,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
《1787-1170》,《暦日0》,廿九／,ひのとのとり,さたん,,　,十し
《1787-1180》,《月序》,四月,大,建,乙巳,觜宿　角　木よう
《1787-1190》,《暦日2》,一／,つちのえいぬ,とる,木,　, くらたて かまぬりよし
《1787-1200》,《暦日0》,二／,つちのとのい,やふる,,　,くゑ日 ちう日
《1787-1210》,《暦日2》,三／,かのえね,あやふ,土,　,神よし 月とく  わたまし たねまきよし
《1787-1220》,《暦日0》,四／,かのとのうし,なる,,　,五む日 きこ  つめとりよし
《1787-1230》,《暦日2》,五／,みつのえとら,おさん,金,　,大みやう 母倉 ふく日 めつもん  つめとりよし
《1787-1240》,《暦日0》,六／,みつのとのう,ひらく,,　,神よし 母倉  かといて さひらきよし
《1787-1250》,《節中》,小満四月中いぬの五刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《1787-1260》,《暦日2》,七／,きのえたつ,とつ,火,　,大みやう
《1787-1270》,《暦日0》,八／,きのとのみ,たつ,,　,●
《1787-1280》,《暦日2》,九／,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
《1787-1290》,《暦日0》,十／,ひのとのひつし,みつ,,　,くゑ日
《1787-1300》,《暦日2》,十一／,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
《1787-1310》,《暦日0》,十二／,つちのとのとり,さたん,,　,十し
《1787-1320》,《暦日2》,十三／,かのえいぬ,とる,金,　,大みやう 天おん 月とく  やたて くさかりよし
《1787-1330》,《暦日0》,十四／,かのとのい,やふる,,　,神よし 大みやう 天おん ちう日  さひらきよし
《1787-1340》,《暦日2》,十五／,みつのえね,あやふ,木,八せんのはしめ,神よし 天おん ふく日  くらたてよし
《1787-1350》,《暦日0》,十六／,みつのとのうし,なる,,ま日,天おん きこ  つめとりよし
《1787-1360》,《暦日2》,十七／,きのえとら,おさん,水,　,母倉 めつもん  つめとりよし
《1787-1370》,《暦日0》,十八／,きのとのう,ひらく,,　,神よし 母倉 月とく  さひらきよし
《1787-1380》,《暦日2》,十九／,ひのえたつ,とつ,土,ま日,大みやう ふく日
《1787-1390》,《暦日0》,廿／,ひのとのみ,たつ,,　,●
《1787-1400》,《暦日2》,廿一／,つちのえむま,のそく,火,ま日,くゑ日
