《1719-0000》,# カンマ区切りテキスト形式です。
《1719-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1719-0020》,# ・表の区画内での改行は“/”で表記します。
《1719-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1719-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1719-0050》,# 外部リンク
《1719-1330》,《暦日2》,十八／,かのえさる,たいら,木,　,神よし 大みやう ちいみ 大くわ 地火
《1719-1340》,《暦日0》,十九／,かのとのとり,さたん,,　,十し
《1719-1350》,《暦日2》,廿／,みつのえいぬ,さたん,水,五月せつひつしの初刻ニ入/ま日, むきかりよし
《1719-1360》,《暦日0》,廿一／,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
《1719-1370》,《暦日2》,廿二／,きのえね,やふる,金,　,●
《1719-1380》,《暦日0》,廿三／,きのとのうし,あやふ,,　,神よし  つめとりよし
《1719-1390》,《暦日2》,廿四／,ひのえとら,なる,火,　,きこ  つめとりよし
《1719-1400》,《暦日0》,廿五／,ひのとのう,おさん,,　,ちいみ 大くわ ふく日
《1719-1410》,《暦日2》,廿六／,つちのえたつ,ひらく,木,　,五む日  かまぬり 田うへよし
《1719-1420》,《暦日0》,廿七／,つちのとのみ,とつ,,　,十し
《1719-1430》,《暦日2》,廿八／,かのえむま,たつ,土,　,下しきうの時  むきかりよし
《1719-1440》,《暦日0》,廿九／,かのとのひつし,のそく,,　,大みやう  ふねのり 井ほりよし
《1719-1450》,《暦日1》,卅／,みつのえさる,みつ,金,入梅,神よし 大みやう  くさかりよし
《1719-1460》,《月序》,五月,小,建,庚午,胃宿　房　日よう
《1719-1470》,《暦日1》,一／,みつのとのとり,たいら,金,　,神よし 大みやう ふく日 めつもん 地火
《1719-1480》,《暦日2》,二／,きのえいぬ,さたん,火,　, わたまし くらたてよし
《1719-1490》,《暦日0》,三／,きのとのい,とる,,　,ちう日  むきかり 田うへよし
《1719-1500》,《暦日2》,四／,ひのえね,やふる,水,　,●
《1719-1510》,《暦日0》,五／,ひのとのうし,あやふ,,夏至五月中とりの六刻,大みやう ふく日 わうまう  ものたち  つめとりよし
《1719-1520》,《暦日2》,六／,つちのえとら,なる,土,　,きこ  みそすつくり  つめとりよし
《1719-1530》,《暦日0》,七／,つちのとのう,おさん,,　,大みやう ちいみ 大くわ
《1719-1540》,《暦日2》,八／,かのえたつ,ひらく,金,　, けんふく かといてよし
《1719-1550》,《暦日0》,九／,かのとのみ,とつ,,　,十し
《1719-1560》,《暦日2》,十／,みつのえむま,たつ,木,　,大みやう 下しきうの時
《1719-1570》,《暦日0》,十一／,みつのとのひつし,のそく,,　,ふく日  田うへよし
《1719-1580》,《暦日2》,十二／,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
《1719-1590》,《暦日0》,十三／,きのとのとり,たいら,,　,神よし めつもん 地火
《1719-1600》,《暦日2》,十四／,ひのえいぬ,さたん,土,　,五む日  むきかりよし
《1719-1610》,《暦日0》,十五／,ひのとのい,とる,,はんけしやう,大みやう ちう日 ふく日
《1719-1620》,《暦日2》,十六／,つちのえね,やふる,火,　,●
《1719-1630》,《暦日0》,十七／,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
《1719-1640》,《暦日2》,十八／,かのえとら,なる,木,　,きこ  井ほり  つめとりよし
《1719-1650》,《暦日0》,十九／,かのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
《1719-1660》,《暦日2》,廿／,みつのえたつ,おさん,水,六月せつ夜ねの二刻ニ入,きしく 大みやう 五む日 めつもん
《1719-1670》,《暦日0》,廿一／,みつのとのみ,ひらく,,天一天上,ちう日  いちたちよし
《1719-1680》,《暦日2》,廿二／,きのえむま,とつ,金,　,●
《1719-1690》,《暦日0》,廿三／,きのとのひつし,たつ,,　,大みやう 五む日
《1719-1700》,《暦日2》,廿四／,ひのえさる,のそく,火,　,神よし
《1719-1710》,《暦日0》,廿五／,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
《1719-1720》,《暦日2》,廿六／,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
《1719-1730》,《暦日0》,廿七／,つちのとのい,さたん,,　,ちう日 ふく日  ふねのりよし
