《1858-0000》,# カンマ区切りテキスト形式です。
《1858-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1858-0020》,# ・表の区画内での改行は“/”で表記します。
《1858-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1858-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1858-0050》,# 外部リンク
《1858-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546787/47 ～ 55
《1858-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1858g　(GitHub上データを表成型)
《1858-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1858h　(翻刻編集データを表成型 - 未実装)
《1858-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1858-0100》,《版元》,出版地○○,出版元□□□,　
《1858-1250》,《暦日0》,六／,かのとのい,やふる,,　,神よし 大みやう 天おん ちう日  さひらきよし
《1858-1260》,《暦日2》,七／,みつのえね,あやふ,木,八せんのはしめ,神よし 天おん ふく日  くらたてよし
《1858-1270》,《暦日0》,八／,みつのとのうし,なる,,ま日,天おん きこ  つめとりよし
《1858-1280》,《暦日1》,九／,きのえとら,おさん,水,　,母倉 めつもん  つめとりよし
《1858-1290》,《節中》,小満四月中夕七時六分日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《1858-1300》,《暦日1》,十／,きのとのう,ひらく,水,　,神よし 母倉 月とく  さひらきよし
《1858-1310》,《暦日2》,十一／,ひのえたつ,とつ,土,ま日,大みやう ふく日
《1858-1320》,《暦日0》,十二／,ひのとのみ,たつ,,　,●
《1858-1330》,《暦日2》,十三／,つちのえむま,のそく,火,ま日,くゑ日
《1858-1340》,《暦日0》,十四／,つちのとのひつし,みつ,,　,大みやう くゑ日
《1858-1350》,《暦日2》,十五／,かのえさる,たいら,木,　,神よし 大みやう 月とく ちいみ 大くわ 地火
《1858-1360》,《暦日0》,十六／,かのとのとり,さたん,,　,十し
《1858-1370》,《暦日2》,十七／,みつのえいぬ,とる,水,ま日,ふく日
《1858-1380》,《暦日0》,十八／,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
《1858-1390》,《暦日2》,十九／,きのえね,あやふ,金,　,天おん
《1858-1400》,《暦日0》,廿／,きのとのうし,なる,,　,天おん 月とく きこ  かまぬり  つめとりよし
《1858-1410》,《暦日2》,廿一／,ひのえとら,おさん,火,　,天おん 母倉 ふく日 めつもん  つめとりよし
《1858-1420》,《暦日0》,廿二／,ひのとのう,ひらく,,　,神よし 天おん 母倉  わたましよし
《1858-1430》,《暦日2》,廿三／,つちのえたつ,とつ,木,　,きしく 五む日 くゑ日
《1858-1440》,《暦日0》,廿四／,つちのとのみ,たつ,,　,●
《1858-1450》,《暦日1》,廿五／,かのえむま,たつ,土,　,下しきうの時  むきかりよし
《1858-1460》,《節中》,芒種五月せつ朝四時三分ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1858-1470》,《暦日1》,廿六／,かのとのひつし,のそく,土,　,大みやう 月とく  ふねのり 井ほりよし
《1858-1480》,《暦日2》,廿七／,みつのえさる,みつ,金,入梅,神よし 大みやう  くさかりよし
《1858-1490》,《暦日0》,廿八／,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1858-1500》,《暦日1》,廿九／,きのえいぬ,さたん,火,　, わたまし くらたてよし
《1858-1510》,《月序》,五月,大,建,戊午,心宿　亢　金よう
《1858-1520》,《暦日1》,一／,きのとのい,とる,火,　,ちう日  むきかり 田うへよし
《1858-1530》,《暦日2》,二／,ひのえね,やふる,水,　,●
《1858-1540》,《暦日0》,三／,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
《1858-1550》,《暦日2》,四／,つちのえとら,なる,土,　,母倉 きこ  みそすつくり  つめとりよし
《1858-1560》,《暦日0》,五／,つちのとのう,おさん,,　,大みやう 天おん 母倉 ちいみ 大くわ
《1858-1570》,《暦日2》,六／,かのえたつ,ひらく,金,　,天おん  けんふく かといてよし
《1858-1580》,《暦日0》,七／,かのとのみ,とつ,,　,十し
《1858-1590》,《暦日2》,八／,みつのえむま,たつ,木,　,大みやう 天おん 下しきうの時
《1858-1600》,《暦日0》,九／,みつのとのひつし,のそく,,　,天おん ふく日  田うへよし
《1858-1610》,《暦日2》,十／,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
《1858-1620》,《暦日0》,十一／,きのとのとり,たいら,,　,めつもん 地火 わうまう
《1858-1630》,《暦日1》,十二／,ひのえいぬ,さたん,土,　,月とく 五む日  むきかりよし
《1858-1640》,《節中》,夏至五月中今暁七時三分日の出より日入まて,昼五十九刻半余/夜四十刻余,六より六まて,昼六十五刻半余/夜三十四刻余
《1858-1650》,《暦日1》,十三／,ひのとのい,とる,土,　,大みやう ちう日 ふく日
《1858-1660》,《暦日2》,十四／,つちのえね,やふる,火,　,●
《1858-1670》,《暦日0》,十五／,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
《1858-1680》,《暦日2》,十六／,かのえとら,なる,木,　,母倉 きこ  井ほり  つめとりよし
《1858-1690》,《暦日0》,十七／,かのとのう,おさん,,　,母倉 月とく ちいみ 大くわ  ものたちよし
《1858-1700》,《暦日2》,十八／,みつのえたつ,ひらく,水,　,大みやう 五む日
《1858-1710》,《暦日0》,十九／,みつのとのみ,とつ,,天一天上,十し
《1858-1720》,《暦日2》,廿／,きのえむま,たつ,金,　,天しや よろつよし
《1858-1730》,《暦日0》,廿一／,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
《1858-1740》,《暦日2》,廿二／,ひのえさる,みつ,火,はんけしやう,神よし きしく 月とく  入学 いちたちよし
《1858-1750》,《暦日0》,廿三／,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
《1858-1760》,《暦日2》,廿四／,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
《1858-1770》,《暦日0》,廿五／,つちのとのい,とる,,　,神よし ちう日
《1858-1780》,《暦日2》,廿六／,かのえね,やふる,土,　,●
《1858-1790》,《暦日0》,廿七／,かのとのうし,やふる,,　,十し
《1858-1800》,《節中》,小暑六月せつ暮六時六分ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1858-1810》,《暦日2》,廿八／,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
《1858-1820》,《暦日0》,廿九／,みつのとのう,なる,,　,神よし 天火 らうしやく
《1858-1830》,《暦日1》,卅／,きのえたつ,おさん,火,　,大みやう 月とく めつもん  わたましよし
《1858-1840》,《月序》,六月,小,建,己未,尾宿　房　日よう
《1858-1850》,《暦日1》,一／,きのとのみ,ひらく,火,　,大みやう 母倉 ちう日
《1858-1860》,《暦日2》,二／,ひのえむま,とつ,水,　,●
《1858-1870》,《暦日0》,三／,ひのとのひつし,たつ,,　,さい下しき くゑ日
《1858-1880》,《暦日2》,四／,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
《1858-1890》,《暦日0》,五／,つちのとのとり,みつ,,　,神よし 大みやう 天おん 月とく ちいみ ふく日
《1858-1900》,《暦日2》,六／,かのえいぬ,たいら,金,初伏,大みやう 天おん 大くわ 地火
《1858-1910》,《暦日0》,七／,かのとのい,さたん,,　,大みやう 天おん ちう日
《1858-1920》,《暦日2》,八／,みつのえね,とる,木,八せんのはしめ,天おん きこ 下しきたつの時
《1858-1930》,《暦日0》,九／,みつのとのうし,やふる,,ま日/とよう夜四時二分ニ入,十し
《1858-1940》,《暦日2》,十／,きのえとら,あやふ,水,　,母倉 月とく  やたて  つめとりよし
《1858-1950》,《暦日0》,十一／,きのとのう,なる,,　,神よし 母倉 天火 らうしやく
《1858-1960》,《暦日2》,十二／,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
《1858-1970》,《暦日0》,十三／,ひのとのみ,ひらく,,　,くゑ日 ちう日
《1858-1980》,《節中》,大暑六月中昼九時八分日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
