«1713-0000»,【 カンマ区切りテキスト形式です。】
«1713-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1713-2350»,«暦日0»,卅〳,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
«1713-2360»,«月序»,七月,大,建,庚申,氐宿　心　月よう
«1713-2370»,«暦日2»,一〳,ひのえむま,ひらく,水,　,さい下しき 神よし 大みやう 天火 らうしやく  かといてよし
«1713-2380»,«暦日0»,二〳,ひのとのひつし,とつ,,七月中とらの六刻,神よし  いちたちよし
«1713-2390»,«暦日2»,三〳,つちのえさる,たつ,土,　,天しや よろつよし
«1713-2400»,«暦日0»,四〳,つちのとのとり,のそく,,　,十し
«1713-2410»,«暦日2»,五〳,かのえいぬ,みつ,金,　,大みやう ふく日
«1713-2420»,«暦日0»,六〳,かのとのい,たいら,,　,神よし 大みやう ちう日 めつもん 地火
«1713-2430»,«暦日2»,七〳,みつのえね,さたん,木,八せんのはしめ,神よし  くらたてよし
«1713-2440»,«暦日0»,八〳,みつのとのうし,とる,,ま日,●
«1713-2450»,«暦日2»,九〳,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
«1713-2460»,«暦日0»,十〳,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
«1713-2470»,«暦日2»,十一〳,ひのえたつ,なる,土,ま日,大みやう ちいみ  くさかりよし
«1713-2480»,«暦日0»,十二〳,ひのとのみ,おさん,,　,大くわ ちう日  ものたちよし
«1713-2490»,«暦日2»,十三〳,つちのえむま,ひらく,火,二百十日|ま日,神よし 天火 らうしやく  入学よし
«1713-2500»,«暦日0»,十四〳,つちのとのひつし,とつ,,　,神よし 大みやう  みそすつくりよし
«1713-2510»,«暦日2»,十五〳,かのえさる,たつ,木,　,大みやう くゑ日 ふく日 下しきみの時
«1713-2520»,«暦日0»,十六〳,かのとのとり,のそく,,　,十し
«1713-2530»,«暦日2»,十七〳,みつのえいぬ,のそく,水,八月せつみの三刻ニ入|ま日,ちいみ  たねまきよし
«1713-2540»,«暦日0»,十八〳,みつのとのい,みつ,,八せんのおはり,ちう日  いちたちよし
«1713-2550»,«暦日2»,十九〳,きのえね,たいら,金,　,きしく 大くわ 地火  わたましよし
«1713-2560»,«暦日0»,廿〳,きのとのうし,さたん,,　,神よし ふく日  つめとりよし
«1713-2570»,«暦日2»,廿一〳,ひのえとら,とる,火,　,きこ  つめとりよし
«1713-2580»,«暦日0»,廿二〳,ひのとのう,やふる,,　, 田かりよし
«1713-2590»,«暦日2»,廿三〳,つちのえたつ,あやふ,木,二百廿日,五む日  みそすつくりよし
«1713-2600»,«暦日0»,廿四〳,つちのとのみ,なる,,　,十し
«1713-2610»,«暦日2»,廿五〳,かのえむま,おさん,土,　,めつもん  竹木こりよし
«1713-2620»,«暦日0»,廿六〳,かのとのひつし,ひらく,,　,●
«1713-2630»,«暦日2»,廿七〳,みつのえさる,とつ,金,　,神よし 大みやう
«1713-2640»,«暦日0»,廿八〳,みつのとのとり,たつ,,　,大みやう 天火 らうしやく 下しきむまの時
«1713-2650»,«暦日2»,廿九〳,きのえいぬ,のそく,火,　,ちいみ  竹木こりよし
«1713-2660»,«暦日0»,卅〳,きのとのい,みつ,,　,ちう日 ふく日  入学よし
«1713-2670»,«月序»,八月,小,建,辛酉,房宿　箕　水よう
«1713-2680»,«暦日2»,一〳,ひのえね,たいら,水,　,大くわ 地火
«1713-2690»,«暦日0»,二〳,ひのとのうし,さたん,,秋分八月中さるの初刻,神よし 大みやう  ものたち  つめとりよし
«1713-2700»,«暦日2»,三〳,つちのえとら,とる,土,社日,きこ  田かり  つめとりよし
«1713-2710»,«暦日0»,四〳,つちのとのう,やふる,,ひかんニなる,大みやう わうまう
«1713-2720»,«暦日2»,五〳,かのえたつ,あやふ,金,　
«1713-2730»,«暦日0»,六〳,かのとのみ,なる,,　,十し
«1713-2740»,«暦日2»,七〳,みつのえむま,おさん,木,　,大みやう めつもん
«1713-2750»,«暦日0»,八〳,みつのとのひつし,ひらく,,　,●
«1713-2760»,«暦日2»,九〳,きのえさる,とつ,水,十方くれニ入,神よし 大みやう  竹木こり 田かりよし
«1713-2770»,«暦日0»,十〳,きのとのとり,たつ,,　,ふく日 天火 らうしやく 下しきむまの時
«1713-2780»,«暦日2»,十一〳,ひのえいぬ,のそく,土,　,五む日 ちいみ
«1713-2790»,«暦日0»,十二〳,ひのとのい,みつ,,　,大みやう ちう日  入学よし
«1713-2800»,«暦日2»,十三〳,つちのえね,たいら,火,　,大くわ 地火
«1713-2810»,«暦日0»,十四〳,つちのとのうし,さたん,,　, かまぬり  つめとりよし
«1713-2820»,«暦日2»,十五〳,かのえとら,とる,木,　,きこ  つめとりよし
«1713-2830»,«暦日0»,十六〳,かのとのう,やふる,,　,ふく日  田かりよし
«1713-2840»,«暦日2»,十七〳,みつのえたつ,やふる,水,かん露九月せついぬの五刻ニ入,きしく 大みやう 五む日 くゑ日
«1713-2850»,«暦日0»,十八〳,みつのとのみ,あやふ,,天一天上,くゑ日 ちいみ ちう日 下しきひつしの時
«1713-2860»,«暦日2»,十九〳,きのえむま,なる,金,　,くゑ日
