«1757-0000»,【 カンマ区切りテキスト形式です。】
«1757-1240»,«暦日1»,五〳,ひのえとら,おさん,火,　,天おん 母倉 ふく日 めつもん  つめとりよし
«1757-1250»,«節中»,小満四月中みの七刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1757-1260»,«暦日1»,六〳,ひのとのう,ひらく,火,　,神よし 天おん 母倉  わたましよし
«1757-1270»,«暦日2»,七〳,つちのえたつ,とつ,木,　,五む日 くゑ日
«1757-1280»,«暦日0»,八〳,つちのとのみ,たつ,,　,●
«1757-1290»,«暦日2»,九〳,かのえむま,のそく,土,　,神よし 月とく  さひらき みそすつくりよし
«1757-1300»,«暦日0»,十〳,かのとのひつし,みつ,,　,大みやう くゑ日
«1757-1310»,«暦日2»,十一〳,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
«1757-1320»,«暦日0»,十二〳,みつのとのとり,さたん,,　,十し
«1757-1330»,«暦日2»,十三〳,きのえいぬ,とる,火,　, やたて くらたてよし
«1757-1340»,«暦日0»,十四〳,きのとのい,やふる,,　,月とく ちう日
«1757-1350»,«暦日2»,十五〳,ひのえね,あやふ,水,　,ふく日  さひらきよし
«1757-1360»,«暦日0»,十六〳,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
«1757-1370»,«暦日2»,十七〳,つちのえとら,おさん,土,　,母倉 めつもん  たねまき  つめとりよし
«1757-1380»,«暦日0»,十八〳,つちのとのう,ひらく,,　,神よし 大みやう 天おん 母倉  入学よし
«1757-1390»,«暦日2»,十九〳,かのえたつ,とつ,金,　,天おん 月とく  けんふくよし
«1757-1400»,«暦日0»,廿〳,かのとのみ,とつ,,　,十し
«1757-1410»,«節中»,芒種五月せつさるの四刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1757-1420»,«暦日2»,廿一〳,みつのえむま,たつ,木,入梅,大みやう 天おん 下しきうの時
«1757-1430»,«暦日0»,廿二〳,みつのとのひつし,のそく,,　,天おん ふく日  田うへよし
«1757-1440»,«暦日2»,廿三〳,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
«1757-1450»,«暦日0»,廿四〳,きのとのとり,たいら,,　,神よし めつもん 地火
«1757-1460»,«暦日2»,廿五〳,ひのえいぬ,さたん,土,　,月とく 五む日  むきかりよし
«1757-1470»,«暦日0»,廿六〳,ひのとのい,とる,,　,大みやう ちう日 ふく日
«1757-1480»,«暦日2»,廿七〳,つちのえね,やふる,火,　,●
«1757-1490»,«暦日0»,廿八〳,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
«1757-1500»,«暦日2»,廿九〳,かのえとら,なる,木,　,さい下しき 母倉 きこ  井ほり  つめとりよし
«1757-1510»,«暦日0»,卅〳,かのとのう,おさん,,　,母倉 月とく ちいみ 大くわ  ものたちよし
«1757-1520»,«月序»,五月,小,建,丙午,星宿　鬼　金よう
«1757-1530»,«暦日2»,一〳,みつのえたつ,ひらく,水,　,きしく 大みやう 五む日
«1757-1540»,«暦日0»,二〳,みつのとのみ,とつ,,天一天上,十し
«1757-1550»,«暦日2»,三〳,きのえむま,たつ,金,　,天しや よろつよし
«1757-1560»,«暦日0»,四〳,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
«1757-1570»,«暦日1»,五〳,ひのえさる,みつ,火,　,月とく わうまう  入学 いちたちよし
«1757-1580»,«節中»,夏至五月中いの一刻日の出より日入まて,昼六十刻|夜四十刻,六より六まて,昼六十五刻|夜三十五刻
«1757-1590»,«暦日1»,六〳,ひのとのとり,たいら,火,　,神よし ふく日 めつもん 地火
«1757-1600»,«暦日2»,七〳,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
«1757-1610»,«暦日0»,八〳,つちのとのい,とる,,　,神よし ちう日
«1757-1620»,«暦日2»,九〳,かのえね,やふる,土,　,●
«1757-1630»,«暦日0»,十〳,かのとのうし,あやふ,,　,神よし 月とく 五む日  つめとりよし
«1757-1640»,«暦日2»,十一〳,みつのえとら,なる,金,　,大みやう 母倉 きこ  くさかり  つめとりよし
