《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1710》,《暦日0》,廿六／,きのとのい,さたん,,　,ちう日
《1720》,《暦日2》,廿七／,ひのえね,とる,水,　,きしく きこ 下しきたつの時
《1730》,《暦日0》,廿八／,ひのとのうし,やふる,,　,十し
《1740》,《暦日1》,廿九／,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
《1750》,《月序》,六月,小,建,丁未,亢宿　張　月よう
《1760》,《暦日1》,一／,つちのとのう,なる,土,　,神よし 大みやう ふく日 天火 らうしやく
《1770》,《暦日2》,二／,かのえたつ,おさん,金,初伏,めつもん  けんふくよし
《1780》,《暦日0》,三／,かのとのみ,ひらく,,　,ちう日  ものたちよし
《1790》,《暦日2》,四／,みつのえむま,とつ,木,　,●
《1800》,《暦日0》,五／,みつのとのひつし,たつ,,とようさるの一刻ニ入, たねまきよし
《1810》,《暦日2》,六／,きのえさる,のそく,水,十方くれニ入,神よし 大みやう
《1820》,《暦日0》,七／,きのとのとり,みつ,,　,神よし ちいみ
《1830》,《暦日2》,八／,ひのえいぬ,たいら,土,六月中さるの五刻,五む日 大くわ 地火
《1840》,《暦日0》,九／,ひのとのい,さたん,,　,大みやう ちう日
《1850》,《暦日2》,十／,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
《1860》,《暦日0》,十一／,つちのとのうし,やふる,,　,十し
《1870》,《暦日2》,十二／,かのえとら,あやふ,木,中伏, やたて  つめとりよし
《1880》,《暦日0》,十三／,かのとのう,なる,,　,神よし 天火 らうしやく
《1890》,《暦日2》,十四／,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
《1900》,《暦日0》,十五／,みつのとのみ,ひらく,,天一天上,ちう日  いちたちよし
《1910》,《暦日2》,十六／,きのえむま,とつ,金,　,●
《1920》,《暦日0》,十七／,きのとのひつし,たつ,,　,大みやう 五む日
《1930》,《暦日2》,十八／,ひのえさる,のそく,火,　,神よし
《1940》,《暦日0》,十九／,ひのとのとり,みつ,,　,さい下しき 神よし ちいみ  くさかりよし
《1950》,《暦日2》,廿／,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
《1960》,《暦日0》,廿一／,つちのとのい,さたん,,　,ちう日 ふく日  ふねのりよし
《1970》,《暦日2》,廿二／,かのえね,とる,土,　,きこ 下しきたつの時
《1980》,《暦日0》,廿三／,かのとのうし,とる,,立秋七月せついの二刻ニ入,●
《1990》,《暦日2》,廿四／,みつのえとら,やふる,金,　,大みやう  やたて  つめとりよし
《2000》,《暦日0》,廿五／,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
《2010》,《暦日2》,廿六／,きのえたつ,なる,火,　,きしく 大みやう くゑ日 ちいみ ふく日
《2020》,《暦日0》,廿七／,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
《2030》,《暦日2》,廿八／,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
《2040》,《暦日0》,廿九／,ひのとのひつし,とつ,,　,神よし  いちたちよし
《2050》,《月序》,七月,大,建,戊申,氐宿　翼　火よう
《2060》,《暦日2》,一／,つちのえさる,たつ,土,　,天しや よろつよし
《2070》,《暦日0》,二／,つちのとのとり,のそく,,　,十し
《2080》,《暦日2》,三／,かのえいぬ,みつ,金,末伏,大みやう ふく日
《2090》,《暦日0》,四／,かのとのい,たいら,,　,神よし 大みやう ちう日 めつもん 地火
《2100》,《暦日2》,五／,みつのえね,さたん,木,八せんのはしめ,神よし  くらたてよし
《2110》,《暦日0》,六／,みつのとのうし,とる,,ま日,●
《2120》,《暦日2》,七／,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
《2130》,《暦日0》,八／,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
《2140》,《暦日2》,九／,ひのえたつ,なる,土,ま日,大みやう ちいみ  くさかりよし
《2150》,《暦日0》,十／,ひのとのみ,おさん,,七月中うしの七刻,大くわ ちう日  ものたちよし
《2160》,《暦日2》,十一／,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
《2170》,《暦日0》,十二／,つちのとのひつし,とつ,,　,神よし 大みやう  みそすつくりよし
《2180》,《暦日2》,十三／,かのえさる,たつ,木,　,大みやう くゑ日 ふく日 下しきみの時
《2190》,《暦日0》,十四／,かのとのとり,のそく,,　,十し
《2200》,《暦日2》,十五／,みつのえいぬ,みつ,水,ま日
《2210》,《暦日0》,十六／,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
《2220》,《暦日2》,十七／,きのえね,さたん,金,　,ふく日  ふねのりよし
《2230》,《暦日0》,十八／,きのとのうし,とる,,　,●
《2240》,《暦日2》,十九／,ひのえとら,やふる,火,　, けんふく  つめとりよし
《2250》,《暦日0》,廿／,ひのとのう,あやふ,,　,神よし  わたましよし
《2260》,《暦日2》,廿一／,つちのえたつ,なる,木,二百十日,五む日 ちいみ  いちたちよし
