«1770-0000»,【 カンマ区切りテキスト形式です。】
«1770-1720»,«暦日0»,十九〳,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
«1770-1730»,«暦日2»,廿〳,ひのえさる,みつ,火,　,神よし 月とく  入学 いちたちよし
«1770-1740»,«暦日0»,廿一〳,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
«1770-1750»,«暦日2»,廿二〳,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
«1770-1760»,«暦日0»,廿三〳,つちのとのい,とる,,　,神よし ちう日
«1770-1770»,«暦日2»,廿四〳,かのえね,やふる,土,　,●
«1770-1780»,«暦日0»,廿五〳,かのとのうし,あやふ,,　,神よし 月とく 五む日  つめとりよし
«1770-1790»,«暦日2»,廿六〳,みつのえとら,なる,金,　,大みやう 母倉 きこ  くさかり  つめとりよし
«1770-1800»,«暦日0»,廿七〳,みつのとのう,おさん,,　,母倉 ちいみ 大くわ ふく日
«1770-1810»,«暦日2»,廿八〳,きのえたつ,ひらく,火,　,大みやう わうまう  むきかり 田うへよし
«1770-1820»,«暦日0»,廿九〳,きのとのみ,とつ,,　,十し
«1770-1830»,«節中»,夏至五月中今暁ねの六刻日の出より日入まて,昼六十刻|夜四十刻,六より六まて,昼六十五刻|夜三十五刻
«1770-1840»,«月序»,六月,大,建,癸未,壁宿　胃　土よう
«1770-1850»,«暦日2»,一〳,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
«1770-1860»,«暦日0»,二〳,ひのとのひつし,のそく,,　,神よし ふく日
«1770-1870»,«暦日2»,三〳,つちのえさる,みつ,土,　,神よし  入学よし
«1770-1880»,«暦日0»,四〳,つちのとのとり,たいら,,　,神よし 大みやう 天おん めつもん 地火
«1770-1890»,«暦日2»,五〳,かのえいぬ,さたん,金,　,大みやう 天おん  かといてよし
«1770-1900»,«暦日0»,六〳,かのとのい,とる,,　,神よし 大みやう 天おん 月とく ちう日  入学よし
«1770-1910»,«暦日2»,七〳,みつのえね,やふる,木,八せんのはしめ,●
«1770-1920»,«暦日0»,八〳,みつのとのうし,あやふ,,ま日,神よし 天おん ふく日  むきかり  つめとりよし
«1770-1930»,«暦日2»,九〳,きのえとら,なる,水,　,母倉 きこ  田うへ  つめとりよし
«1770-1940»,«暦日0»,十〳,きのとのう,おさん,,はんけしやう,母倉 ちいみ 大くわ  ものたちよし
«1770-1950»,«暦日2»,十一〳,ひのえたつ,ひらく,土,ま日,大みやう 月とく  けんふく いちたちよし
«1770-1960»,«暦日0»,十二〳,ひのとのみ,とつ,,　,十し
«1770-1970»,«暦日2»,十三〳,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
«1770-1980»,«暦日0»,十四〳,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
«1770-1990»,«暦日1»,十五〳,かのえさる,のそく,木,　,神よし 大みやう  くさかりよし
«1770-2000»,«節中»,小暑六月せつうの三刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1770-2010»,«暦日1»,十六〳,かのとのとり,みつ,木,　,神よし 大みやう ちいみ  ものたち 井ほりよし
«1770-2020»,«暦日2»,十七〳,みつのえいぬ,たいら,水,ま日,大くわ 地火
«1770-2030»,«暦日0»,十八〳,みつのとのい,さたん,,八せんのおはり,ちう日
«1770-2040»,«暦日2»,十九〳,きのえね,とる,金,　,天おん 月とく きこ 下しきたつの時
«1770-2050»,«暦日0»,廿〳,きのとのうし,やふる,,　,十し
«1770-2060»,«暦日2»,廿一〳,ひのえとら,あやふ,火,　,天おん  わたまし  つめとりよし
«1770-2070»,«暦日0»,廿二〳,ひのとのう,なる,,　,さい下しき 神よし 天おん 天火 らうしやく
«1770-2080»,«暦日2»,廿三〳,つちのえたつ,おさん,木,　,天おん 五む日 ふく日 めつもん
«1770-2090»,«暦日0»,廿四〳,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
«1770-2100»,«暦日2»,廿五〳,かのえむま,とつ,土,初伏,●
«1770-2110»,«暦日0»,廿六〳,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
«1770-2120»,«暦日2»,廿七〳,みつのえさる,のそく,金,とようみの四刻ニ入,神よし 大みやう  くさかりよし
«1770-2130»,«暦日0»,廿八〳,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
«1770-2140»,«暦日2»,廿九〳,きのえいぬ,たいら,火,　,月とく 大くわ 地火  わたましよし
«1770-2150»,«暦日0»,卅〳,きのとのい,さたん,,　,ちう日
«1770-2160»,«節中»,大暑六月中みの八刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1770-2170»,«月序»,閏六月,小,隨節用之,畢　月よう
«1770-2180»,«暦日2»,一〳,ひのえね,とる,水,　,きこ 下しきたつの時
«1770-2190»,«暦日0»,二〳,ひのとのうし,やふる,,　,十し
«1770-2200»,«暦日2»,三〳,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
«1770-2210»,«暦日0»,四〳,つちのとのう,なる,,　,神よし 大みやう 天おん 月とく ふく日 天火 らうしやく
«1770-2220»,«暦日2»,五〳,かのえたつ,おさん,金,中伏,きしく 天おん めつもん  けんふくよし
