«1694-0000»,【 カンマ区切りテキスト形式です。】
«1694-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1694-2200»,«暦日0»,十五〳,かのとのい,さたん,,　,さい下しき 大みやう ちう日
«1694-2210»,«暦日2»,十六〳,みつのえね,さたん,木,立秋七月せつみの初刻ニ入|八せんのはしめ,神よし きしく  くらたてよし
«1694-2220»,«暦日0»,十七〳,みつのとのうし,とる,,ま日,●
«1694-2230»,«暦日2»,十八〳,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
«1694-2240»,«暦日0»,十九〳,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
«1694-2250»,«暦日2»,廿〳,ひのえたつ,なる,土,ま日,大みやう ちいみ  くさかりよし
«1694-2260»,«暦日0»,廿一〳,ひのとのみ,おさん,,　,大くわ ちう日  ものたちよし
«1694-2270»,«暦日2»,廿二〳,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
«1694-2280»,«暦日0»,廿三〳,つちのとのひつし,とつ,,　,神よし 大みやう  みそすつくりよし
«1694-2290»,«暦日2»,廿四〳,かのえさる,たつ,木,末伏,大みやう くゑ日 ふく日 わうまう 下しきみの時
«1694-2300»,«暦日0»,廿五〳,かのとのとり,のそく,,　,十し
«1694-2310»,«暦日2»,廿六〳,みつのえいぬ,みつ,水,ま日
«1694-2320»,«暦日0»,廿七〳,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
«1694-2330»,«暦日2»,廿八〳,きのえね,さたん,金,　,ふく日  ふねのりよし
«1694-2340»,«暦日0»,廿九〳,きのとのうし,とる,,　,●
«1694-2350»,«暦日1»,卅〳,ひのえとら,やふる,火,　, けんふく  つめとりよし
«1694-2360»,«月序»,七月,小,建,壬申,翼宿　女　土よう
«1694-2370»,«暦日1»,一〳,ひのとのう,あやふ,火,七月中ひつしの五刻,神よし  わたましよし
«1694-2380»,«暦日2»,二〳,つちのえたつ,なる,木,　,五む日 ちいみ  いちたちよし
«1694-2390»,«暦日0»,三〳,つちのとのみ,おさん,,　,神よし 大くわ ちう日
«1694-2400»,«暦日2»,四〳,かのえむま,ひらく,土,　,神よし ふく日 天火 らうしやく
«1694-2410»,«暦日0»,五〳,かのとのひつし,とつ,,　,大みやう  ものたちよし
«1694-2420»,«暦日2»,六〳,みつのえさる,たつ,金,　,神よし 大みやう 下しきみの時
«1694-2430»,«暦日0»,七〳,みつのとのとり,のそく,,　,十し
«1694-2440»,«暦日2»,八〳,きのえいぬ,みつ,火,　,ふく日  くらたてよし
«1694-2450»,«暦日0»,九〳,きのとのい,たいら,,　,ちう日 めつもん 地火
«1694-2460»,«暦日2»,十〳,ひのえね,さたん,水,　, 田かりよし
«1694-2470»,«暦日0»,十一〳,ひのとのうし,とる,,　,●
«1694-2480»,«暦日2»,十二〳,つちのえとら,やふる,土,二百十日, たねまき  つめとりよし
«1694-2490»,«暦日0»,十三〳,つちのとのう,あやふ,,　,神よし 大みやう  みそすつくりよし
«1694-2500»,«暦日2»,十四〳,かのえたつ,なる,金,　,きしく ちいみ ふく日  かといてよし
«1694-2510»,«暦日0»,十五〳,かのとのみ,おさん,,　,大くわ ちう日
«1694-2520»,«暦日2»,十六〳,みつのえむま,おさん,木,八月せついぬの二刻ニ入,大みやう めつもん
«1694-2530»,«暦日0»,十七〳,みつのとのひつし,ひらく,,　,●
«1694-2540»,«暦日2»,十八〳,きのえさる,とつ,水,十方くれニ入,神よし 大みやう  竹木こり 田かりよし
«1694-2550»,«暦日0»,十九〳,きのとのとり,たつ,,　,ふく日 天火 らうしやく 下しきむまの時
«1694-2560»,«暦日2»,廿〳,ひのえいぬ,のそく,土,　,五む日 ちいみ
«1694-2570»,«暦日0»,廿一〳,ひのとのい,みつ,,　,大みやう ちう日  入学よし
«1694-2580»,«暦日2»,廿二〳,つちのえね,たいら,火,二百廿日,大くわ 地火
«1694-2590»,«暦日0»,廿三〳,つちのとのうし,さたん,,　, かまぬり  つめとりよし
«1694-2600»,«暦日2»,廿四〳,かのえとら,とる,木,　,きこ  つめとりよし
«1694-2610»,«暦日0»,廿五〳,かのとのう,やふる,,　,ふく日  田かりよし
«1694-2620»,«暦日2»,廿六〳,みつのえたつ,あやふ,水,　,大みやう 五む日
«1694-2630»,«暦日0»,廿七〳,みつのとのみ,なる,,天一天上,十し
«1694-2640»,«暦日2»,廿八〳,きのえむま,おさん,金,　,めつもん
«1694-2650»,«暦日0»,廿九〳,きのとのひつし,ひらく,,　,●
«1694-2660»,«月序»,八月,大,建,癸酉,軫宿　虛　日よう
«1694-2670»,«暦日2»,一〳,ひのえさる,とつ,火,　,神よし
«1694-2680»,«暦日0»,二〳,ひのとのとり,たつ,,　,天火 らうしやく 下しきむまの時
«1694-2690»,«暦日2»,三〳,つちのえいぬ,のそく,木,秋分八月中ねの七刻|社日,ちいみ  ふねのり 田かりよし
«1694-2700»,«暦日0»,四〳,つちのとのい,みつ,,　,ちう日 わうまう  いちたちよし
«1694-2710»,«暦日2»,五〳,かのえね,たいら,土,ひかんニなる,神よし 大くわ 地火
«1694-2720»,«暦日0»,六〳,かのとのうし,さたん,,　,神よし 五む日 ふく日  ものたち  つめとりよし
«1694-2730»,«暦日2»,七〳,みつのえとら,とる,金,　,大みやう きこ  やたて  つめとりよし
«1694-2740»,«暦日0»,八〳,みつのとのう,やふる,,　, くらたて 田かりよし
«1694-2750»,«暦日2»,九〳,きのえたつ,あやふ,火,　,大みやう  けんふく わたましよし
«1694-2760»,«暦日0»,十〳,きのとのみ,なる,,　,十し
«1694-2770»,«暦日2»,十一〳,ひのえむま,おさん,水,　,大みやう めつもん
«1694-2780»,«暦日0»,十二〳,ひのとのひつし,ひらく,,　,●
«1694-2790»,«暦日2»,十三〳,つちのえさる,とつ,土,　,天しや よろつよし
«1694-2800»,«暦日0»,十四〳,つちのとのとり,たつ,,　,大みやう くゑ日 天火 らうしやく 下しきむまの時
«1694-2810»,«暦日2»,十五〳,かのえいぬ,のそく,金,　,大みやう ちいみ
