«1721-0000»,【 カンマ区切りテキスト形式です。】
«1721-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1721-1670»,«暦日2»,廿四〳,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
«1721-1680»,«暦日0»,廿五〳,きのとのとり,たいら,,　,神よし めつもん 地火
«1721-1690»,«暦日2»,廿六〳,ひのえいぬ,さたん,土,　,五む日  むきかりよし
«1721-1700»,«暦日0»,廿七〳,ひのとのい,とる,,　,大みやう ちう日 ふく日
«1721-1710»,«暦日2»,廿八〳,つちのえね,やふる,火,夏至五月中うの四刻,●
«1721-1720»,«暦日0»,廿九〳,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
«1721-1730»,«暦日1»,卅〳,かのえとら,なる,木,　,さい下しき きこ  井ほり  つめとりよし
«1721-1740»,«月序»,六月,小,建,乙未,壁宿　壁　水よう
«1721-1750»,«暦日1»,一〳,かのとのう,おさん,木,　,ちいみ 大くわ  ものたちよし
«1721-1760»,«暦日2»,二〳,みつのえたつ,ひらく,水,　,大みやう 五む日
«1721-1770»,«暦日0»,三〳,みつのとのみ,とつ,,天一天上,十し
«1721-1780»,«暦日2»,四〳,きのえむま,たつ,金,　,天しや よろつよし
«1721-1790»,«暦日0»,五〳,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
«1721-1800»,«暦日2»,六〳,ひのえさる,みつ,火,　,神よし  入学 いちたちよし
«1721-1810»,«暦日0»,七〳,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
«1721-1820»,«暦日2»,八〳,つちのえいぬ,さたん,木,はんけしやう, かまぬり 田うへよし
«1721-1830»,«暦日0»,九〳,つちのとのい,とる,,　,神よし ちう日
«1721-1840»,«暦日2»,十〳,かのえね,やふる,土,　,●
«1721-1850»,«暦日0»,十一〳,かのとのうし,あやふ,,　,神よし 五む日  つめとりよし
«1721-1860»,«暦日2»,十二〳,みつのえとら,なる,金,　,大みやう きこ  くさかり  つめとりよし
«1721-1870»,«暦日0»,十三〳,みつのとのう,なる,,六月せつむまの一刻ニ入,神よし 天火 らうしやく
«1721-1880»,«暦日2»,十四〳,きのえたつ,おさん,火,　,大みやう めつもん  わたましよし
«1721-1890»,«暦日0»,十五〳,きのとのみ,ひらく,,　,大みやう ちう日
«1721-1900»,«食記»,月帯そく,　
«1721-1910»,«暦日2»,十六〳,ひのえむま,とつ,水,　,●
«1721-1920»,«暦日0»,十七〳,ひのとのひつし,たつ,,　,くゑ日
«1721-1930»,«暦日2»,十八〳,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
«1721-1940»,«暦日0»,十九〳,つちのとのとり,みつ,,　,神よし 大みやう ちいみ ふく日
«1721-1950»,«暦日2»,廿〳,かのえいぬ,たいら,金,初伏,大みやう 大くわ 地火
«1721-1960»,«暦日0»,廿一〳,かのとのい,さたん,,　,大みやう ちう日
«1721-1970»,«暦日2»,廿二〳,みつのえね,とる,木,八せんのはしめ,きこ 下しきたつの時
«1721-1980»,«暦日0»,廿三〳,みつのとのうし,やふる,,ま日,十し
«1721-1990»,«暦日2»,廿四〳,きのえとら,あやふ,水,　, やたて  つめとりよし
«1721-2000»,«暦日0»,廿五〳,きのとのう,なる,,とようさるの二刻ニ入,神よし 天火 らうしやく
«1721-2010»,«暦日2»,廿六〳,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
«1721-2020»,«暦日0»,廿七〳,ひのとのみ,ひらく,,　,くゑ日 ちう日
«1721-2030»,«暦日2»,廿八〳,つちのえむま,とつ,火,六月中さるの六刻|ま日,●
«1721-2040»,«暦日0»,廿九〳,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
«1721-2050»,«月序»,七月,大,建,丙申,奎宿　奎　木よう
