«1689-0000»,【 カンマ区切りテキスト形式です。】
«1689-1270»,«暦日2»,十三〳,かのえいぬ,やふる,金,八十八や,大みやう
«1689-1280»,«暦日0»,十四〳,かのとのい,あやふ,,　,●
«1689-1290»,«暦日2»,十五〳,みつのえね,なる,木,八せんのはしめ,神よし きこ
«1689-1300»,«暦日0»,十六〳,みつのとのうし,おさん,,ま日,十し
«1689-1310»,«暦日2»,十七〳,きのえとら,おさん,水,立夏四月せついぬの七刻ニ入,めつもん  つめとりよし
«1689-1320»,«暦日0»,十八〳,きのとのう,ひらく,,　,神よし  さひらきよし
«1689-1330»,«暦日2»,十九〳,ひのえたつ,とつ,土,ま日,大みやう ふく日
«1689-1340»,«暦日0»,廿〳,ひのとのみ,たつ,,　,●
«1689-1350»,«暦日2»,廿一〳,つちのえむま,のそく,火,ま日,くゑ日
«1689-1360»,«暦日0»,廿二〳,つちのとのひつし,みつ,,　,大みやう くゑ日
«1689-1370»,«暦日2»,廿三〳,かのえさる,たいら,木,　,神よし 大みやう ちいみ 大くわ 地火
«1689-1380»,«暦日0»,廿四〳,かのとのとり,さたん,,　,十し
«1689-1390»,«暦日2»,廿五〳,みつのえいぬ,とる,水,ま日,ふく日
«1689-1400»,«暦日0»,廿六〳,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
«1689-1410»,«暦日2»,廿七〳,きのえね,あやふ,金,　
«1689-1420»,«暦日0»,廿八〳,きのとのうし,なる,,　,きこ  かまぬり  つめとりよし
«1689-1430»,«暦日1»,廿九〳,ひのえとら,おさん,火,　,ふく日 めつもん  つめとりよし
«1689-1440»,«月序»,四月,小,建,己巳,觜宿　井　木よう
«1689-1450»,«暦日1»,一〳,ひのとのう,ひらく,火,　,神よし  わたましよし
«1689-1460»,«暦日2»,二〳,つちのえたつ,とつ,木,　,きしく 五む日 くゑ日
«1689-1470»,«暦日0»,三〳,つちのとのみ,たつ,,　,●
«1689-1480»,«暦日2»,四〳,かのえむま,のそく,土,四月中うしの四刻,神よし  さひらき みそすつくりよし
«1689-1490»,«暦日0»,五〳,かのとのひつし,みつ,,　,大みやう くゑ日
«1689-1500»,«暦日2»,六〳,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
«1689-1510»,«暦日0»,七〳,みつのとのとり,さたん,,　,十し
«1689-1520»,«暦日2»,八〳,きのえいぬ,とる,火,　, やたて くらたてよし
«1689-1530»,«暦日0»,九〳,きのとのい,やふる,,　,ちう日
«1689-1540»,«暦日2»,十〳,ひのえね,あやふ,水,　,ふく日  さひらきよし
«1689-1550»,«暦日0»,十一〳,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
«1689-1560»,«暦日2»,十二〳,つちのえとら,おさん,土,　,めつもん  たねまき  つめとりよし
«1689-1570»,«暦日0»,十三〳,つちのとのう,ひらく,,　,神よし 大みやう  入学よし
«1689-1580»,«暦日2»,十四〳,かのえたつ,とつ,金,　, けんふくよし
«1689-1590»,«暦日0»,十五〳,かのとのみ,たつ,,　,●
«1689-1600»,«暦日2»,十六〳,みつのえむま,のそく,木,　,神よし 大みやう ふく日
«1689-1610»,«暦日0»,十七〳,みつのとのひつし,みつ,,　,くゑ日
«1689-1620»,«暦日2»,十八〳,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
«1689-1630»,«暦日0»,十九〳,きのとのとり,たいら,,五月せつたつの初刻ニ入,神よし めつもん 地火
«1689-1640»,«暦日2»,廿〳,ひのえいぬ,さたん,土,　,五む日  むきかりよし
«1689-1650»,«暦日0»,廿一〳,ひのとのい,とる,,　,大みやう ちう日 ふく日
«1689-1660»,«暦日2»,廿二〳,つちのえね,やふる,火,　,●
«1689-1670»,«暦日0»,廿三〳,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
