《1722-0000》,# カンマ区切りテキスト形式です。
《1722-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1722-1520》,《暦日0》,九／,みつのとのみ,とつ,,夏至五月中むまの三刻/天一天上,十し
《1722-1530》,《暦日2》,十／,きのえむま,たつ,金,　,天しや よろつよし
《1722-1540》,《暦日0》,十一／,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
《1722-1550》,《暦日2》,十二／,ひのえさる,みつ,火,　,神よし  入学 いちたちよし
《1722-1560》,《暦日0》,十三／,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
《1722-1570》,《暦日2》,十四／,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
《1722-1580》,《暦日0》,十五／,つちのとのい,とる,,　,神よし ちう日
《1722-1590》,《暦日2》,十六／,かのえね,やふる,土,　,●
《1722-1600》,《暦日0》,十七／,かのとのうし,あやふ,,　,神よし 五む日  つめとりよし
《1722-1610》,《暦日2》,十八／,みつのえとら,なる,金,　,大みやう きこ  くさかり  つめとりよし
《1722-1620》,《暦日0》,十九／,みつのとのう,おさん,,はんけしやう,ちいみ 大くわ ふく日
《1722-1630》,《暦日2》,廿／,きのえたつ,ひらく,火,　,きしく 大みやう  むきかり 田うへよし
《1722-1640》,《暦日0》,廿一／,きのとのみ,とつ,,　,十し
《1722-1650》,《暦日2》,廿二／,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
《1722-1660》,《暦日0》,廿三／,ひのとのひつし,のそく,,　,神よし ふく日
《1722-1670》,《暦日2》,廿四／,つちのえさる,のそく,土,六月せつとりの初刻ニ入,神よし ふく日  たねまきよし
《1722-1680》,《暦日0》,廿五／,つちのとのとり,みつ,,　,神よし 大みやう ちいみ ふく日
《1722-1690》,《暦日2》,廿六／,かのえいぬ,たいら,金,　,大みやう 大くわ 地火
《1722-1700》,《暦日0》,廿七／,かのとのい,さたん,,　,大みやう ちう日
《1722-1710》,《暦日2》,廿八／,みつのえね,とる,木,八せんのはしめ,きこ 下しきたつの時
《1722-1720》,《暦日0》,廿九／,みつのとのうし,やふる,,ま日,十し
《1722-1730》,《月序》,六月,大,建,丁未,張宿　心　月よう
《1722-1740》,《暦日2》,一／,きのえとら,あやふ,水,　, やたて  つめとりよし
《1722-1750》,《暦日0》,二／,きのとのう,なる,,　,神よし 天火 らうしやく
《1722-1760》,《暦日2》,三／,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
《1722-1770》,《暦日0》,四／,ひのとのみ,ひらく,,　,くゑ日 ちう日
《1722-1780》,《暦日2》,五／,つちのえむま,とつ,火,ま日,●
《1722-1790》,《暦日0》,六／,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
《1722-1800》,《暦日2》,七／,かのえさる,のそく,木,初伏/とよういの一刻ニ入,神よし 大みやう  くさかりよし
《1722-1810》,《暦日0》,八／,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
《1722-1820》,《暦日2》,九／,みつのえいぬ,たいら,水,ま日,大くわ 地火
《1722-1830》,《暦日0》,十／,みつのとのい,さたん,,六月中いの五刻/八せんのおはり,ちう日
《1722-1840》,《暦日2》,十一／,きのえね,とる,金,　,きこ 下しきたつの時
《1722-1850》,《暦日0》,十二／,きのとのうし,やふる,,　,十し
《1722-1860》,《暦日2》,十三／,ひのえとら,あやふ,火,　, わたまし  つめとりよし
《1722-1870》,《暦日0》,十四／,ひのとのう,なる,,　,さい下しき 神よし 天火 らうしやく
《1722-1880》,《暦日2》,十五／,つちのえたつ,おさん,木,　,五む日 ふく日 めつもん
《1722-1890》,《暦日0》,十六／,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
《1722-1900》,《暦日2》,十七／,かのえむま,とつ,土,中伏,●
