《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《2620》,《暦日0》,十一／,みつのとのうし,さたん,,ま日,神よし 天おん 母倉  たねまき 竹木こり  つめとりよし
《2630》,《暦日2》,十二／,きのえとら,とる,水,　,きこ  かまぬり 田かり  つめとりよし
《2640》,《暦日0》,十三／,きのとのう,やふる,,　,くゑ日 ふく日
《2650》,《暦日2》,十四／,ひのえたつ,あやふ,土,ま日,大みやう 母倉
《2660》,《暦日0》,十五／,ひのとのみ,なる,,二百廿日,十し
《2670》,《暦日2》,十六／,つちのえむま,おさん,火,ま日,めつもん
《2680》,《暦日0》,十七／,つちのとのひつし,ひらく,,　,●
《2690》,《暦日2》,十八／,かのえさる,とつ,木,　,神よし 大みやう 月とく  入学よし
《2700》,《暦日0》,十九／,かのとのとり,たつ,,　,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
《2710》,《暦日2》,廿／,みつのえいぬ,のそく,水,ま日,母倉 ちいみ  たねまきよし
《2720》,《暦日0》,廿一／,みつのとのい,みつ,,八せんのおはり,ちう日  いちたちよし
《2730》,《暦日2》,廿二／,きのえね,たいら,金,　,天おん 大くわ 地火  わたましよし
《2740》,《暦日0》,廿三／,きのとのうし,さたん,,ひかんニなる,神よし 天おん 母倉 月とく ふく日  つめとりよし
《2750》,《暦日1》,廿四／,ひのえとら,とる,火,　,天おん きこ  つめとりよし
《2760》,《節中》,秋分八月中ひつしの一刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《2770》,《暦日1》,廿五／,ひのとのう,やふる,火,　,天おん  田かりよし
《2780》,《暦日2》,廿六／,つちのえたつ,あやふ,木,社日,きしく 天おん 母倉 五む日 わうまう  みそすつくりよし
《2790》,《暦日0》,廿七／,つちのとのみ,なる,,　,十し
《2800》,《暦日2》,廿八／,かのえむま,おさん,土,　,月とく めつもん  竹木こりよし
《2810》,《暦日0》,廿九／,かのとのひつし,ひらく,,　,●
《2820》,《暦日1》,卅／,みつのえさる,とつ,金,　,神よし 大みやう
《2830》,《月序》,九月,小,建,戊戌,胃宿　軫　水よう
《2840》,《暦日1》,一／,みつのとのとり,たつ,金,　,大みやう 天火 らうしやく 下しきむまの時
《2850》,《暦日2》,二／,きのえいぬ,のそく,火,　,母倉 ちいみ  竹木こりよし
《2860》,《暦日0》,三／,きのとのい,みつ,,　,月とく ちう日 ふく日  入学よし
《2870》,《暦日2》,四／,ひのえね,たいら,水,　,大くわ 地火
《2880》,《暦日0》,五／,ひのとのうし,さたん,,　,神よし 大みやう 母倉  ものたち  つめとりよし
《2890》,《暦日2》,六／,つちのえとら,とる,土,　,きこ  田かり  つめとりよし
《2900》,《暦日0》,七／,つちのとのう,やふる,,　,大みやう 天おん
《2910》,《暦日2》,八／,かのえたつ,あやふ,金,　,天おん 母倉 月とく
《2920》,《暦日0》,九／,かのとのみ,あやふ,,　,天おん 母倉 月とく ちいみ ちう日 下しきひつしの時
