«1835-0000»,【 カンマ区切りテキスト形式です。】
«1835-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1835-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1835-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1835-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1835-0050»,【 外部リンク　】
«1835-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/130 ～ 134】
«1835-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1835h　(翻刻編集終了データを表成型して表示します)】
«1835-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1835ht (翻刻編集中データを表成型して表示します)】
«1835-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1835-0100»,«版元»,出版地○○,出版元□□□,　
«1835-1910»,«暦日0»,七〳,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
«1835-1920»,«暦日2»,八〳,ひのえさる,みつ,火,はんけしやう,神よし きしく 月とく  入学 いちたちよし
«1835-1930»,«暦日0»,九〳,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
«1835-1940»,«暦日2»,十〳,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
«1835-1950»,«暦日0»,十一〳,つちのとのい,とる,,　,神よし ちう日
«1835-1960»,«暦日2»,十二〳,かのえね,やふる,土,　,●
«1835-1970»,«暦日0»,十三〳,かのとのうし,やふる,,　,十し
«1835-1980»,«節中»,小暑六月せつ今暁とらの三刻ニ入日の出より日入まて,昼五十九刻半|夜四十刻半,六より六まて,昼六十五刻余|夜三十四刻半余
«1835-1990»,«暦日2»,十四〳,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
«1835-2000»,«暦日0»,十五〳,みつのとのう,なる,,　,神よし 天火 らうしやく
«1835-2010»,«暦日2»,十六〳,きのえたつ,おさん,火,　,大みやう 月とく めつもん  わたましよし
«1835-2020»,«暦日0»,十七〳,きのとのみ,ひらく,,　,大みやう 母倉 ちう日
«1835-2030»,«暦日2»,十八〳,ひのえむま,とつ,水,　,●
«1835-2040»,«暦日0»,十九〳,ひのとのひつし,たつ,,　,くゑ日
«1835-2050»,«暦日2»,廿〳,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
«1835-2060»,«暦日0»,廿一〳,つちのとのとり,みつ,,　,神よし 大みやう 天おん 月とく ちいみ ふく日
«1835-2070»,«暦日2»,廿二〳,かのえいぬ,たいら,金,初伏,大みやう 天おん 大くわ 地火
«1835-2080»,«暦日0»,廿三〳,かのとのい,さたん,,　,大みやう 天おん ちう日
«1835-2090»,«暦日2»,廿四〳,みつのえね,とる,木,八せんのはしめ,天おん きこ 下しきたつの時
«1835-2100»,«暦日0»,廿五〳,みつのとのうし,やふる,,ま日|とようたつの四刻ニ入,十し
«1835-2110»,«暦日2»,廿六〳,きのえとら,あやふ,水,　,母倉 月とく  やたて  つめとりよし
«1835-2120»,«暦日0»,廿七〳,きのとのう,なる,,　,神よし 母倉 天火 らうしやく
«1835-2130»,«暦日1»,廿八〳,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
«1835-2140»,«節中»,大暑六月中たつの八刻日の出より日入まて,昼五十八刻余|夜四十一刻半余,六より六まて,昼六十四刻|夜三十六刻
«1835-2150»,«暦日1»,廿九〳,ひのとのみ,ひらく,土,　,くゑ日 ちう日
«1835-2160»,«暦日1»,卅〳,つちのえむま,とつ,火,ま日,●
«1835-2170»,«月序»,七月,小,建,甲申,虛宿　昴　日よう
«1835-2180»,«暦日1»,一〳,つちのとのひつし,たつ,火,　,大みやう くゑ日 ふく日
«1835-2190»,«暦日2»,二〳,かのえさる,のそく,木,中伏,さい下しき 神よし 大みやう  くさかりよし
«1835-2200»,«暦日0»,三〳,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
«1835-2210»,«暦日2»,四〳,みつのえいぬ,たいら,水,ま日,大くわ 地火
«1835-2220»,«暦日0»,五〳,みつのとのい,さたん,,八せんのおはり,ちう日
«1835-2230»,«暦日2»,六〳,きのえね,とる,金,　,きしく 天おん 月とく きこ わうまう 下しきたつの時
«1835-2240»,«暦日0»,七〳,きのとのうし,やふる,,　,十し
«1835-2250»,«暦日2»,八〳,ひのえとら,あやふ,火,　,天おん  わたまし  つめとりよし
«1835-2260»,«暦日0»,九〳,ひのとのう,なる,,　,神よし 天おん 天火 らうしやく
«1835-2270»,«暦日2»,十〳,つちのえたつ,おさん,木,　,天おん 五む日 ふく日 めつもん
«1835-2280»,«暦日0»,十一〳,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
«1835-2290»,«暦日2»,十二〳,かのえむま,とつ,土,　,●
«1835-2300»,«暦日0»,十三〳,かのとのひつし,とつ,,　,大みやう 母倉  ものたちよし
«1835-2310»,«節中»,立秋七月せつひつしの五刻ニ入日の出より日入まて,昼五十六刻半余|夜四十三刻余,六より六まて,昼六十二刻余|夜三十七刻半余
«1835-2320»,«暦日2»,十四〳,みつのえさる,たつ,金,　,神よし 大みやう 月とく 下しきみの時
«1835-2330»,«暦日0»,十五〳,みつのとのとり,のそく,,　,十し
«1835-2340»,«暦日2»,十六〳,きのえいぬ,みつ,火,　,母倉 ふく日  くらたてよし
«1835-2350»,«暦日0»,十七〳,きのとのい,たいら,,　,ちう日 めつもん 地火
«1835-2360»,«暦日2»,十八〳,ひのえね,さたん,水,　, 田かりよし
«1835-2370»,«暦日0»,十九〳,ひのとのうし,とる,,　,●
«1835-2380»,«暦日2»,廿〳,つちのえとら,やふる,土,　, たねまき  つめとりよし
«1835-2390»,«暦日0»,廿一〳,つちのとのう,あやふ,,　,大みやう 天おん わうまう  みそすつくりよし
«1835-2400»,«暦日2»,廿二〳,かのえたつ,なる,金,末伏,天おん 母倉 ちいみ ふく日  かといてよし
«1835-2410»,«暦日0»,廿三〳,かのとのみ,おさん,,　,天おん 大くわ ちう日
«1835-2420»,«暦日2»,廿四〳,みつのえむま,ひらく,木,　,神よし 大みやう 天おん 月とく 天火 らうしやく
«1835-2430»,«暦日0»,廿五〳,みつのとのひつし,とつ,,　,天おん 母倉
«1835-2440»,«暦日2»,廿六〳,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
«1835-2450»,«暦日0»,廿七〳,きのとのとり,のそく,,　,十し
«1835-2460»,«暦日1»,廿八〳,ひのえいぬ,みつ,土,　,母倉 五む日
«1835-2470»,«節中»,処暑七月中いぬの二刻日の出より日入まて,昼五十四刻半余|夜四十五刻余,六より六まて,昼六十刻|夜四十刻
«1835-2480»,«暦日1»,廿九〳,ひのとのい,たいら,土,　,大みやう 月とく ちう日 めつもん 地火
«1835-2490»,«月序»,閏七月,小,隨節用之,畢　月よう
«1835-2500»,«暦日2»,一〳,つちのえね,さたん,火,　, けんふく くさかりよし
