《1849-0000》,# カンマ区切りテキスト形式です。
《1849-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1849-0020》,# ・表の区画内での改行は“/”で表記します。
《1849-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1849-2040》,《暦日1》,十九／,きのとのう,なる,水,　,神よし 母倉 天火 らうしやく
《1849-2050》,《暦日2》,廿／,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
《1849-2060》,《暦日0》,廿一／,ひのとのみ,ひらく,,　,くゑ日 ちう日
《1849-2070》,《暦日2》,廿二／,つちのえむま,とつ,火,ま日,●
《1849-2080》,《暦日0》,廿三／,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
《1849-2090》,《暦日2》,廿四／,かのえさる,のそく,木,初伏,神よし きしく 大みやう  くさかりよし
《1849-2100》,《暦日0》,廿五／,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
《1849-2110》,《暦日2》,廿六／,みつのえいぬ,たいら,水,ま日,大くわ 地火
《1849-2120》,《暦日0》,廿七／,みつのとのい,さたん,,八せんのおはり,ちう日
《1849-2130》,《暦日2》,廿八／,きのえね,とる,金,　,天おん 月とく きこ 下しきたつの時
《1849-2140》,《暦日0》,廿九／,きのとのうし,やふる,,　,十し
《1849-2150》,《暦日1》,卅／,ひのえとら,あやふ,火,とよう暮六時五分ニ入,天おん  わたまし  つめとりよし
《1849-2160》,《月序》,六月,小,建,辛未,女宿　亢　金よう
《1849-2170》,《暦日1》,一／,ひのとのう,なる,火,　,神よし 天おん 天火 らうしやく
《1849-2180》,《暦日2》,二／,つちのえたつ,おさん,木,　,天おん 五む日 ふく日 めつもん
《1849-2190》,《暦日0》,三／,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
《1849-2200》,《暦日1》,四／,かのえむま,とつ,土,中伏,●
《1849-2210》,《節中》,大暑六月中朝四時二分日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《1849-2220》,《暦日1》,五／,かのとのひつし,たつ,土,　,大みやう  かといて ふねのりよし
《1849-2230》,《暦日2》,六／,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
《1849-2240》,《暦日0》,七／,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
《1849-2250》,《暦日2》,八／,きのえいぬ,たいら,火,　,月とく 大くわ 地火  わたましよし
《1849-2260》,《暦日0》,九／,きのとのい,さたん,,　,ちう日
《1849-2270》,《暦日2》,十／,ひのえね,とる,水,　,きこ 下しきたつの時
《1849-2280》,《暦日0》,十一／,ひのとのうし,やふる,,　,十し
《1849-2290》,《暦日2》,十二／,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
《1849-2300》,《暦日0》,十三／,つちのとのう,なる,,　,神よし 大みやう 天おん 月とく ふく日 天火 らうしやく
《1849-2310》,《暦日2》,十四／,かのえたつ,おさん,金,　,天おん めつもん  けんふくよし
《1849-2320》,《暦日0》,十五／,かのとのみ,ひらく,,　,天おん 母倉 ちう日  ものたちよし
《1849-2330》,《暦日2》,十六／,みつのえむま,とつ,木,　,●
《1849-2340》,《暦日0》,十七／,みつのとのひつし,たつ,,　,天おん  たねまきよし
《1849-2350》,《暦日2》,十八／,きのえさる,のそく,水,十方くれニ入,神よし 大みやう 月とく
《1849-2360》,《暦日0》,十九／,きのとのとり,みつ,,　,神よし ちいみ
《1849-2370》,《暦日1》,廿／,ひのえいぬ,みつ,土,　,さい下しき 母倉 五む日
《1849-2380》,《節中》,立秋七月せつ今暁八時四分ニ入日の出より日入まて,昼五十六刻半/夜四十三刻半,六より六まて,昼六十二刻/夜三十八刻
《1849-2390》,《暦日1》,廿一／,ひのとのい,たいら,土,　,大みやう 月とく ちう日 めつもん 地火
《1849-2400》,《暦日2》,廿二／,つちのえね,さたん,火,　,きしく  けんふく くさかりよし
《1849-2410》,《暦日0》,廿三／,つちのとのうし,とる,,　,●
《1849-2420》,《暦日2》,廿四／,かのえとら,やふる,木,末伏,ふく日  つめとりよし
《1849-2430》,《暦日0》,廿五／,かのとのう,あやふ,,　,神よし
《1849-2440》,《暦日2》,廿六／,みつのえたつ,なる,水,　,大みやう 母倉 月とく 五む日 ちいみ
《1849-2450》,《暦日0》,廿七／,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
《1849-2460》,《暦日2》,廿八／,きのえむま,ひらく,金,　,ふく日 天火 らうしやく わうまう  かといてよし
《1849-2470》,《暦日0》,廿九／,きのとのひつし,とつ,,　,大みやう 母倉 五む日
《1849-2480》,《月序》,七月,大,建,壬申,虛宿　氐　土よう
《1849-2490》,《暦日2》,一／,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
《1849-2500》,《暦日0》,二／,ひのとのとり,のそく,,　,十し
《1849-2510》,《暦日2》,三／,つちのえいぬ,みつ,木,　,母倉  くらたて かまぬりよし
《1849-2520》,《暦日0》,四／,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
《1849-2530》,《暦日2》,五／,かのえね,さたん,土,　,神よし ふく日
《1849-2540》,《暦日0》,六／,かのとのうし,とる,,　,●
《1849-2550》,《節中》,処暑七月中昼八時九分日の出より日入まて,昼五十四刻半/夜四十五刻半,六より六まて,昼五十九刻半余/夜四十刻余
《1849-2560》,《暦日2》,七／,みつのえとら,やふる,金,　,大みやう 月とく  やたて  つめとりよし
《1849-2570》,《暦日0》,八／,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
《1849-2580》,《暦日2》,九／,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
《1849-2590》,《暦日0》,十／,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
《1849-2600》,《暦日2》,十一／,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
《1849-2610》,《暦日0》,十二／,ひのとのひつし,とつ,,　,神よし 母倉 月とく  いちたちよし
《1849-2620》,《暦日2》,十三／,つちのえさる,たつ,土,　,天しや よろつよし
《1849-2630》,《暦日0》,十四／,つちのとのとり,のそく,,　,十し
《1849-2640》,《暦日2》,十五／,かのえいぬ,みつ,金,二百十日,大みやう 天おん 母倉 ふく日
《1849-2650》,《暦日0》,十六／,かのとのい,たいら,,　,大みやう 天おん ちう日 めつもん 地火
《1849-2660》,《食記》,月食六分
《1849-2670》,《暦日2》,十七／,みつのえね,さたん,木,八せんのはしめ,神よし 天おん 月とく  くらたてよし
《1849-2680》,《暦日0》,十八／,みつのとのうし,とる,,ま日,●
《1849-2690》,《暦日2》,十九／,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
《1849-2700》,《暦日0》,廿／,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
《1849-2710》,《暦日2》,廿一／,ひのえたつ,なる,土,ま日,きしく 大みやう 母倉 ちいみ  くさかりよし
《1849-2720》,《暦日0》,廿二／,ひのとのみ,なる,,　,十し
《1849-2730》,《節中》,白露八月せつ今暁七時六分ニ入日の出より日入まて,昼五十二刻余/夜四十七刻半余,六より六まて,昼五十七刻半/夜四十二刻半
《1849-2740》,《暦日2》,廿三／,つちのえむま,おさん,火,ま日,めつもん
