«1872-0000»,【 カンマ区切りテキスト形式です。】
«1872-1870»,«節中»,小暑六月せつ明六時七分ニ入日の出より日入まて,昼五十九刻半|夜四十刻半,六より六まて,昼六十五刻余|夜三十四刻半余
«1872-1880»,«暦日2»,三〳,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
«1872-1890»,«暦日0»,四〳,ひのとのみ,ひらく,,　,くゑ日 ちう日
«1872-1900»,«暦日2»,五〳,つちのえむま,とつ,火,ま日,●
«1872-1910»,«暦日0»,六〳,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
«1872-1920»,«暦日2»,七〳,かのえさる,のそく,木,初伏,神よし きしく 大みやう  くさかりよし
«1872-1930»,«暦日0»,八〳,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
«1872-1940»,«暦日2»,九〳,みつのえいぬ,たいら,水,ま日,大くわ 地火
«1872-1950»,«暦日0»,十〳,みつのとのい,さたん,,八せんのおはり,ちう日
«1872-1960»,«暦日2»,十一〳,きのえね,とる,金,　,天おん 月とく きこ 下しきたつの時
«1872-1970»,«暦日0»,十二〳,きのとのうし,やふる,,　,十し
«1872-1980»,«暦日2»,十三〳,ひのえとら,あやふ,火,　,天おん  わたまし  つめとりよし
«1872-1990»,«暦日0»,十四〳,ひのとのう,なる,,とよう夕七時七分ニ入,神よし 天おん 天火 らうしやく
«1872-2000»,«暦日2»,十五〳,つちのえたつ,おさん,木,　,天おん 五む日 ふく日 めつもん
«1872-2010»,«暦日0»,十六〳,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
«1872-2020»,«暦日1»,十七〳,かのえむま,とつ,土,中伏,●
«1872-2030»,«節中»,大暑六月中夜四時六分日の出より日入まて,昼五十八刻余|夜四十一刻半余,六より六まて,昼六十四刻|夜三十六刻
«1872-2040»,«暦日1»,十八〳,かのとのひつし,たつ,土,　,大みやう  かといて ふねのりよし
«1872-2050»,«暦日2»,十九〳,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
«1872-2060»,«暦日0»,廿〳,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
«1872-2070»,«暦日2»,廿一〳,きのえいぬ,たいら,火,　,月とく 大くわ 地火  わたましよし
«1872-2080»,«暦日0»,廿二〳,きのとのい,さたん,,　,ちう日
«1872-2090»,«暦日2»,廿三〳,ひのえね,とる,水,　,きこ 下しきたつの時
«1872-2100»,«暦日0»,廿四〳,ひのとのうし,やふる,,　,十し
«1872-2110»,«暦日2»,廿五〳,つちのえとら,あやふ,土,　,ふく日 わうまう  たねまき  つめとりよし
«1872-2120»,«暦日0»,廿六〳,つちのとのう,なる,,　,神よし 大みやう 天おん 月とく ふく日 天火 らうしやく
«1872-2130»,«暦日2»,廿七〳,かのえたつ,おさん,金,　,天おん めつもん  けんふくよし
«1872-2140»,«暦日0»,廿八〳,かのとのみ,ひらく,,　,天おん 母倉 ちう日  ものたちよし
«1872-2150»,«暦日1»,廿九〳,みつのえむま,とつ,木,　,●
«1872-2160»,«月序»,七月,大,建,戊申,箕宿　昴　日よう
«1872-2170»,«暦日1»,一〳,みつのとのひつし,たつ,木,　,天おん  たねまきよし
«1872-2180»,«暦日2»,二〳,きのえさる,のそく,水,十方くれニ入,神よし 大みやう 月とく
«1872-2190»,«暦日0»,三〳,きのとのとり,みつ,,　,神よし ちいみ
«1872-2200»,«暦日1»,四〳,ひのえいぬ,みつ,土,　,母倉 五む日
«1872-2210»,«節中»,立秋七月せつ昼八時四分ニ入日の出より日入まて,昼五十六刻半|夜四十三刻半,六より六まて,昼六十二刻|夜三十八刻
«1872-2220»,«暦日1»,五〳,ひのとのい,たいら,土,　,大みやう 月とく ちう日 めつもん 地火
«1872-2230»,«暦日2»,六〳,つちのえね,さたん,火,　,きしく  けんふく くさかりよし
