《1699-0000》,# カンマ区切りテキスト形式です。
《1699-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1699-2470》,《暦日2》,十二／,つちのえさる,たつ,土,　,天しや よろつよし
《1699-2480》,《暦日0》,十三／,つちのとのとり,たつ,,八月せつねの六刻ニ入,大みやう くゑ日 天火 らうしやく 下しきむまの時
《1699-2490》,《暦日2》,十四／,かのえいぬ,のそく,金,　,大みやう ちいみ
《1699-2500》,《暦日0》,十五／,かのとのい,みつ,,　,神よし 大みやう ちう日 ふく日
《1699-2510》,《暦日1》,十六／,みつのえね,たいら,木,八せんのはしめ,大くわ 地火
《1699-2520》,《食記》,月そく七分
《1699-2530》,《暦日1》,十七／,みつのとのうし,さたん,木,ま日,神よし  たねまき 竹木こり  つめとりよし
《1699-2540》,《暦日2》,十八／,きのえとら,とる,水,二百廿日,きこ  かまぬり 田かり  つめとりよし
《1699-2550》,《暦日0》,十九／,きのとのう,やふる,,　,くゑ日 ふく日
《1699-2560》,《暦日2》,廿／,ひのえたつ,あやふ,土,ま日,大みやう
《1699-2570》,《暦日0》,廿一／,ひのとのみ,なる,,　,十し
《1699-2580》,《暦日2》,廿二／,つちのえむま,おさん,火,ま日,めつもん
《1699-2590》,《暦日0》,廿三／,つちのとのひつし,ひらく,,　,●
《1699-2600》,《暦日2》,廿四／,かのえさる,とつ,木,　,神よし 大みやう  入学よし
《1699-2610》,《暦日0》,廿五／,かのとのとり,たつ,,　,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
《1699-2620》,《暦日2》,廿六／,みつのえいぬ,のそく,水,ま日,ちいみ  たねまきよし
《1699-2630》,《暦日0》,廿七／,みつのとのい,みつ,,八せんのおはり,ちう日  いちたちよし
《1699-2640》,《暦日2》,廿八／,きのえね,たいら,金,秋分八月中うの三刻,大くわ 地火  わたましよし
《1699-2650》,《暦日0》,廿九／,きのとのうし,さたん,,　,神よし ふく日  つめとりよし
《1699-2660》,《月序》,九月,大,建,甲戌,心宿　參　水よう
《1699-2670》,《暦日2》,一／,ひのえとら,とる,火,ひかんニなる,きこ わうまう  つめとりよし
《1699-2680》,《暦日0》,二／,ひのとのう,やふる,,　, 田かりよし
《1699-2690》,《暦日2》,三／,つちのえたつ,あやふ,木,社日,きしく 五む日  みそすつくりよし
《1699-2700》,《暦日0》,四／,つちのとのみ,なる,,　,十し
《1699-2710》,《暦日2》,五／,かのえむま,おさん,土,　,めつもん  竹木こりよし
《1699-2720》,《暦日0》,六／,かのとのひつし,ひらく,,　,●
《1699-2730》,《暦日2》,七／,みつのえさる,とつ,金,　,神よし 大みやう
《1699-2740》,《暦日0》,八／,みつのとのとり,たつ,,　,大みやう 天火 らうしやく 下しきむまの時
《1699-2750》,《暦日2》,九／,きのえいぬ,のそく,火,　,ちいみ  竹木こりよし
《1699-2760》,《暦日0》,十／,きのとのい,みつ,,　,ちう日 ふく日  入学よし
《1699-2770》,《暦日2》,十一／,ひのえね,たいら,水,　,大くわ 地火
《1699-2780》,《暦日0》,十二／,ひのとのうし,さたん,,　,神よし 大みやう  ものたち  つめとりよし
《1699-2790》,《暦日2》,十三／,つちのえとら,とる,土,　,きこ  田かり  つめとりよし
《1699-2800》,《暦日0》,十四／,つちのとのう,とる,,かん露九月せつむまの初刻ニ入,神よし 大みやう ふく日  竹木こりよし
《1699-2810》,《暦日2》,十五／,かのえたつ,やふる,金,　
《1699-2820》,《暦日0》,十六／,かのとのみ,あやふ,,　,ちいみ ちう日 下しきひつしの時
《1699-2830》,《暦日2》,十七／,みつのえむま,なる,木,　,神よし 大みやう  けんふくよし
《1699-2840》,《暦日0》,十八／,みつのとのひつし,おさん,,　,大くわ  むきまき 田かりよし
《1699-2850》,《暦日2》,十九／,きのえさる,ひらく,水,十方くれニ入,大みやう
《1699-2860》,《暦日0》,廿／,きのとのとり,とつ,,　,神よし  田かりよし
《1699-2870》,《暦日2》,廿一／,ひのえいぬ,たつ,土,　,五む日  竹木こりよし
《1699-2880》,《暦日0》,廿二／,ひのとのい,のそく,,　,大みやう ちう日
《1699-2890》,《暦日2》,廿三／,つちのえね,みつ,火,　,きこ ふく日 天火 らうしやく
《1699-2900》,《暦日0》,廿四／,つちのとのうし,たいら,,　,十し
《1699-2910》,《暦日2》,廿五／,かのえとら,さたん,木,　,●
《1699-2920》,《暦日0》,廿六／,かのとのう,とる,,とようさるの一刻ニ入,くゑ日
《1699-2930》,《暦日2》,廿七／,みつのえたつ,やふる,水,　,さい下しき 大みやう 五む日 くゑ日
