《1784-0000》,# カンマ区切りテキスト形式です。
《1784-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1784-0020》,# ・表の区画内での改行は“/”で表記します。
《1784-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1784-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1784-0050》,# 外部リンク
《1784-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/188 ～ 192
《1784-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1784g　(GitHub上データを表成型)
《1784-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1784h　(翻刻編集データを表成型 - 未実装)
《1784-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1784-0100》,《版元》,出版地○○,出版元□□□,　
《1784-1550》,《節中》,小満四月中今暁うしの七刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《1784-1560》,《暦日1》,五／,つちのとのうし,なる,火,　,きこ  つめとりよし
《1784-1570》,《暦日2》,六／,かのえとら,おさん,木,　,母倉 月とく めつもん  さひらき  つめとりよし
《1784-1580》,《暦日0》,七／,かのとのう,ひらく,,　,神よし 母倉  やたて ものたちよし
《1784-1590》,《暦日2》,八／,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
《1784-1600》,《暦日0》,九／,みつのとのみ,たつ,,天一天上,●
《1784-1610》,《暦日2》,十／,きのえむま,のそく,金,　,天しや よろつよし
《1784-1620》,《暦日0》,十一／,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
《1784-1630》,《暦日2》,十二／,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
《1784-1640》,《暦日0》,十三／,ひのとのとり,さたん,,　,十し
《1784-1650》,《暦日2》,十四／,つちのえいぬ,とる,木,　, くらたて かまぬりよし
《1784-1660》,《暦日0》,十五／,つちのとのい,やふる,,　,くゑ日 ちう日
《1784-1670》,《暦日2》,十六／,かのえね,あやふ,土,　,神よし 月とく  わたまし たねまきよし
《1784-1680》,《暦日0》,十七／,かのとのうし,なる,,　,五む日 きこ  つめとりよし
《1784-1690》,《暦日2》,十八／,みつのえとら,おさん,金,　,大みやう 母倉 ふく日 めつもん  つめとりよし
《1784-1700》,《暦日0》,十九／,みつのとのう,おさん,,　,母倉 ちいみ 大くわ ふく日
《1784-1710》,《節中》,芒種五月せつたつの四刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1784-1720》,《暦日2》,廿／,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
《1784-1730》,《暦日0》,廿一／,きのとのみ,とつ,,　,十し
《1784-1740》,《暦日2》,廿二／,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
《1784-1750》,《暦日0》,廿三／,ひのとのひつし,のそく,,　,神よし ふく日
《1784-1760》,《暦日2》,廿四／,つちのえさる,みつ,土,　,神よし きしく  入学よし
《1784-1770》,《暦日0》,廿五／,つちのとのとり,たいら,,　,神よし 大みやう 天おん めつもん 地火
《1784-1780》,《暦日2》,廿六／,かのえいぬ,さたん,金,　,大みやう 天おん  かといてよし
《1784-1790》,《暦日0》,廿七／,かのとのい,とる,,　,神よし 大みやう 天おん 月とく ちう日  入学よし
《1784-1800》,《暦日2》,廿八／,みつのえね,やふる,木,入梅/八せんのはしめ,●
《1784-1810》,《暦日0》,廿九／,みつのとのうし,あやふ,,ま日,神よし 天おん ふく日  むきかり  つめとりよし
《1784-1820》,《暦日1》,卅／,きのえとら,なる,水,　,母倉 きこ  田うへ  つめとりよし
《1784-1830》,《月序》,五月,小,建,庚午,室宿　亢　金よう
《1784-1840》,《暦日1》,一／,きのとのう,おさん,水,　,母倉 ちいみ 大くわ  ものたちよし
《1784-1850》,《暦日2》,二／,ひのえたつ,ひらく,土,ま日,大みやう 月とく  けんふく いちたちよし
《1784-1860》,《暦日0》,三／,ひのとのみ,とつ,,　,十し
《1784-1870》,《暦日1》,四／,つちのえむま,たつ,火,ま日,くゑ日 わうまう 下しきうの時
《1784-1880》,《節中》,夏至五月中ひつしの一刻日の出より日入まて,昼六十刻/夜四十刻,六より六まて,昼六十五刻/夜三十五刻
