《1716-0000》,# カンマ区切りテキスト形式です。
《1716-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1716-1460》,《暦日2》,三／,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
《1716-1470》,《暦日0》,四／,みつのとのみ,たつ,,天一天上,●
《1716-1480》,《暦日2》,五／,きのえむま,のそく,金,　,天しや よろつよし
《1716-1490》,《暦日0》,六／,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
《1716-1500》,《暦日2》,七／,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
《1716-1510》,《暦日0》,八／,ひのとのとり,さたん,,　,十し
《1716-1520》,《暦日2》,九／,つちのえいぬ,とる,木,　, くらたて かまぬりよし
《1716-1530》,《暦日0》,十／,つちのとのい,やふる,,　,くゑ日 ちう日
《1716-1540》,《暦日2》,十一／,かのえね,あやふ,土,　,神よし  わたまし たねまきよし
《1716-1550》,《暦日0》,十二／,かのとのうし,なる,,　,五む日 きこ  つめとりよし
《1716-1560》,《暦日2》,十三／,みつのえとら,おさん,金,　,大みやう ふく日 めつもん  つめとりよし
《1716-1570》,《暦日0》,十四／,みつのとのう,ひらく,,　,神よし  かといて さひらきよし
《1716-1580》,《暦日2》,十五／,きのえたつ,とつ,火,　,大みやう
《1716-1590》,《暦日0》,十六／,きのとのみ,たつ,,　,●
《1716-1600》,《暦日2》,十七／,ひのえむま,たつ,水,五月せついぬの三刻ニ入,大みやう くゑ日 下しきうの時
《1716-1610》,《暦日0》,十八／,ひのとのひつし,のそく,,　,神よし ふく日
《1716-1620》,《暦日2》,十九／,つちのえさる,みつ,土,　,神よし  入学よし
《1716-1630》,《暦日0》,廿／,つちのとのとり,たいら,,　,神よし 大みやう めつもん 地火
《1716-1640》,《暦日2》,廿一／,かのえいぬ,さたん,金,　,大みやう  かといてよし
《1716-1650》,《暦日0》,廿二／,かのとのい,とる,,　,神よし 大みやう ちう日  入学よし
《1716-1660》,《暦日2》,廿三／,みつのえね,やふる,木,入梅/八せんのはしめ,●
《1716-1670》,《暦日0》,廿四／,みつのとのうし,あやふ,,ま日,神よし ふく日  むきかり  つめとりよし
《1716-1680》,《暦日2》,廿五／,きのえとら,なる,水,　,きこ  田うへ  つめとりよし
《1716-1690》,《暦日0》,廿六／,きのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
《1716-1700》,《暦日2》,廿七／,ひのえたつ,ひらく,土,ま日,大みやう  けんふく いちたちよし
《1716-1710》,《暦日0》,廿八／,ひのとのみ,とつ,,　,十し
《1716-1720》,《暦日2》,廿九／,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
《1716-1730》,《暦日0》,卅／,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
《1716-1740》,《月序》,五月,小,建,甲午,牛宿　氐　土よう
《1716-1750》,《暦日2》,一／,かのえさる,みつ,木,　,神よし 大みやう  入学 むきかりよし
《1716-1760》,《暦日0》,二／,かのとのとり,たいら,,　,大みやう めつもん 地火 わうまう
《1716-1770》,《暦日2》,三／,みつのえいぬ,さたん,水,夏至五月中うしの初刻/ま日, むきかりよし
《1716-1780》,《暦日0》,四／,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
《1716-1790》,《暦日2》,五／,きのえね,やふる,金,　,●
《1716-1800》,《暦日0》,六／,きのとのうし,あやふ,,　,神よし  つめとりよし
《1716-1810》,《暦日2》,七／,ひのえとら,なる,火,　,きこ  つめとりよし
《1716-1820》,《暦日0》,八／,ひのとのう,おさん,,　,ちいみ 大くわ ふく日
《1716-1830》,《暦日2》,九／,つちのえたつ,ひらく,木,　,五む日  かまぬり 田うへよし
《1716-1840》,《暦日0》,十／,つちのとのみ,とつ,,　,十し
《1716-1850》,《暦日2》,十一／,かのえむま,たつ,土,　,下しきうの時  むきかりよし
《1716-1860》,《暦日0》,十二／,かのとのひつし,のそく,,　,大みやう  ふねのり 井ほりよし
《1716-1870》,《暦日2》,十三／,みつのえさる,みつ,金,はんけしやう,神よし 大みやう  くさかりよし
《1716-1880》,《暦日0》,十四／,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1716-1890》,《暦日2》,十五／,きのえいぬ,さたん,火,　, わたまし くらたてよし
《1716-1900》,《暦日0》,十六／,きのとのい,とる,,　,ちう日  むきかり 田うへよし
《1716-1910》,《暦日2》,十七／,ひのえね,やふる,水,　,●
《1716-1920》,《暦日0》,十八／,ひのとのうし,やふる,,六月せつうの五刻ニ入,十し
《1716-1930》,《暦日2》,十九／,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
《1716-1940》,《暦日0》,廿／,つちのとのう,なる,,　,神よし 大みやう ふく日 天火 らうしやく
《1716-1950》,《暦日2》,廿一／,かのえたつ,おさん,金,　,きしく めつもん  けんふくよし
《1716-1960》,《暦日0》,廿二／,かのとのみ,ひらく,,　,ちう日  ものたちよし
《1716-1970》,《暦日2》,廿三／,みつのえむま,とつ,木,　,●
《1716-1980》,《暦日0》,廿四／,みつのとのひつし,たつ,,　, たねまきよし
《1716-1990》,《暦日2》,廿五／,きのえさる,のそく,水,十方くれニ入,神よし 大みやう
《1716-2000》,《暦日0》,廿六／,きのとのとり,みつ,,　,神よし ちいみ
《1716-2010》,《暦日2》,廿七／,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
《1716-2020》,《暦日0》,廿八／,ひのとのい,さたん,,　,大みやう ちう日
《1716-2030》,《暦日1》,廿九／,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
《1716-2040》,《月序》,六月,小,建,乙未,女宿　房　日よう
《1716-2050》,《暦日1》,一／,つちのとのうし,やふる,火,とようみの六刻ニ入,十し
