《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《1960》,《暦日0》,十三／,みつのとのみ,とつ,,天一天上,十し
《1970》,《暦日2》,十四／,きのえむま,たつ,金,　,天しや よろつよし
《1980》,《暦日0》,十五／,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
《1990》,《暦日1》,十六／,ひのえさる,のそく,火,　,神よし
《2000》,《節中》,小暑六月せつ昼八時一分ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《2010》,《暦日1》,十七／,ひのとのとり,みつ,火,　,神よし ちいみ  くさかりよし
《2020》,《暦日2》,十八／,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
《2030》,《暦日0》,十九／,つちのとのい,さたん,,　,月とく ちう日 ふく日  ふねのりよし
《2040》,《暦日2》,廿／,かのえね,とる,土,初伏,きこ 下しきたつの時
《2050》,《暦日0》,廿一／,かのとのうし,やふる,,　,十し
《2060》,《暦日2》,廿二／,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
《2070》,《暦日0》,廿三／,みつのとのう,なる,,　,神よし 天火 らうしやく
《2080》,《暦日2》,廿四／,きのえたつ,おさん,火,　,大みやう 月とく めつもん  わたましよし
《2090》,《暦日0》,廿五／,きのとのみ,ひらく,,　,大みやう 母倉 ちう日
《2100》,《暦日2》,廿六／,ひのえむま,とつ,水,　,●
《2110》,《暦日0》,廿七／,ひのとのひつし,たつ,,　,くゑ日
《2120》,《暦日2》,廿八／,つちのえさる,のそく,土,とよう夕七時八分ニ入,神よし ふく日  たねまきよし
《2130》,《暦日0》,廿九／,つちのとのとり,みつ,,　,神よし 大みやう 天おん 月とく ちいみ ふく日
《2140》,《月序》,六月,大,建,丁未,井宿　室　火よう
《2150》,《暦日2》,一／,かのえいぬ,たいら,金,中伏,大みやう 天おん 大くわ 地火
《2160》,《暦日0》,二／,かのとのい,さたん,,　,大みやう 天おん ちう日
《2170》,《暦日1》,三／,みつのえね,とる,木,八せんのはしめ,天おん きこ 下しきたつの時
《2180》,《節中》,大暑六月中朝五時五分日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《2190》,《暦日1》,四／,みつのとのうし,やふる,木,ま日,十し
《2200》,《暦日2》,五／,きのえとら,あやふ,水,　,母倉 月とく  やたて  つめとりよし
《2210》,《暦日0》,六／,きのとのう,なる,,　,神よし 母倉 天火 らうしやく
《2220》,《暦日2》,七／,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
《2230》,《暦日0》,八／,ひのとのみ,ひらく,,　,くゑ日 ちう日
《2240》,《暦日2》,九／,つちのえむま,とつ,火,ま日,●
《2250》,《暦日0》,十／,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日 わうまう
《2260》,《暦日2》,十一／,かのえさる,のそく,木,　,神よし きしく 大みやう  くさかりよし
《2270》,《暦日0》,十二／,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
《2280》,《暦日2》,十三／,みつのえいぬ,たいら,水,ま日,大くわ 地火
《2290》,《暦日0》,十四／,みつのとのい,さたん,,八せんのおはり,ちう日
《2300》,《暦日2》,十五／,きのえね,とる,金,　,天おん 月とく きこ 下しきたつの時
《2310》,《暦日0》,十六／,きのとのうし,やふる,,　,十し
《2320》,《暦日2》,十七／,ひのえとら,あやふ,火,　,天おん  わたまし  つめとりよし
《2330》,《暦日0》,十八／,ひのとのう,なる,,　,神よし 天おん 天火 らうしやく
《2340》,《暦日1》,十九／,つちのえたつ,なる,木,　,天おん 母倉 五む日 ちいみ  いちたちよし
《2350》,《節中》,立秋七月せつ今暁九時三分ニ入日の出より日入まて,昼五十六刻半/夜四十三刻半,六より六まて,昼六十二刻/夜三十八刻
《2360》,《暦日1》,廿／,つちのとのみ,おさん,木,　,神よし 大くわ ちう日
《2370》,《暦日2》,廿一／,かのえむま,ひらく,土,末伏,神よし ふく日 天火 らうしやく
《2380》,《暦日0》,廿二／,かのとのひつし,とつ,,　,大みやう 母倉  ものたちよし
《2390》,《暦日2》,廿三／,みつのえさる,たつ,金,　,神よし 大みやう 月とく 下しきみの時
《2400》,《暦日0》,廿四／,みつのとのとり,のそく,,　,十し
《2410》,《暦日2》,廿五／,きのえいぬ,みつ,火,　,母倉 ふく日  くらたてよし
《2420》,《暦日0》,廿六／,きのとのい,たいら,,　,ちう日 めつもん 地火
《2430》,《暦日2》,廿七／,ひのえね,さたん,水,　,わうまう  田かりよし
《2440》,《暦日0》,廿八／,ひのとのうし,とる,,　,●
《2450》,《暦日2》,廿九／,つちのえとら,やふる,土,　, たねまき  つめとりよし
《2460》,《暦日0》,卅／,つちのとのう,あやふ,,　,神よし 大みやう 天おん  みそすつくりよし
《2470》,《月序》,七月,小,建,戊申,鬼宿　奎　木よう
《2480》,《暦日2》,一／,かのえたつ,なる,金,　,天おん 母倉 ちいみ ふく日  かといてよし
《2490》,《暦日0》,二／,かのとのみ,おさん,,　,天おん 大くわ ちう日
《2500》,《暦日2》,三／,みつのえむま,ひらく,木,　,神よし 大みやう 天おん 月とく 天火 らうしやく
《2510》,《暦日0》,四／,みつのとのひつし,とつ,,　,天おん 母倉
《2520》,《節中》,処暑七月中昼八時二分日の出より日入まて,昼五十四刻半/夜四十五刻半,六より六まて,昼五十九刻半余/夜四十刻余
《2530》,《暦日2》,五／,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
《2540》,《暦日0》,六／,きのとのとり,のそく,,　,十し
《2550》,《暦日2》,七／,ひのえいぬ,みつ,土,　,母倉 五む日
《2560》,《暦日0》,八／,ひのとのい,たいら,,　,大みやう 月とく ちう日 めつもん 地火
《2570》,《暦日2》,九／,つちのえね,さたん,火,　,きしく  けんふく くさかりよし
《2580》,《暦日0》,十／,つちのとのうし,とる,,　,●
《2590》,《暦日2》,十一／,かのえとら,やふる,木,　,ふく日  つめとりよし
《2600》,《暦日0》,十二／,かのとのう,あやふ,,　,神よし
《2610》,《暦日2》,十三／,みつのえたつ,なる,水,二百十日,大みやう 母倉 月とく 五む日 ちいみ
《2620》,《暦日0》,十四／,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
《2630》,《暦日2》,十五／,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
《2640》,《暦日0》,十六／,きのとのひつし,とつ,,　,大みやう 母倉 五む日
《2650》,《暦日2》,十七／,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
《2660》,《暦日0》,十八／,ひのとのとり,のそく,,　,十し
《2670》,《暦日2》,十九／,つちのえいぬ,みつ,木,　,母倉  くらたて かまぬりよし
《2680》,《暦日0》,廿／,つちのとのい,みつ,,　,神よし ちう日  いちたちよし
《2690》,《節中》,白露八月せつ今暁八時七分ニ入日の出より日入まて,昼五十二刻余/夜四十七刻半余,六より六まて,昼五十七刻半/夜四十二刻半
《2700》,《暦日2》,廿一／,かのえね,たいら,土,　,神よし 月とく 大くわ 地火
《2710》,《暦日0》,廿二／,かのとのうし,さたん,,　,神よし 母倉 五む日 ふく日  ものたち  つめとりよし
《2720》,《暦日2》,廿三／,みつのえとら,とる,金,二百廿日,大みやう きこ  やたて  つめとりよし
《2730》,《暦日0》,廿四／,みつのとのう,やふる,,　, くらたて 田かりよし
《2740》,《暦日2》,廿五／,きのえたつ,あやふ,火,　,大みやう 母倉  けんふく わたましよし
《2750》,《暦日0》,廿六／,きのとのみ,なる,,　,十し
《2760》,《暦日2》,廿七／,ひのえむま,おさん,水,　,さい下しき 大みやう めつもん
《2770》,《暦日0》,廿八／,ひのとのひつし,ひらく,,　,●
《2780》,《暦日1》,廿九／,つちのえさる,とつ,土,　,天しや よろつよし
《2790》,《月序》,八月,大,建,己酉,柳宿　婁　金よう
《2800》,《暦日1》,一／,つちのとのとり,たつ,土,　,大みやう くゑ日 天火 らうしやく 下しきむまの時
《2810》,《食記》,日そく京都にてハみへす
《2820》,《暦日2》,二／,かのえいぬ,のそく,金,　,大みやう 天おん 母倉 月とく ちいみ
《2830》,《暦日0》,三／,かのとのい,みつ,,ひかんニなる,神よし 大みやう 天おん ちう日 ふく日
《2840》,《暦日2》,四／,みつのえね,たいら,木,八せんのはしめ,神よし 天おん 大くわ 地火
《2850》,《暦日0》,五／,みつのとのうし,さたん,,ま日,神よし 天おん 母倉  たねまき 竹木こり  つめとりよし
《2860》,《暦日1》,六／,きのえとら,とる,水,　,きこ  かまぬり 田かり  つめとりよし
《2870》,《節中》,秋分八月中朝四時九分日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《2880》,《暦日1》,七／,きのとのう,やふる,水,　,くゑ日 ふく日
《2890》,《暦日2》,八／,ひのえたつ,あやふ,土,ま日,きしく 大みやう 母倉 わうまう
《2900》,《暦日0》,九／,ひのとのみ,なる,,　,十し
《2910》,《暦日2》,十／,つちのえむま,おさん,火,ま日/社日,めつもん
《2920》,《暦日0》,十一／,つちのとのひつし,ひらく,,　,●
《2930》,《暦日2》,十二／,かのえさる,とつ,木,　,神よし 大みやう 月とく  入学よし
《2940》,《暦日0》,十三／,かのとのとり,たつ,,　,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
