«1756-0000»,【 カンマ区切りテキスト形式です。】
«1756-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1756-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1756-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1756-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1756-0050»,【 外部リンク　】
«1756-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/53 ～ 58】
«1756-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1756h　(翻刻編集終了データを表成型して表示します)】
«1756-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1756ht (翻刻編集中データを表成型して表示します)】
«1756-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1756-0100»,«版元»,出版地○○,出版元□□□,　
«1756-1170»,«暦日0»,廿七〳,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火 わうまう  ものたちよし
«1756-1180»,«暦日2»,廿八〳,ひのえさる,さたん,火,　,くゑ日
«1756-1190»,«暦日0»,廿九〳,ひのとのとり,とる,,　,神よし 月とく  いちたちよし
«1756-1200»,«月序»,四月,大,建,癸巳,危宿　角　木よう
«1756-1210»,«暦日2»,一〳,つちのえいぬ,やふる,木,　,ふく日
«1756-1220»,«暦日0»,二〳,つちのとのい,あやふ,,　,●
«1756-1230»,«暦日2»,三〳,かのえね,なる,土,　,神よし きこ
«1756-1240»,«暦日0»,四〳,かのとのうし,おさん,,八十八や,十し
«1756-1250»,«暦日2»,五〳,みつのえとら,ひらく,金,　,大みやう 月とく ちいみ  つめとりよし
«1756-1260»,«暦日0»,六〳,みつのとのう,とつ,,　,神よし  けんふく かといてよし
«1756-1270»,«暦日2»,七〳,きのえたつ,たつ,火,　,大みやう くゑ日
«1756-1280»,«暦日0»,八〳,きのとのみ,たつ,,　,●
«1756-1290»,«節中»,立夏四月せつ今夜ねの三刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1756-1300»,«暦日2»,九〳,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
«1756-1310»,«暦日0»,十〳,ひのとのひつし,みつ,,　,くゑ日
«1756-1320»,«暦日2»,十一〳,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
«1756-1330»,«暦日0»,十二〳,つちのとのとり,さたん,,　,十し
«1756-1340»,«暦日2»,十三〳,かのえいぬ,とる,金,　,大みやう 天おん 月とく  やたて くさかりよし
«1756-1350»,«暦日0»,十四〳,かのとのい,やふる,,　,神よし 大みやう 天おん ちう日  さひらきよし
«1756-1360»,«暦日2»,十五〳,みつのえね,あやふ,木,八せんのはしめ,天おん ふく日 わうまう  くらたてよし
«1756-1370»,«暦日0»,十六〳,みつのとのうし,なる,,ま日,天おん きこ  つめとりよし
«1756-1380»,«暦日2»,十七〳,きのえとら,おさん,水,　,母倉 めつもん  つめとりよし
«1756-1390»,«暦日0»,十八〳,きのとのう,ひらく,,　,神よし 母倉 月とく  さひらきよし
«1756-1400»,«暦日2»,十九〳,ひのえたつ,とつ,土,ま日,大みやう ふく日
«1756-1410»,«暦日0»,廿〳,ひのとのみ,たつ,,　,●
«1756-1420»,«暦日2»,廿一〳,つちのえむま,のそく,火,ま日,くゑ日
«1756-1430»,«暦日0»,廿二〳,つちのとのひつし,みつ,,　,大みやう くゑ日
«1756-1440»,«暦日2»,廿三〳,かのえさる,たいら,木,　,神よし きしく 大みやう 月とく ちいみ 大くわ 地火
«1756-1450»,«暦日0»,廿四〳,かのとのとり,さたん,,　,十し
«1756-1460»,«節中»,小満四月中今暁とらの八刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1756-1470»,«暦日2»,廿五〳,みつのえいぬ,とる,水,ま日,ふく日
«1756-1480»,«暦日0»,廿六〳,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
«1756-1490»,«暦日2»,廿七〳,きのえね,あやふ,金,　,天おん
«1756-1500»,«暦日0»,廿八〳,きのとのうし,なる,,　,天おん 月とく きこ  かまぬり  つめとりよし
«1756-1510»,«暦日2»,廿九〳,ひのえとら,おさん,火,　,天おん 母倉 ふく日 めつもん  つめとりよし
«1756-1520»,«暦日0»,卅〳,ひのとのう,ひらく,,　,神よし 天おん 母倉  わたましよし
«1756-1530»,«月序»,五月,小,建,甲午,室宿　氐　土よう
«1756-1540»,«暦日2»,一〳,つちのえたつ,とつ,木,　,五む日 くゑ日
«1756-1550»,«暦日0»,二〳,つちのとのみ,たつ,,　,●
«1756-1560»,«暦日2»,三〳,かのえむま,のそく,土,　,神よし 月とく  さひらき みそすつくりよし
«1756-1570»,«暦日0»,四〳,かのとのひつし,みつ,,　,大みやう くゑ日
«1756-1580»,«暦日2»,五〳,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
«1756-1590»,«暦日0»,六〳,みつのとのとり,さたん,,　,十し
«1756-1600»,«暦日2»,七〳,きのえいぬ,とる,火,　, やたて くらたてよし
«1756-1610»,«暦日0»,八〳,きのとのい,やふる,,　,月とく ちう日
«1756-1620»,«暦日1»,九〳,ひのえね,やふる,水,　,●
«1756-1630»,«節中»,芒種五月せつみの五刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1756-1640»,«暦日1»,十〳,ひのとのうし,あやふ,水,　,さい下しき 神よし 大みやう ふく日  ものたち  つめとりよし
«1756-1650»,«暦日2»,十一〳,つちのえとら,なる,土,　,母倉 きこ  みそすつくり  つめとりよし
«1756-1660»,«暦日0»,十二〳,つちのとのう,おさん,,　,大みやう 天おん 母倉 ちいみ 大くわ
«1756-1670»,«暦日2»,十三〳,かのえたつ,ひらく,金,　,天おん  けんふく かといてよし
