«1798-0000»,【 カンマ区切りテキスト形式です。】
«1798-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1798-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1798-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1798-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1798-0050»,【 外部リンク　】
«1798-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/252 ～ 256】
«1798-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1798h　(翻刻編集終了データを表成型して表示します)】
«1798-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1798ht (翻刻編集中データを表成型して表示します)】
«1798-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1798-0100»,«版元»,出版地○○,出版元□□□,　
«1798-1150»,«暦日2»,廿六〳,かのえとら,おさん,木,　,母倉 月とく めつもん  さひらき  つめとりよし
«1798-1160»,«暦日0»,廿七〳,かのとのう,ひらく,,　,神よし 母倉  やたて ものたちよし
«1798-1170»,«暦日2»,廿八〳,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
«1798-1180»,«暦日0»,廿九〳,みつのとのみ,たつ,,天一天上,●
«1798-1190»,«暦日1»,卅〳,きのえむま,のそく,金,　,天しや よろつよし
«1798-1200»,«月序»,四月,小,建,丁巳,危宿　壁　水よう
«1798-1210»,«暦日1»,一〳,きのとのひつし,みつ,金,　,大みやう 五む日 くゑ日
«1798-1220»,«暦日2»,二〳,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
«1798-1230»,«暦日0»,三〳,ひのとのとり,さたん,,　,十し
«1798-1240»,«暦日2»,四〳,つちのえいぬ,とる,木,　, くらたて かまぬりよし
«1798-1250»,«暦日0»,五〳,つちのとのい,やふる,,　,くゑ日 ちう日
«1798-1260»,«暦日2»,六〳,かのえね,あやふ,土,　,神よし 月とく  わたまし たねまきよし
«1798-1270»,«暦日0»,七〳,かのとのうし,なる,,　,五む日 きこ  つめとりよし
«1798-1280»,«節中»,小満四月中むまの八刻日の出より日入まて,昼五十八刻余|夜四十一刻半余,六より六まて,昼六十四刻|夜三十六刻
«1798-1290»,«暦日2»,八〳,みつのえとら,おさん,金,　,大みやう 母倉 ふく日 めつもん  つめとりよし
«1798-1300»,«暦日0»,九〳,みつのとのう,ひらく,,　,神よし 母倉  かといて さひらきよし
«1798-1310»,«暦日2»,十〳,きのえたつ,とつ,火,　,きしく 大みやう
«1798-1320»,«暦日0»,十一〳,きのとのみ,たつ,,　,●
«1798-1330»,«暦日2»,十二〳,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
«1798-1340»,«暦日0»,十三〳,ひのとのひつし,みつ,,　,さい下しき くゑ日
«1798-1350»,«暦日1»,十四〳,つちのえさる,たいら,土,　,ちいみ 大くわ 地火
«1798-1360»,«食記»,月そく皆既,　
«1798-1370»,«暦日1»,十五〳,つちのとのとり,さたん,土,　,十し
«1798-1380»,«暦日2»,十六〳,かのえいぬ,とる,金,　,大みやう 天おん 月とく  やたて くさかりよし
«1798-1390»,«暦日0»,十七〳,かのとのい,やふる,,　,神よし 大みやう 天おん ちう日  さひらきよし
«1798-1400»,«暦日2»,十八〳,みつのえね,あやふ,木,八せんのはしめ,神よし 天おん ふく日  くらたてよし
«1798-1410»,«暦日0»,十九〳,みつのとのうし,なる,,ま日,天おん きこ  つめとりよし
«1798-1420»,«暦日2»,廿〳,きのえとら,おさん,水,　,母倉 めつもん  つめとりよし
«1798-1430»,«暦日0»,廿一〳,きのとのう,ひらく,,　,神よし 母倉 月とく  さひらきよし
«1798-1440»,«暦日1»,廿二〳,ひのえたつ,ひらく,土,ま日,大みやう 月とく  けんふく いちたちよし
«1798-1450»,«節中»,芒種五月せつとりの四刻ニ入日の出より日入まて,昼五十九刻半|夜四十刻半,六より六まて,昼六十五刻余|夜三十四刻半余
«1798-1460»,«暦日1»,廿三〳,ひのとのみ,とつ,土,　,十し
«1798-1470»,«暦日2»,廿四〳,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
«1798-1480»,«暦日0»,廿五〳,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
«1798-1490»,«暦日2»,廿六〳,かのえさる,みつ,木,　,神よし 大みやう  入学 むきかりよし
«1798-1500»,«暦日0»,廿七〳,かのとのとり,たいら,,　,神よし 大みやう 月とく めつもん 地火
«1798-1510»,«暦日2»,廿八〳,みつのえいぬ,さたん,水,入梅|ま日, むきかりよし
«1798-1520»,«暦日0»,廿九〳,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
«1798-1530»,«月序»,五月,大,建,戊午,室宿　奎　木よう
«1798-1540»,«暦日2»,一〳,きのえね,やふる,金,　,●
«1798-1550»,«暦日0»,二〳,きのとのうし,あやふ,,　,神よし 天おん  つめとりよし
«1798-1560»,«暦日2»,三〳,ひのえとら,なる,火,　,天おん 母倉 月とく きこ  つめとりよし
«1798-1570»,«暦日0»,四〳,ひのとのう,おさん,,　,天おん 母倉 ちいみ 大くわ ふく日
«1798-1580»,«暦日2»,五〳,つちのえたつ,ひらく,木,　,天おん 五む日  かまぬり 田うへよし
«1798-1590»,«暦日0»,六〳,つちのとのみ,とつ,,　,十し
«1798-1600»,«暦日2»,七〳,かのえむま,たつ,土,　,下しきうの時  むきかりよし
«1798-1610»,«暦日0»,八〳,かのとのひつし,のそく,,　,大みやう 月とく わうまう  ふねのり 井ほりよし
«1798-1620»,«節中»,夏至五月中今夜ねの一刻日の出より日入まて,昼五十九刻半余|夜四十刻余,六より六まて,昼六十五刻半余|夜三十四刻余
