«1725-0000»,【 カンマ区切りテキスト形式です。】
«1725-2570»,«暦日0»,廿二〳,ひのとのい,みつ,,　,大みやう ちう日  入学よし
«1725-2580»,«暦日2»,廿三〳,つちのえね,たいら,火,　,大くわ 地火
«1725-2590»,«暦日0»,廿四〳,つちのとのうし,さたん,,　, かまぬり  つめとりよし
«1725-2600»,«暦日2»,廿五〳,かのえとら,とる,木,　,きこ  つめとりよし
«1725-2610»,«暦日0»,廿六〳,かのとのう,やふる,,　,ふく日  田かりよし
«1725-2620»,«暦日2»,廿七〳,みつのえたつ,あやふ,水,　,大みやう 五む日
«1725-2630»,«暦日0»,廿八〳,みつのとのみ,なる,,天一天上,十し
«1725-2640»,«暦日1»,廿九〳,きのえむま,おさん,金,　,めつもん
«1725-2650»,«月序»,九月,大,建,丙戌,牛宿　女　土よう
«1725-2660»,«暦日1»,一〳,きのとのひつし,おさん,金,かん露九月せつとりの三刻ニ入,大みやう 五む日 くゑ日 大くわ
«1725-2670»,«食記»,日帯そく一分半
«1725-2680»,«暦日2»,二〳,ひのえさる,ひらく,火,　,くゑ日
«1725-2690»,«暦日0»,三〳,ひのとのとり,とつ,,　,くゑ日
«1725-2700»,«暦日2»,四〳,つちのえいぬ,たつ,木,　,くゑ日 ふく日  田かりよし
«1725-2710»,«暦日0»,五〳,つちのとのい,のそく,,　,神よし ちう日 ふく日  むきまきよし
«1725-2720»,«暦日2»,六〳,かのえね,みつ,土,　,神よし きこ 天火 らうしやく
«1725-2730»,«暦日0»,七〳,かのとのうし,たいら,,　,十し
«1725-2740»,«暦日2»,八〳,みつのえとら,さたん,金,　,●
«1725-2750»,«暦日0»,九〳,みつのとのう,とる,,　,神よし  けんふく かといてよし
«1725-2760»,«暦日2»,十〳,きのえたつ,やふる,火,　,大みやう
«1725-2770»,«暦日0»,十一〳,きのとのみ,あやふ,,　,神よし 大みやう ちいみ ちう日 下しきひつしの時
«1725-2780»,«暦日2»,十二〳,ひのえむま,なる,水,　,さい下しき 神よし 大みやう  いちたちよし
«1725-2790»,«暦日0»,十三〳,ひのとのひつし,おさん,,とよういの四刻ニ入,神よし 大くわ  田かりよし
«1725-2800»,«暦日2»,十四〳,つちのえさる,ひらく,土,　,天しや よろつよし
«1725-2810»,«暦日0»,十五〳,つちのとのとり,とつ,,　,大みやう ふく日
«1725-2820»,«食記»,月そく皆既
«1725-2830»,«暦日2»,十六〳,かのえいぬ,たつ,金,九月中夜ねの初刻,大みやう くゑ日
