«1796-0000»,【 カンマ区切りテキスト形式です。】
«1796-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1796-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1796-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1796-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1796-0050»,【 外部リンク　】
«1796-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/243 ～ 247】
«1796-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1796h　(翻刻編集終了データを表成型して表示します)】
«1796-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1796ht (翻刻編集中データを表成型して表示します)】
«1796-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1796-0100»,«版元»,出版地○○,出版元□□□,　
«1796-1510»,«暦日1»,一〳,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
«1796-1520»,«節中»,芒種五月せつうの二刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1796-1530»,«暦日1»,二〳,ひのとのひつし,のそく,水,　,神よし ふく日
«1796-1540»,«暦日2»,三〳,つちのえさる,みつ,土,　,神よし  入学よし
«1796-1550»,«暦日0»,四〳,つちのとのとり,たいら,,　,神よし 大みやう 天おん めつもん 地火
«1796-1560»,«暦日2»,五〳,かのえいぬ,さたん,金,　,大みやう 天おん  かといてよし
«1796-1570»,«暦日0»,六〳,かのとのい,とる,,　,神よし 大みやう 天おん 月とく ちう日  入学よし
«1796-1580»,«暦日2»,七〳,みつのえね,やふる,木,入梅|八せんのはしめ,●
«1796-1590»,«暦日0»,八〳,みつのとのうし,あやふ,,ま日,神よし 天おん ふく日  むきかり  つめとりよし
«1796-1600»,«暦日2»,九〳,きのえとら,なる,水,　,母倉 きこ  田うへ  つめとりよし
«1796-1610»,«暦日0»,十〳,きのとのう,おさん,,　,母倉 ちいみ 大くわ  ものたちよし
«1796-1620»,«暦日2»,十一〳,ひのえたつ,ひらく,土,ま日,大みやう 月とく  けんふく いちたちよし
«1796-1630»,«暦日0»,十二〳,ひのとのみ,とつ,,　,十し
«1796-1640»,«暦日2»,十三〳,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
«1796-1650»,«暦日0»,十四〳,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
«1796-1660»,«暦日1»,十五〳,かのえさる,みつ,木,　,大みやう
«1796-1670»,«食記»,月帯そく
«1796-1680»,«暦日1»,十六〳,かのとのとり,たいら,木,　,大みやう 月とく めつもん 地火 わうまう
«1796-1690»,«節中»,夏至五月中みの七刻日の出より日入まて,昼六十刻|夜四十刻,六より六まて,昼六十五刻|夜三十五刻
«1796-1700»,«暦日2»,十七〳,みつのえいぬ,さたん,水,ま日, むきかりよし
«1796-1710»,«暦日0»,十八〳,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
«1796-1720»,«暦日2»,十九〳,きのえね,やふる,金,　,●
«1796-1730»,«暦日0»,廿〳,きのとのうし,あやふ,,　,神よし 天おん  つめとりよし
«1796-1740»,«暦日2»,廿一〳,ひのえとら,なる,火,　,天おん 母倉 月とく きこ  つめとりよし
«1796-1750»,«暦日0»,廿二〳,ひのとのう,おさん,,　,天おん 母倉 ちいみ 大くわ ふく日
«1796-1760»,«暦日2»,廿三〳,つちのえたつ,ひらく,木,　,天おん 五む日  かまぬり 田うへよし
«1796-1770»,«暦日0»,廿四〳,つちのとのみ,とつ,,　,十し
«1796-1780»,«暦日2»,廿五〳,かのえむま,たつ,土,　,下しきうの時  むきかりよし
«1796-1790»,«暦日0»,廿六〳,かのとのひつし,のそく,,はんけしやう,大みやう 月とく  ふねのり 井ほりよし
«1796-1800»,«暦日2»,廿七〳,みつのえさる,みつ,金,　,神よし 大みやう  くさかりよし
«1796-1810»,«暦日0»,廿八〳,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1796-1820»,«暦日1»,廿九〳,きのえいぬ,さたん,火,　, わたまし くらたてよし
«1796-1830»,«月序»,六月,小,建,乙未,昴宿　尾　火よう
«1796-1840»,«暦日1»,一〳,きのとのい,とる,火,　,ちう日
«1796-1850»,«食記»,日そく七分余
«1796-1860»,«暦日1»,二〳,ひのえね,とる,水,　,きこ 下しきたつの時
«1796-1870»,«節中»,小暑六月せつさるの四刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1796-1880»,«暦日1»,三〳,ひのとのうし,やふる,水,　,十し
«1796-1890»,«暦日2»,四〳,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
«1796-1900»,«暦日0»,五〳,つちのとのう,なる,,　,神よし 大みやう 天おん 月とく ふく日 天火 らうしやく
«1796-1910»,«暦日2»,六〳,かのえたつ,おさん,金,　,天おん めつもん  けんふくよし
«1796-1920»,«暦日0»,七〳,かのとのみ,ひらく,,　,天おん 母倉 ちう日  ものたちよし
«1796-1930»,«暦日2»,八〳,みつのえむま,とつ,木,　,●
«1796-1940»,«暦日0»,九〳,みつのとのひつし,たつ,,　,天おん  たねまきよし
«1796-1950»,«暦日2»,十〳,きのえさる,のそく,水,十方くれニ入,神よし 大みやう 月とく
«1796-1960»,«暦日0»,十一〳,きのとのとり,みつ,,　,神よし ちいみ
«1796-1970»,«暦日2»,十二〳,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
«1796-1980»,«暦日0»,十三〳,ひのとのい,さたん,,　,大みやう ちう日
«1796-1990»,«暦日2»,十四〳,つちのえね,とる,火,とよういぬの五刻ニ入,きこ ふく日 下しきたつの時
«1796-2000»,«暦日0»,十五〳,つちのとのうし,やふる,,　,十し
