«1779-0000»,【 カンマ区切りテキスト形式です。】
«1779-1350»,«暦日0»,十五〳,つちのとのみ,たつ,,　,●
«1779-1360»,«暦日2»,十六〳,かのえむま,のそく,土,　,神よし 月とく  さひらき みそすつくりよし
«1779-1370»,«暦日0»,十七〳,かのとのひつし,みつ,,　,大みやう くゑ日
«1779-1380»,«暦日2»,十八〳,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
«1779-1390»,«暦日0»,十九〳,みつのとのとり,さたん,,　,十し
«1779-1400»,«暦日2»,廿〳,きのえいぬ,とる,火,　, やたて くらたてよし
«1779-1410»,«暦日0»,廿一〳,きのとのい,やふる,,　,月とく ちう日
«1779-1420»,«暦日2»,廿二〳,ひのえね,あやふ,水,　,ふく日  さひらきよし
«1779-1430»,«暦日0»,廿三〳,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
«1779-1440»,«節中»,芒種五月せつ今暁うしの八刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1779-1450»,«暦日2»,廿四〳,つちのえとら,なる,土,　,母倉 きこ  みそすつくり  つめとりよし
«1779-1460»,«暦日0»,廿五〳,つちのとのう,おさん,,　,大みやう 天おん 母倉 ちいみ 大くわ
«1779-1470»,«暦日2»,廿六〳,かのえたつ,ひらく,金,　,天おん  けんふく かといてよし
«1779-1480»,«暦日0»,廿七〳,かのとのみ,とつ,,　,十し
«1779-1490»,«暦日2»,廿八〳,みつのえむま,たつ,木,入梅,大みやう 天おん 下しきうの時
«1779-1500»,«暦日0»,廿九〳,みつのとのひつし,のそく,,　,天おん ふく日  田うへよし
«1779-1510»,«月序»,五月,大,建,庚午,牛宿　畢　月よう
«1779-1520»,«暦日2»,一〳,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
«1779-1530»,«暦日0»,二〳,きのとのとり,たいら,,　,神よし めつもん 地火
«1779-1540»,«暦日2»,三〳,ひのえいぬ,さたん,土,　,月とく 五む日  むきかりよし
«1779-1550»,«暦日0»,四〳,ひのとのい,とる,,　,大みやう ちう日 ふく日
«1779-1560»,«暦日2»,五〳,つちのえね,やふる,火,　,●
«1779-1570»,«暦日0»,六〳,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
«1779-1580»,«暦日2»,七〳,かのえとら,なる,木,　,母倉 きこ  井ほり  つめとりよし
«1779-1590»,«暦日0»,八〳,かのとのう,おさん,,　,母倉 月とく ちいみ 大くわ  ものたちよし
«1779-1600»,«暦日1»,九〳,みつのえたつ,ひらく,水,　,大みやう 五む日 わうまう
«1779-1610»,«節中»,夏至五月中たつの五刻日の出より日入まて,昼六十刻|夜四十刻,六より六まて,昼六十五刻|夜三十五刻
«1779-1620»,«暦日1»,十〳,みつのとのみ,とつ,水,天一天上,十し
«1779-1630»,«暦日2»,十一〳,きのえむま,たつ,金,　,天しや よろつよし
«1779-1640»,«暦日0»,十二〳,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
«1779-1650»,«暦日2»,十三〳,ひのえさる,みつ,火,　,神よし 月とく  入学 いちたちよし
«1779-1660»,«暦日0»,十四〳,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
«1779-1670»,«暦日2»,十五〳,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
«1779-1680»,«暦日0»,十六〳,つちのとのい,とる,,　,神よし ちう日
«1779-1690»,«暦日2»,十七〳,かのえね,やふる,土,　,●
«1779-1700»,«暦日0»,十八〳,かのとのうし,あやふ,,　,神よし 月とく 五む日  つめとりよし
«1779-1710»,«暦日2»,十九〳,みつのえとら,なる,金,はんけしやう,大みやう 母倉 きこ  くさかり  つめとりよし
«1779-1720»,«暦日0»,廿〳,みつのとのう,おさん,,　,母倉 ちいみ 大くわ ふく日
«1779-1730»,«暦日2»,廿一〳,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
«1779-1740»,«暦日0»,廿二〳,きのとのみ,とつ,,　,十し
«1779-1750»,«暦日2»,廿三〳,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
«1779-1760»,«暦日0»,廿四〳,ひのとのひつし,たつ,,　,くゑ日
«1779-1770»,«節中»,小暑六月せつひつしの二刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1779-1780»,«暦日2»,廿五〳,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
«1779-1790»,«暦日0»,廿六〳,つちのとのとり,みつ,,　,神よし 大みやう 天おん 月とく ちいみ ふく日
«1779-1800»,«暦日2»,廿七〳,かのえいぬ,たいら,金,　,大みやう 天おん 大くわ 地火
«1779-1810»,«暦日0»,廿八〳,かのとのい,さたん,,　,大みやう 天おん ちう日
«1779-1820»,«暦日2»,廿九〳,みつのえね,とる,木,八せんのはしめ,天おん きこ 下しきたつの時
«1779-1830»,«暦日0»,卅〳,みつのとのうし,やふる,,ま日,十し
«1779-1840»,«月序»,六月,小,建,辛未,女宿　參　水よう
«1779-1850»,«暦日2»,一〳,きのえとら,あやふ,水,　,母倉 月とく  やたて  つめとりよし
«1779-1860»,«暦日0»,二〳,きのとのう,なる,,　,神よし 母倉 天火 らうしやく
«1779-1870»,«暦日2»,三〳,ひのえたつ,おさん,土,ま日,きしく 大みやう めつもん  けんふくよし
«1779-1880»,«暦日0»,四〳,ひのとのみ,ひらく,,　,くゑ日 ちう日
«1779-1890»,«暦日2»,五〳,つちのえむま,とつ,火,ま日,●
«1779-1900»,«暦日0»,六〳,つちのとのひつし,たつ,,とようとりの三刻ニ入,大みやう くゑ日 ふく日
«1779-1910»,«暦日2»,七〳,かのえさる,のそく,木,初伏,神よし 大みやう  くさかりよし
«1779-1920»,«暦日0»,八〳,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
«1779-1930»,«暦日1»,九〳,みつのえいぬ,たいら,水,ま日,大くわ 地火
«1779-1940»,«節中»,大暑六月中とりの七刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1779-1950»,«暦日1»,十〳,みつのとのい,さたん,水,八せんのおはり,ちう日
«1779-1960»,«暦日2»,十一〳,きのえね,とる,金,　,天おん 月とく きこ 下しきたつの時
«1779-1970»,«暦日0»,十二〳,きのとのうし,やふる,,　,十し
«1779-1980»,«暦日2»,十三〳,ひのえとら,あやふ,火,　,天おん  わたまし  つめとりよし
«1779-1990»,«暦日0»,十四〳,ひのとのう,なる,,　,神よし 天おん 天火 らうしやく
«1779-2000»,«暦日2»,十五〳,つちのえたつ,おさん,木,　,天おん 五む日 ふく日 めつもん
«1779-2010»,«暦日0»,十六〳,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
«1779-2020»,«暦日2»,十七〳,かのえむま,とつ,土,中伏,●
«1779-2030»,«暦日0»,十八〳,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
«1779-2040»,«暦日2»,十九〳,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
«1779-2050»,«暦日0»,廿〳,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
«1779-2060»,«暦日2»,廿一〳,きのえいぬ,たいら,火,　,月とく 大くわ 地火  わたましよし
«1779-2070»,«暦日0»,廿二〳,きのとのい,さたん,,　,ちう日
«1779-2080»,«暦日2»,廿三〳,ひのえね,とる,水,　,きこ 下しきたつの時
«1779-2090»,«暦日0»,廿四〳,ひのとのうし,とる,,　,●
«1779-2100»,«節中»,立秋七月せつ今夜ねの四刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
