«1816-0000»,【 カンマ区切りテキスト形式です。】
«1816-2160»,«暦日1»,卅〳,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
«1816-2170»,«月序»,七月,小,建,丙申,箕宿　井　木よう
«1816-2180»,«暦日1»,一〳,つちのとのう,なる,土,　,神よし 大みやう 天おん 月とく ふく日 天火 らうしやく
«1816-2190»,«暦日2»,二〳,かのえたつ,おさん,金,中伏,きしく 天おん めつもん  けんふくよし
«1816-2200»,«暦日0»,三〳,かのとのみ,ひらく,,　,天おん 母倉 ちう日  ものたちよし
«1816-2210»,«暦日2»,四〳,みつのえむま,とつ,木,　,●
«1816-2220»,«暦日0»,五〳,みつのとのひつし,たつ,,　,天おん  たねまきよし
«1816-2230»,«暦日2»,六〳,きのえさる,のそく,水,十方くれニ入,大みやう 月とく わうまう
«1816-2240»,«暦日0»,七〳,きのとのとり,みつ,,　,神よし ちいみ
«1816-2250»,«暦日2»,八〳,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
«1816-2260»,«暦日0»,九〳,ひのとのい,さたん,,　,大みやう ちう日
«1816-2270»,«暦日2»,十〳,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
«1816-2280»,«暦日0»,十一〳,つちのとのうし,やふる,,　,十し
«1816-2290»,«暦日2»,十二〳,かのえとら,あやふ,木,　,母倉  やたて  つめとりよし
«1816-2300»,«暦日0»,十三〳,かのとのう,あやふ,,　,神よし
«1816-2310»,«節中»,立秋七月せつ今夜ねの三刻ニ入日の出より日入まて,昼五十六刻半余|夜四十三刻余,六より六まて,昼六十二刻余|夜三十七刻半余
«1816-2320»,«暦日2»,十四〳,みつのえたつ,なる,水,　,大みやう 母倉 月とく 五む日 ちいみ
«1816-2330»,«暦日0»,十五〳,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
«1816-2340»,«暦日2»,十六〳,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
«1816-2350»,«暦日0»,十七〳,きのとのひつし,とつ,,　,大みやう 母倉 五む日
«1816-2360»,«暦日2»,十八〳,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
«1816-2370»,«暦日0»,十九〳,ひのとのとり,のそく,,　,十し
«1816-2380»,«暦日2»,廿〳,つちのえいぬ,みつ,木,　,母倉  くらたて かまぬりよし
«1816-2390»,«暦日0»,廿一〳,つちのとのい,たいら,,　,ちう日 めつもん 地火 わうまう
«1816-2400»,«暦日2»,廿二〳,かのえね,さたん,土,末伏,神よし ふく日
«1816-2410»,«暦日0»,廿三〳,かのとのうし,とる,,　,●
«1816-2420»,«暦日2»,廿四〳,みつのえとら,やふる,金,　,大みやう 月とく  やたて  つめとりよし
«1816-2430»,«暦日0»,廿五〳,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
«1816-2440»,«暦日2»,廿六〳,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
«1816-2450»,«暦日0»,廿七〳,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
«1816-2460»,«暦日2»,廿八〳,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
«1816-2470»,«暦日0»,廿九〳,ひのとのひつし,とつ,,　,神よし 母倉 月とく  いちたちよし
«1816-2480»,«節中»,処暑七月中今暁とらの八刻日の出より日入まて,昼五十四刻半余|夜四十五刻余,六より六まて,昼六十刻|夜四十刻
«1816-2490»,«月序»,八月,大,建,丁酉,斗宿　鬼　金よう
«1816-2500»,«暦日2»,一〳,つちのえさる,たつ,土,　,天しや よろつよし
«1816-2510»,«暦日0»,二〳,つちのとのとり,のそく,,　,十し
«1816-2520»,«暦日2»,三〳,かのえいぬ,みつ,金,　,大みやう 天おん 母倉 ふく日
«1816-2530»,«暦日0»,四〳,かのとのい,たいら,,　,神よし 大みやう 天おん ちう日 めつもん 地火
«1816-2540»,«暦日2»,五〳,みつのえね,さたん,木,八せんのはしめ,神よし 天おん 月とく  くらたてよし
«1816-2550»,«暦日0»,六〳,みつのとのうし,とる,,ま日,●
«1816-2560»,«暦日2»,七〳,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
«1816-2570»,«暦日0»,八〳,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
«1816-2580»,«暦日2»,九〳,ひのえたつ,なる,土,ま日,大みやう 母倉 ちいみ  くさかりよし
«1816-2590»,«暦日0»,十〳,ひのとのみ,おさん,,　,月とく 大くわ ちう日  ものたちよし
«1816-2600»,«暦日2»,十一〳,つちのえむま,ひらく,火,二百十日|ま日,神よし 天火 らうしやく  入学よし
«1816-2610»,«暦日0»,十二〳,つちのとのひつし,とつ,,　,神よし 大みやう 母倉  みそすつくりよし
«1816-2620»,«暦日2»,十三〳,かのえさる,たつ,木,　,大みやう くゑ日 ふく日 下しきみの時
«1816-2630»,«暦日0»,十四〳,かのとのとり,のそく,,　,十し
«1816-2640»,«暦日1»,十五〳,みつのえいぬ,のそく,水,ま日,母倉 ちいみ  たねまきよし
«1816-2650»,«節中»,白露八月せつみの五刻ニ入日の出より日入まて,昼五十二刻半|夜四十七刻半,六より六まて,昼五十七刻半余|夜四十二刻余
«1816-2660»,«暦日1»,十六〳,みつのとのい,みつ,水,八せんのおはり,ちう日  いちたちよし
«1816-2670»,«暦日2»,十七〳,きのえね,たいら,金,　,天おん 大くわ 地火  わたましよし
«1816-2680»,«暦日0»,十八〳,きのとのうし,さたん,,　,神よし 天おん 母倉 月とく ふく日  つめとりよし
«1816-2690»,«暦日2»,十九〳,ひのえとら,とる,火,　,天おん きこ  つめとりよし
«1816-2700»,«暦日0»,廿〳,ひのとのう,やふる,,　,天おん  田かりよし
«1816-2710»,«暦日2»,廿一〳,つちのえたつ,あやふ,木,二百廿日,天おん 母倉 五む日  みそすつくりよし
«1816-2720»,«暦日0»,廿二〳,つちのとのみ,なる,,　,十し
