《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《1820》,《節中》,小暑六月せつ昼九時二分ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1830》,《暦日1》,廿九／,かのえね,とる,土,　,きこ 下しきたつの時
《1840》,《月序》,六月,大,建,辛未,張宿　婁　金よう
《1850》,《暦日1》,一／,かのとのうし,やふる,土,　,十し
《1860》,《暦日2》,二／,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
《1870》,《暦日0》,三／,みつのとのう,なる,,　,神よし 天火 らうしやく
《1880》,《暦日2》,四／,きのえたつ,おさん,火,　,大みやう 月とく めつもん  わたましよし
《1890》,《暦日0》,五／,きのとのみ,ひらく,,　,大みやう 母倉 ちう日
《1900》,《暦日2》,六／,ひのえむま,とつ,水,　,●
《1910》,《暦日0》,七／,ひのとのひつし,たつ,,　,くゑ日
《1920》,《暦日2》,八／,つちのえさる,のそく,土,　,神よし きしく ふく日  たねまきよし
《1930》,《暦日0》,九／,つちのとのとり,みつ,,　,神よし 大みやう 天おん 月とく ちいみ ふく日
《1940》,《暦日2》,十／,かのえいぬ,たいら,金,初伏,大みやう 天おん 大くわ 地火
《1950》,《暦日0》,十一／,かのとのい,さたん,,　,大みやう 天おん ちう日
《1960》,《暦日2》,十二／,みつのえね,とる,木,八せんのはしめ/とよう今暁八時七分ニ入,天おん きこ 下しきたつの時
《1970》,《暦日0》,十三／,みつのとのうし,やふる,,ま日,十し
《1980》,《暦日2》,十四／,きのえとら,あやふ,水,　,母倉 月とく  やたて  つめとりよし
《1990》,《暦日0》,十五／,きのとのう,なる,,　,母倉 天火 らうしやく
《2000》,《節中》,大暑六月中明六時六分日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《2010》,《食記》,月そく六分
《2020》,《暦日2》,十六／,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
《2030》,《暦日0》,十七／,ひのとのみ,ひらく,,　,くゑ日 ちう日
《2040》,《暦日2》,十八／,つちのえむま,とつ,火,ま日,●
《2050》,《暦日0》,十九／,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
《2060》,《暦日2》,廿／,かのえさる,のそく,木,中伏,神よし 大みやう  くさかりよし
《2070》,《暦日0》,廿一／,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
《2080》,《暦日2》,廿二／,みつのえいぬ,たいら,水,ま日,大くわ 地火 わうまう
《2090》,《暦日0》,廿三／,みつのとのい,さたん,,八せんのおはり,ちう日
《2100》,《暦日2》,廿四／,きのえね,とる,金,　,天おん 月とく きこ 下しきたつの時
《2110》,《暦日0》,廿五／,きのとのうし,やふる,,　,十し
《2120》,《暦日2》,廿六／,ひのえとら,あやふ,火,　,天おん  わたまし  つめとりよし
《2130》,《暦日0》,廿七／,ひのとのう,なる,,　,神よし 天おん 天火 らうしやく
《2140》,《暦日2》,廿八／,つちのえたつ,おさん,木,　,天おん 五む日 ふく日 めつもん
《2150》,《暦日0》,廿九／,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
《2160》,《暦日1》,卅／,かのえむま,ひらく,土,末伏,神よし ふく日 天火 らうしやく
《2170》,《節中》,立秋七月せつ夜五時九分ニ入日の出より日入まて,昼五十六刻半/夜四十三刻半,六より六まて,昼六十二刻/夜三十八刻
《2180》,《月序》,七月,小,建,壬申,翼宿　昴　日よう
《2190》,《暦日1》,一／,かのとのひつし,とつ,土,　,大みやう 母倉
《2200》,《食記》,日帯そく五分
《2210》,《暦日2》,二／,みつのえさる,たつ,金,　,神よし 大みやう 月とく 下しきみの時
《2220》,《暦日0》,三／,みつのとのとり,のそく,,　,十し
《2230》,《暦日2》,四／,きのえいぬ,みつ,火,　,母倉 ふく日  くらたてよし
《2240》,《暦日0》,五／,きのとのい,たいら,,　,ちう日 めつもん 地火
《2250》,《暦日2》,六／,ひのえね,さたん,水,　,きしく  田かりよし
《2260》,《暦日0》,七／,ひのとのうし,とる,,　,●
《2270》,《暦日2》,八／,つちのえとら,やふる,土,　,わうまう  たねまき  つめとりよし
《2280》,《暦日0》,九／,つちのとのう,あやふ,,　,神よし 大みやう 天おん  みそすつくりよし
《2290》,《暦日2》,十／,かのえたつ,なる,金,　,天おん 母倉 ちいみ ふく日  かといてよし
《2300》,《暦日0》,十一／,かのとのみ,おさん,,　,天おん 大くわ ちう日
《2310》,《暦日2》,十二／,みつのえむま,ひらく,木,　,神よし 大みやう 天おん 月とく 天火 らうしやく
《2320》,《暦日0》,十三／,みつのとのひつし,とつ,,　,天おん 母倉
《2330》,《暦日2》,十四／,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
《2340》,《暦日0》,十五／,きのとのとり,のそく,,　,十し
《2350》,《暦日1》,十六／,ひのえいぬ,みつ,土,　,母倉 五む日
《2360》,《節中》,処暑七月中昼九時三分日の出より日入まて,昼五十四刻半/夜四十五刻半,六より六まて,昼五十九刻半余/夜四十刻余
《2370》,《暦日1》,十七／,ひのとのい,たいら,土,　,大みやう 月とく ちう日 めつもん 地火
《2380》,《暦日2》,十八／,つちのえね,さたん,火,　, けんふく くさかりよし
