«1762-0000»,【 カンマ区切りテキスト形式です。】
«1762-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1762-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1762-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1762-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1762-0050»,【 外部リンク　】
«1762-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/82 ～ 86】
«1762-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1762h　(翻刻編集終了データを表成型して表示します)】
«1762-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1762ht (翻刻編集中データを表成型して表示します)】
«1762-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1762-0100»,«版元»,出版地○○,出版元□□□,　
«1762-1150»,«暦日0»,廿七〳,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
«1762-1160»,«暦日1»,廿八〳,みつのえいぬ,やふる,水,ま日,月とく
«1762-1170»,«節中»,穀雨三月中うの一刻日の出より日入まて,昼五十五刻余|夜四十四刻余,六より六まて,昼六十刻余|夜三十九刻余
«1762-1180»,«暦日1»,廿九〳,みつのとのい,あやふ,水,八せんのおはり,●
«1762-1190»,«月序»,四月,大,建,乙巳,軫宿　氐　土よう
«1762-1200»,«暦日2»,一〳,きのえね,なる,金,　,くゑ日 きこ
«1762-1210»,«暦日0»,二〳,きのとのうし,おさん,,　,十し
«1762-1220»,«暦日2»,三〳,ひのえとら,ひらく,火,　,くゑ日 ちいみ わうまう
«1762-1230»,«暦日0»,四〳,ひのとのう,とつ,,　,くゑ日  たねまきよし
«1762-1240»,«暦日2»,五〳,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
«1762-1250»,«暦日0»,六〳,つちのとのみ,のそく,,　,神よし 母倉 ちう日 ふく日  かといてよし
«1762-1260»,«暦日2»,七〳,かのえむま,みつ,土,　,神よし 母倉 天火 らうしやく  みそすつくりよし
«1762-1270»,«暦日0»,八〳,かのとのひつし,たいら,,　,大みやう めつもん 地火
«1762-1280»,«暦日2»,九〳,みつのえさる,さたん,金,　,大みやう くゑ日
«1762-1290»,«暦日0»,十〳,みつのとのとり,とる,,八十八や,神よし 大みやう
«1762-1300»,«暦日2»,十一〳,きのえいぬ,やふる,火,　, くさかりよし
«1762-1310»,«暦日0»,十二〳,きのとのい,あやふ,,　,●
«1762-1320»,«暦日2»,十三〳,ひのえね,なる,水,　,きこ
«1762-1330»,«暦日0»,十四〳,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
«1762-1340»,«節中»,立夏四月せつみの六刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1762-1350»,«暦日2»,十五〳,つちのえとら,おさん,土,　,母倉 めつもん  たねまき  つめとりよし
«1762-1360»,«暦日0»,十六〳,つちのとのう,ひらく,,　,神よし 大みやう 天おん 母倉  入学よし
«1762-1370»,«暦日2»,十七〳,かのえたつ,とつ,金,　,天おん 月とく  けんふくよし
«1762-1380»,«暦日0»,十八〳,かのとのみ,たつ,,　,●
«1762-1390»,«暦日2»,十九〳,みつのえむま,のそく,木,　,神よし 大みやう 天おん ふく日
«1762-1400»,«暦日0»,廿〳,みつのとのひつし,みつ,,　,くゑ日
«1762-1410»,«暦日2»,廿一〳,きのえさる,たいら,水,十方くれニ入,きしく 大みやう ちいみ 大くわ 地火 わうまう
«1762-1420»,«暦日0»,廿二〳,きのとのとり,さたん,,　,十し
«1762-1430»,«暦日2»,廿三〳,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
«1762-1440»,«暦日0»,廿四〳,ひのとのい,やふる,,　,大みやう ちう日
«1762-1450»,«暦日2»,廿五〳,つちのえね,あやふ,火,　, けんふくよし
«1762-1460»,«暦日0»,廿六〳,つちのとのうし,なる,,　,きこ  つめとりよし
«1762-1470»,«暦日2»,廿七〳,かのえとら,おさん,木,　,母倉 月とく めつもん  さひらき  つめとりよし
«1762-1480»,«暦日0»,廿八〳,かのとのう,ひらく,,　,神よし 母倉  やたて ものたちよし
«1762-1490»,«暦日1»,廿九〳,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
«1762-1500»,«節中»,小満四月中さるの三刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1762-1510»,«暦日1»,卅〳,みつのとのみ,たつ,水,天一天上,●
«1762-1520»,«月序»,閏四月,小,隨節用之,心　月よう
«1762-1530»,«暦日2»,一〳,きのえむま,のそく,金,　,天しや よろつよし
«1762-1540»,«暦日0»,二〳,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
«1762-1550»,«暦日2»,三〳,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
«1762-1560»,«暦日0»,四〳,ひのとのとり,さたん,,　,十し
«1762-1570»,«暦日2»,五〳,つちのえいぬ,とる,木,　, くらたて かまぬりよし
«1762-1580»,«暦日0»,六〳,つちのとのい,やふる,,　,くゑ日 ちう日
«1762-1590»,«暦日2»,七〳,かのえね,あやふ,土,　,神よし 月とく  わたまし たねまきよし
«1762-1600»,«暦日0»,八〳,かのとのうし,なる,,　,五む日 きこ  つめとりよし
«1762-1610»,«暦日2»,九〳,みつのえとら,おさん,金,　,大みやう 母倉 ふく日 めつもん  つめとりよし
«1762-1620»,«暦日0»,十〳,みつのとのう,ひらく,,　,神よし 母倉  かといて さひらきよし
«1762-1630»,«暦日2»,十一〳,きのえたつ,とつ,火,　,大みやう
«1762-1640»,«暦日0»,十二〳,きのとのみ,たつ,,　,●
«1762-1650»,«暦日2»,十三〳,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
«1762-1660»,«暦日0»,十四〳,ひのとのひつし,のそく,,　,さい下しき 神よし ふく日
«1762-1670»,«節中»,芒種五月せついぬの八刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1762-1680»,«暦日2»,十五〳,つちのえさる,みつ,土,　,神よし  入学よし
«1762-1690»,«暦日0»,十六〳,つちのとのとり,たいら,,　,神よし 大みやう 天おん めつもん 地火
«1762-1700»,«暦日2»,十七〳,かのえいぬ,さたん,金,　,大みやう 天おん  かといてよし
«1762-1710»,«暦日0»,十八〳,かのとのい,とる,,　,神よし 大みやう 天おん 月とく ちう日  入学よし
«1762-1720»,«暦日2»,十九〳,みつのえね,やふる,木,入梅|八せんのはしめ,●
«1762-1730»,«暦日0»,廿〳,みつのとのうし,あやふ,,ま日,神よし 天おん ふく日  むきかり  つめとりよし
«1762-1740»,«暦日2»,廿一〳,きのえとら,なる,水,　,母倉 きこ  田うへ  つめとりよし
