《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/115 ～ 124
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1729g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1729h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《1490》,《暦日2》,廿六／,かのえね,あやふ,土,　,神よし  わたまし たねまきよし
《1500》,《暦日0》,廿七／,かのとのうし,なる,,　,五む日 きこ  つめとりよし
《1510》,《暦日2》,廿八／,みつのえとら,おさん,金,　,大みやう ふく日 めつもん  つめとりよし
《1520》,《暦日0》,廿九／,みつのとのう,ひらく,,　,神よし  かといて さひらきよし
《1530》,《暦日1》,卅／,きのえたつ,とつ,火,　,きしく 大みやう
《1540》,《月序》,五月,小,建,庚午,星宿　柳　土よう
《1550》,《暦日1》,一／,きのとのみ,たつ,火,　,●
《1560》,《暦日2》,二／,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
《1570》,《暦日0》,三／,ひのとのひつし,みつ,,　,くゑ日
《1580》,《暦日2》,四／,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
《1590》,《暦日0》,五／,つちのとのとり,さたん,,　,十し
《1600》,《暦日2》,六／,かのえいぬ,とる,金,　,大みやう  やたて くさかりよし
《1610》,《暦日0》,七／,かのとのい,やふる,,　,神よし 大みやう ちう日  さひらきよし
《1620》,《暦日2》,八／,みつのえね,あやふ,木,八せんのはしめ,神よし ふく日  くらたてよし
《1630》,《暦日0》,九／,みつのとのうし,なる,,ま日,きこ  つめとりよし
《1640》,《暦日1》,十／,きのえとら,なる,水,　,きこ  田うへ  つめとりよし
《1650》,《節中》,芒種五月せつ夜ねの初刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1660》,《暦日1》,十一／,きのとのう,おさん,水,　,ちいみ 大くわ  ものたちよし
《1670》,《暦日2》,十二／,ひのえたつ,ひらく,土,ま日,大みやう  けんふく いちたちよし
《1680》,《暦日0》,十三／,ひのとのみ,とつ,,　,十し
《1690》,《暦日2》,十四／,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
《1700》,《暦日0》,十五／,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
《1710》,《暦日2》,十六／,かのえさる,みつ,木,　,神よし 大みやう  入学 むきかりよし
《1720》,《暦日0》,十七／,かのとのとり,たいら,,　,神よし 大みやう めつもん 地火
《1730》,《暦日2》,十八／,みつのえいぬ,さたん,水,入梅/ま日, むきかりよし
《1740》,《暦日0》,十九／,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
《1750》,《暦日2》,廿／,きのえね,やふる,金,　,●
《1760》,《暦日0》,廿一／,きのとのうし,あやふ,,　,神よし  つめとりよし
《1770》,《暦日2》,廿二／,ひのえとら,なる,火,　,きこ  つめとりよし
《1780》,《暦日0》,廿三／,ひのとのう,おさん,,　,ちいみ 大くわ ふく日
《1790》,《暦日2》,廿四／,つちのえたつ,ひらく,木,　,五む日  かまぬり 田うへよし
《1800》,《暦日0》,廿五／,つちのとのみ,とつ,,　,十し
《1810》,《暦日1》,廿六／,かのえむま,たつ,土,　,下しきうの時  むきかりよし
《1820》,《節中》,夏至五月中とらの六刻日の出より日入まて,昼六十刻/夜四十刻,六より六まて,昼六十五刻/夜三十五刻
《1830》,《暦日1》,廿七／,かのとのひつし,のそく,土,　,大みやう  ふねのり 井ほりよし
《1840》,《暦日2》,廿八／,みつのえさる,みつ,金,　,神よし きしく 大みやう  くさかりよし
《1850》,《暦日0》,廿九／,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1860》,《月序》,六月,大,建,辛未,張宿　星　日よう
《1870》,《暦日2》,一／,きのえいぬ,さたん,火,　, わたまし くらたてよし
《1880》,《暦日0》,二／,きのとのい,とる,,　,ちう日  むきかり 田うへよし
《1890》,《暦日2》,三／,ひのえね,やふる,水,　,●
《1900》,《暦日0》,四／,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
《1910》,《暦日2》,五／,つちのえとら,なる,土,　,きこ  みそすつくり  つめとりよし
《1920》,《暦日0》,六／,つちのとのう,おさん,,　,大みやう ちいみ 大くわ
《1930》,《暦日2》,七／,かのえたつ,ひらく,金,はんけしやう, けんふく かといてよし
《1940》,《暦日0》,八／,かのとのみ,とつ,,　,十し
《1950》,《暦日2》,九／,みつのえむま,たつ,木,　,大みやう 下しきうの時
《1960》,《暦日0》,十／,みつのとのひつし,のそく,,　,ふく日  田うへよし
《1970》,《暦日2》,十一／,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
《1980》,《暦日0》,十二／,きのとのとり,みつ,,　,神よし ちいみ
《1990》,《節中》,小暑六月せつみの二刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《2000》,《暦日2》,十三／,ひのえいぬ,たいら,土,　,さい下しき 五む日 大くわ 地火
《2010》,《暦日0》,十四／,ひのとのい,さたん,,　,大みやう ちう日
《2020》,《暦日2》,十五／,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
《2030》,《暦日0》,十六／,つちのとのうし,やふる,,　,十し
《2040》,《暦日2》,十七／,かのえとら,あやふ,木,初伏, やたて  つめとりよし
《2050》,《暦日0》,十八／,かのとのう,なる,,　,神よし 天火 らうしやく
《2060》,《暦日2》,十九／,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
《2070》,《暦日0》,廿／,みつのとのみ,ひらく,,天一天上,ちう日  いちたちよし
《2080》,《暦日2》,廿一／,きのえむま,とつ,金,　,●
《2090》,《暦日0》,廿二／,きのとのひつし,たつ,,　,大みやう 五む日
《2100》,《暦日2》,廿三／,ひのえさる,のそく,火,　,神よし
《2110》,《暦日0》,廿四／,ひのとのとり,みつ,,とようひつしの三刻ニ入,神よし ちいみ  くさかりよし
《2120》,《暦日2》,廿五／,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
《2130》,《暦日0》,廿六／,つちのとのい,さたん,,　,ちう日 ふく日  ふねのりよし
