《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546783/97 ～ 101
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1710g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1710h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《1980》,《暦日2》,廿四／,つちのえむま,とつ,火,ま日,●
《1990》,《暦日0》,廿五／,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
《2000》,《暦日2》,廿六／,かのえさる,のそく,木,中伏,神よし 大みやう  くさかりよし
《2010》,《暦日0》,廿七／,かのとのとり,みつ,,六月中ねの七刻,神よし 大みやう ちいみ  ものたち 井ほりよし
《2020》,《暦日2》,廿八／,みつのえいぬ,たいら,水,ま日,大くわ 地火
《2030》,《暦日0》,廿九／,みつのとのい,さたん,,八せんのおはり,ちう日
《2040》,《月序》,七月,大,建,甲申,鬼宿　氐　土よう
《2050》,《暦日2》,一／,きのえね,とる,金,　,きこ 下しきたつの時
《2060》,《暦日0》,二／,きのとのうし,やふる,,　,十し
《2070》,《暦日2》,三／,ひのえとら,あやふ,火,　, わたまし  つめとりよし
《2080》,《暦日0》,四／,ひのとのう,なる,,　,さい下しき 神よし 天火 らうしやく
《2090》,《暦日2》,五／,つちのえたつ,おさん,木,　,五む日 ふく日 めつもん わうまう
《2100》,《暦日0》,六／,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
《2110》,《暦日2》,七／,かのえむま,とつ,土,　,●
《2120》,《暦日0》,八／,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
《2130》,《暦日2》,九／,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
《2140》,《暦日0》,十／,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
《2150》,《暦日2》,十一／,きのえいぬ,たいら,火,　,大くわ 地火  わたましよし
《2160》,《暦日0》,十二／,きのとのい,さたん,,　,ちう日
《2170》,《暦日2》,十三／,ひのえね,さたん,水,立秋七月せつうの四刻ニ入, 田かりよし
《2180》,《暦日0》,十四／,ひのとのうし,とる,,　,●
《2190》,《暦日1》,十五／,つちのえとら,やふる,土,　, つめとりよし
《2200》,《食記》,月帯そく八分
《2210》,《暦日1》,十六／,つちのとのう,あやふ,土,　,神よし 大みやう  みそすつくりよし
《2220》,《暦日2》,十七／,かのえたつ,なる,金,末伏,ちいみ ふく日  かといてよし
《2230》,《暦日0》,十八／,かのとのみ,おさん,,　,大くわ ちう日
《2240》,《暦日2》,十九／,みつのえむま,ひらく,木,　,神よし 大みやう 天火 らうしやく
《2250》,《暦日0》,廿／,みつのとのひつし,とつ,,　
