«1723-0000»,【 カンマ区切りテキスト形式です。】
«1723-1900»,«暦日0»,十六〳,みつのとのい,さたん,,八せんのおはり,ちう日
«1723-1910»,«暦日2»,十七〳,きのえね,とる,金,　,きこ 下しきたつの時
«1723-1920»,«暦日0»,十八〳,きのとのうし,やふる,,　,十し
«1723-1930»,«暦日2»,十九〳,ひのえとら,あやふ,火,とようとらの初刻ニ入, わたまし  つめとりよし
«1723-1940»,«暦日0»,廿〳,ひのとのう,なる,,　,神よし 天火 らうしやく
«1723-1950»,«暦日2»,廿一〳,つちのえたつ,おさん,木,　,五む日 ふく日 めつもん
«1723-1960»,«暦日0»,廿二〳,つちのとのみ,ひらく,,六月中とらの四刻,くゑ日 ちう日 ふく日
«1723-1970»,«暦日2»,廿三〳,かのえむま,とつ,土,中伏,●
«1723-1980»,«暦日0»,廿四〳,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
«1723-1990»,«暦日2»,廿五〳,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
«1723-2000»,«暦日0»,廿六〳,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
«1723-2010»,«暦日2»,廿七〳,きのえいぬ,たいら,火,　,大くわ 地火  わたましよし
«1723-2020»,«暦日0»,廿八〳,きのとのい,さたん,,　,ちう日
«1723-2030»,«暦日2»,廿九〳,ひのえね,とる,水,　,きしく きこ わうまう 下しきたつの時
«1723-2040»,«暦日0»,卅〳,ひのとのうし,やふる,,　,十し
«1723-2050»,«月序»,七月,大,建,庚申,虛宿　星　日よう
«1723-2060»,«暦日2»,一〳,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
«1723-2070»,«暦日0»,二〳,つちのとのう,なる,,　,神よし 大みやう ふく日 天火 らうしやく
«1723-2080»,«暦日2»,三〳,かのえたつ,おさん,金,　,めつもん  けんふくよし
«1723-2090»,«暦日0»,四〳,かのとのみ,ひらく,,　,ちう日  ものたちよし
«1723-2100»,«暦日2»,五〳,みつのえむま,とつ,木,　,●
«1723-2110»,«暦日0»,六〳,みつのとのひつし,たつ,,　, たねまきよし
«1723-2120»,«暦日2»,七〳,きのえさる,たつ,水,立秋七月せつみの一刻ニ入|十方くれニ入,神よし 大みやう ふく日 下しきみの時
«1723-2130»,«暦日0»,八〳,きのとのとり,のそく,,　,十し
«1723-2140»,«暦日2»,九〳,ひのえいぬ,みつ,土,　,五む日
«1723-2150»,«暦日0»,十〳,ひのとのい,たいら,,　,大みやう ちう日 めつもん 地火
«1723-2160»,«暦日2»,十一〳,つちのえね,さたん,火,　, けんふく くさかりよし
«1723-2170»,«暦日0»,十二〳,つちのとのうし,とる,,　,●
«1723-2180»,«暦日2»,十三〳,かのえとら,やふる,木,末伏,ふく日  つめとりよし
«1723-2190»,«暦日0»,十四〳,かのとのう,あやふ,,　,神よし
«1723-2200»,«暦日2»,十五〳,みつのえたつ,なる,水,　,さい下しき 大みやう 五む日 ちいみ わうまう
