«1754-0000»,【 カンマ区切りテキスト形式です。】
«1754-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1754-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1754-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1754-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1754-0050»,【 外部リンク　】
«1754-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/43 ～ 48】
«1754-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1754h　(翻刻編集終了データを表成型して表示します)】
«1754-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1754ht (翻刻編集中データを表成型して表示します)】
«1754-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1754-0100»,«版元»,出版地○○,出版元□□□,　
«1754-1290»,«暦日2»,九〳,つちのえね,なる,火,　,きこ ふく日
«1754-1300»,«暦日0»,十〳,つちのとのうし,おさん,,　,十し
«1754-1310»,«暦日2»,十一〳,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
«1754-1320»,«暦日0»,十二〳,かのとのう,とつ,,八十八や,神よし  わたまし ものたちよし
«1754-1330»,«暦日2»,十三〳,みつのえたつ,たつ,水,　,大みやう 五む日
«1754-1340»,«暦日0»,十四〳,みつのとのみ,のそく,,天一天上,ちう日  けんふくよし
«1754-1350»,«暦日2»,十五〳,きのえむま,みつ,金,　,神よし 天火 らうしやく  ふねのりよし
«1754-1360»,«暦日0»,十六〳,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
«1754-1370»,«節中»,立夏四月せつむまの四刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1754-1380»,«暦日2»,十七〳,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
«1754-1390»,«暦日0»,十八〳,ひのとのとり,さたん,,　,十し
«1754-1400»,«暦日2»,十九〳,つちのえいぬ,とる,木,　, くらたて かまぬりよし
«1754-1410»,«暦日0»,廿〳,つちのとのい,やふる,,　,くゑ日 ちう日
«1754-1420»,«暦日2»,廿一〳,かのえね,あやふ,土,　,神よし  わたまし たねまきよし
«1754-1430»,«暦日0»,廿二〳,かのとのうし,なる,,　,五む日 きこ  つめとりよし
«1754-1440»,«暦日2»,廿三〳,みつのえとら,おさん,金,　,大みやう ふく日 めつもん わうまう  つめとりよし
«1754-1450»,«暦日0»,廿四〳,みつのとのう,ひらく,,　,神よし  かといて さひらきよし
«1754-1460»,«暦日2»,廿五〳,きのえたつ,とつ,火,　,大みやう
«1754-1470»,«暦日0»,廿六〳,きのとのみ,たつ,,　,●
«1754-1480»,«暦日2»,廿七〳,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
«1754-1490»,«暦日0»,廿八〳,ひのとのひつし,みつ,,　,くゑ日
«1754-1500»,«暦日2»,廿九〳,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
«1754-1510»,«暦日0»,卅〳,つちのとのとり,さたん,,　,十し
«1754-1520»,«月序»,四月,大,建,己巳,婁宿　參　水よう
«1754-1530»,«暦日1»,一〳,かのえいぬ,とる,金,　,大みやう  やたて くさかりよし
«1754-1540»,«節中»,小満四月中とりの一刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1754-1550»,«暦日1»,二〳,かのとのい,やふる,金,　,さい下しき 神よし 大みやう ちう日  さひらきよし
«1754-1560»,«暦日2»,三〳,みつのえね,あやふ,木,八せんのはしめ,神よし きしく ふく日  くらたてよし
«1754-1570»,«暦日0»,四〳,みつのとのうし,なる,,ま日,きこ  つめとりよし
«1754-1580»,«暦日2»,五〳,きのえとら,おさん,水,　,めつもん  つめとりよし
«1754-1590»,«暦日0»,六〳,きのとのう,ひらく,,　,神よし  さひらきよし
«1754-1600»,«暦日2»,七〳,ひのえたつ,とつ,土,ま日,大みやう ふく日
«1754-1610»,«暦日0»,八〳,ひのとのみ,たつ,,　,●
«1754-1620»,«暦日2»,九〳,つちのえむま,のそく,火,ま日,くゑ日
«1754-1630»,«暦日0»,十〳,つちのとのひつし,みつ,,　,大みやう くゑ日
«1754-1640»,«暦日2»,十一〳,かのえさる,たいら,木,　,神よし 大みやう ちいみ 大くわ 地火
«1754-1650»,«暦日0»,十二〳,かのとのとり,さたん,,　,十し
«1754-1660»,«暦日2»,十三〳,みつのえいぬ,とる,水,ま日,ふく日
«1754-1670»,«暦日0»,十四〳,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
«1754-1680»,«暦日2»,十五〳,きのえね,あやふ,金,　
«1754-1690»,«暦日0»,十六〳,きのとのうし,あやふ,,　,神よし  つめとりよし
«1754-1700»,«節中»,芒種五月せついの六刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1754-1710»,«暦日2»,十七〳,ひのえとら,なる,火,　,きこ  つめとりよし
«1754-1720»,«暦日0»,十八〳,ひのとのう,おさん,,　,ちいみ 大くわ ふく日
«1754-1730»,«暦日2»,十九〳,つちのえたつ,ひらく,木,　,五む日  かまぬり 田うへよし
«1754-1740»,«暦日0»,廿〳,つちのとのみ,とつ,,　,十し
«1754-1750»,«暦日2»,廿一〳,かのえむま,たつ,土,　,下しきうの時  むきかりよし
«1754-1760»,«暦日0»,廿二〳,かのとのひつし,のそく,,　,大みやう  ふねのり 井ほりよし
«1754-1770»,«暦日2»,廿三〳,みつのえさる,みつ,金,入梅,神よし 大みやう  くさかりよし
«1754-1780»,«暦日0»,廿四〳,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1754-1790»,«暦日2»,廿五〳,きのえいぬ,さたん,火,　, わたまし くらたてよし
«1754-1800»,«暦日0»,廿六〳,きのとのい,とる,,　,ちう日  むきかり 田うへよし
«1754-1810»,«暦日2»,廿七〳,ひのえね,やふる,水,　,●
«1754-1820»,«暦日0»,廿八〳,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
«1754-1830»,«暦日2»,廿九〳,つちのえとら,なる,土,　,きこ  みそすつくり  つめとりよし
«1754-1840»,«暦日0»,卅〳,つちのとのう,おさん,,　,大みやう ちいみ 大くわ
«1754-1850»,«月序»,五月,小,建,庚午,胃宿　鬼　金よう
«1754-1860»,«暦日2»,一〳,かのえたつ,ひらく,金,　,きしく わうまう  けんふく かといてよし
«1754-1870»,«暦日0»,二〳,かのとのみ,とつ,,　,十し
«1754-1880»,«節中»,夏至五月中とらの三刻日の出より日入まて,昼六十刻|夜四十刻,六より六まて,昼六十五刻|夜三十五刻
«1754-1890»,«暦日2»,三〳,みつのえむま,たつ,木,　,大みやう 下しきうの時
«1754-1900»,«暦日0»,四〳,みつのとのひつし,のそく,,　,ふく日  田うへよし
«1754-1910»,«暦日2»,五〳,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
«1754-1920»,«暦日0»,六〳,きのとのとり,たいら,,　,神よし めつもん 地火
«1754-1930»,«暦日2»,七〳,ひのえいぬ,さたん,土,　,五む日  むきかりよし
«1754-1940»,«暦日0»,八〳,ひのとのい,とる,,　,大みやう ちう日 ふく日
«1754-1950»,«暦日2»,九〳,つちのえね,やふる,火,　,●
«1754-1960»,«暦日0»,十〳,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
«1754-1970»,«暦日2»,十一〳,かのえとら,なる,木,　,きこ  井ほり  つめとりよし
«1754-1980»,«暦日0»,十二〳,かのとのう,おさん,,はんけしやう,ちいみ 大くわ  ものたちよし
«1754-1990»,«暦日2»,十三〳,みつのえたつ,ひらく,水,　,大みやう 五む日
«1754-2000»,«暦日0»,十四〳,みつのとのみ,とつ,,天一天上,十し
«1754-2010»,«暦日2»,十五〳,きのえむま,たつ,金,　,天しや よろつよし
«1754-2020»,«暦日0»,十六〳,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
«1754-2030»,«暦日1»,十七〳,ひのえさる,のそく,火,　,神よし
«1754-2040»,«節中»,小暑六月せつみの初刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1754-2050»,«暦日1»,十八〳,ひのとのとり,みつ,火,　,神よし ちいみ  くさかりよし
«1754-2060»,«暦日2»,十九〳,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
«1754-2070»,«暦日0»,廿〳,つちのとのい,さたん,,　,ちう日 ふく日  ふねのりよし
«1754-2080»,«暦日2»,廿一〳,かのえね,とる,土,　,きこ 下しきたつの時
«1754-2090»,«暦日0»,廿二〳,かのとのうし,やふる,,　,十し
«1754-2100»,«暦日2»,廿三〳,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
«1754-2110»,«暦日0»,廿四〳,みつのとのう,なる,,　,神よし 天火 らうしやく
«1754-2120»,«暦日2»,廿五〳,きのえたつ,おさん,火,　,大みやう めつもん  わたましよし
«1754-2130»,«暦日0»,廿六〳,きのとのみ,ひらく,,　,大みやう ちう日
«1754-2140»,«暦日2»,廿七〳,ひのえむま,とつ,水,　,●
«1754-2150»,«暦日0»,廿八〳,ひのとのひつし,たつ,,　,くゑ日
«1754-2160»,«暦日1»,廿九〳,つちのえさる,のそく,土,とようひつしの一刻ニ入,神よし きしく ふく日  たねまきよし
«1754-2170»,«月序»,六月,小,建,辛未,昴宿　柳　土よう
«1754-2180»,«暦日1»,一〳,つちのとのとり,みつ,土,　,神よし 大みやう ちいみ ふく日
«1754-2190»,«暦日2»,二〳,かのえいぬ,たいら,金,初伏,大みやう 大くわ 地火
«1754-2200»,«暦日0»,三〳,かのとのい,さたん,,　,さい下しき 大みやう ちう日
«1754-2210»,«節中»,大暑六月中ひつしの五刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1754-2220»,«暦日2»,四〳,みつのえね,とる,木,八せんのはしめ,きこ 下しきたつの時
«1754-2230»,«暦日0»,五〳,みつのとのうし,やふる,,ま日,十し
«1754-2240»,«暦日2»,六〳,きのえとら,あやふ,水,　, やたて  つめとりよし
«1754-2250»,«暦日0»,七〳,きのとのう,なる,,　,神よし 天火 らうしやく
«1754-2260»,«暦日2»,八〳,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
«1754-2270»,«暦日0»,九〳,ひのとのみ,ひらく,,　,くゑ日 ちう日
«1754-2280»,«暦日2»,十〳,つちのえむま,とつ,火,ま日,●
«1754-2290»,«暦日0»,十一〳,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日 わうまう
«1754-2300»,«暦日2»,十二〳,かのえさる,のそく,木,中伏,神よし 大みやう  くさかりよし
«1754-2310»,«暦日0»,十三〳,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
«1754-2320»,«暦日2»,十四〳,みつのえいぬ,たいら,水,ま日,大くわ 地火
«1754-2330»,«暦日0»,十五〳,みつのとのい,さたん,,八せんのおはり,ちう日
«1754-2340»,«暦日2»,十六〳,きのえね,とる,金,　,きこ 下しきたつの時
«1754-2350»,«暦日0»,十七〳,きのとのうし,やふる,,　,十し
«1754-2360»,«暦日1»,十八〳,ひのえとら,やふる,火,　, けんふく  つめとりよし
«1754-2370»,«節中»,立秋七月せついぬの二刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1754-2380»,«暦日1»,十九〳,ひのとのう,あやふ,火,　,神よし  わたましよし
«1754-2390»,«暦日2»,廿〳,つちのえたつ,なる,木,　,五む日 ちいみ  いちたちよし
«1754-2400»,«暦日0»,廿一〳,つちのとのみ,おさん,,　,神よし 大くわ ちう日
«1754-2410»,«暦日2»,廿二〳,かのえむま,ひらく,土,末伏,神よし ふく日 天火 らうしやく
«1754-2420»,«暦日0»,廿三〳,かのとのひつし,とつ,,　,大みやう  ものたちよし
«1754-2430»,«暦日2»,廿四〳,みつのえさる,たつ,金,　,神よし 大みやう 下しきみの時
«1754-2440»,«暦日0»,廿五〳,みつのとのとり,のそく,,　,十し
«1754-2450»,«暦日2»,廿六〳,きのえいぬ,みつ,火,　,ふく日 わうまう  くらたてよし
«1754-2460»,«暦日0»,廿七〳,きのとのい,たいら,,　,ちう日 めつもん 地火
«1754-2470»,«暦日2»,廿八〳,ひのえね,さたん,水,　,きしく  田かりよし
«1754-2480»,«暦日0»,廿九〳,ひのとのうし,とる,,　,●
«1754-2490»,«月序»,七月,大,建,壬申,畢宿　星　日よう
«1754-2500»,«暦日2»,一〳,つちのえとら,やふる,土,　, たねまき  つめとりよし
«1754-2510»,«暦日0»,二〳,つちのとのう,あやふ,,　,神よし 大みやう  みそすつくりよし
«1754-2520»,«暦日2»,三〳,かのえたつ,なる,金,　,ちいみ ふく日  かといてよし
«1754-2530»,«暦日0»,四〳,かのとのみ,おさん,,　,大くわ ちう日
«1754-2540»,«暦日1»,五〳,みつのえむま,ひらく,木,　,神よし 大みやう 天火 らうしやく
«1754-2550»,«節中»,処暑七月中ねの七刻日の出より日入まて,昼五十五刻余|夜四十四刻余,六より六まて,昼六十刻余|夜三十九刻余
«1754-2560»,«暦日1»,六〳,みつのとのひつし,とつ,木,　
«1754-2570»,«暦日2»,七〳,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
«1754-2580»,«暦日0»,八〳,きのとのとり,のそく,,　,十し
