«1714-0000»,【 カンマ区切りテキスト形式です。】
«1714-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1714-1400»,«暦日0»,廿八〳,つちのとのい,とる,,　,神よし ちう日
«1714-1410»,«暦日1»,廿九〳,かのえね,やふる,土,　,●
«1714-1420»,«月序»,五月,大,建,庚午,室宿　觜　火よう
«1714-1430»,«暦日1»,一〳,かのとのうし,あやふ,土,　,神よし 五む日  つめとりよし
«1714-1440»,«暦日2»,二〳,みつのえとら,なる,金,入梅,大みやう きこ  くさかり  つめとりよし
«1714-1450»,«暦日0»,三〳,みつのとのう,おさん,,　,ちいみ 大くわ ふく日
«1714-1460»,«暦日2»,四〳,きのえたつ,ひらく,火,　,きしく 大みやう  むきかり 田うへよし
«1714-1470»,«暦日0»,五〳,きのとのみ,とつ,,　,十し
«1714-1480»,«暦日2»,六〳,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
«1714-1490»,«暦日0»,七〳,ひのとのひつし,のそく,,　,さい下しき 神よし ふく日
«1714-1500»,«暦日2»,八〳,つちのえさる,みつ,土,　,神よし  入学よし
«1714-1510»,«暦日0»,九〳,つちのとのとり,たいら,,　,神よし 大みやう めつもん 地火
«1714-1520»,«暦日2»,十〳,かのえいぬ,さたん,金,　,大みやう  かといてよし
«1714-1530»,«暦日0»,十一〳,かのとのい,とる,,夏至五月中ひつしの一刻,大みやう ちう日 わうまう  入学よし
«1714-1540»,«暦日2»,十二〳,みつのえね,やふる,木,八せんのはしめ,●
«1714-1550»,«暦日0»,十三〳,みつのとのうし,あやふ,,ま日,神よし ふく日  むきかり  つめとりよし
«1714-1560»,«暦日2»,十四〳,きのえとら,なる,水,　,きこ  田うへ  つめとりよし
«1714-1570»,«暦日0»,十五〳,きのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
«1714-1580»,«暦日2»,十六〳,ひのえたつ,ひらく,土,ま日,大みやう  けんふく いちたちよし
«1714-1590»,«暦日0»,十七〳,ひのとのみ,とつ,,　,十し
«1714-1600»,«暦日2»,十八〳,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
«1714-1610»,«暦日0»,十九〳,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
«1714-1620»,«暦日2»,廿〳,かのえさる,みつ,木,　,神よし 大みやう  入学 むきかりよし
«1714-1630»,«暦日0»,廿一〳,かのとのとり,たいら,,はんけしやう,神よし 大みやう めつもん 地火
«1714-1640»,«暦日2»,廿二〳,みつのえいぬ,さたん,水,ま日, むきかりよし
«1714-1650»,«暦日0»,廿三〳,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
«1714-1660»,«暦日2»,廿四〳,きのえね,やふる,金,　,●
«1714-1670»,«暦日0»,廿五〳,きのとのうし,あやふ,,　,神よし  つめとりよし
«1714-1680»,«暦日2»,廿六〳,ひのえとら,あやふ,火,六月せつとりの七刻ニ入, わたまし  つめとりよし
«1714-1690»,«暦日0»,廿七〳,ひのとのう,なる,,　,神よし 天火 らうしやく
«1714-1700»,«暦日2»,廿八〳,つちのえたつ,おさん,木,　,五む日 ふく日 めつもん
«1714-1710»,«暦日0»,廿九〳,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
«1714-1720»,«暦日1»,卅〳,かのえむま,とつ,土,　,●
«1714-1730»,«月序»,六月,小,建,辛未,壁宿　井　木よう
«1714-1740»,«暦日1»,一〳,かのとのひつし,たつ,土,　,大みやう  かといて ふねのりよし
«1714-1750»,«暦日2»,二〳,みつのえさる,のそく,金,　,神よし きしく 大みやう  くさかりよし
«1714-1760»,«暦日0»,三〳,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
«1714-1770»,«暦日2»,四〳,きのえいぬ,たいら,火,　,大くわ 地火  わたましよし
«1714-1780»,«暦日0»,五〳,きのとのい,さたん,,　,ちう日
«1714-1790»,«暦日2»,六〳,ひのえね,とる,水,　,きこ 下しきたつの時
«1714-1800»,«暦日0»,七〳,ひのとのうし,やふる,,　,十し
«1714-1810»,«暦日2»,八〳,つちのえとら,あやふ,土,とよういの七刻ニ入,ふく日  たねまき  つめとりよし
«1714-1820»,«暦日0»,九〳,つちのとのう,なる,,　,神よし 大みやう ふく日 天火 らうしやく
«1714-1830»,«暦日2»,十〳,かのえたつ,おさん,金,初伏,めつもん  けんふくよし
«1714-1840»,«暦日0»,十一〳,かのとのみ,ひらく,,六月中夜ねの三刻,ちう日  ものたちよし
«1714-1850»,«暦日2»,十二〳,みつのえむま,とつ,木,　,●
«1714-1860»,«暦日0»,十三〳,みつのとのひつし,たつ,,　, たねまきよし
«1714-1870»,«暦日2»,十四〳,きのえさる,のそく,水,十方くれニ入,神よし 大みやう
«1714-1880»,«暦日0»,十五〳,きのとのとり,みつ,,　,神よし ちいみ
«1714-1890»,«暦日2»,十六〳,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
«1714-1900»,«暦日0»,十七〳,ひのとのい,さたん,,　,大みやう ちう日
«1714-1910»,«暦日2»,十八〳,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
«1714-1920»,«暦日0»,十九〳,つちのとのうし,やふる,,　,十し
«1714-1930»,«暦日2»,廿〳,かのえとら,あやふ,木,中伏, やたて  つめとりよし
«1714-1940»,«暦日0»,廿一〳,かのとのう,なる,,　,神よし 天火 らうしやく
«1714-1950»,«暦日2»,廿二〳,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
«1714-1960»,«暦日0»,廿三〳,みつのとのみ,ひらく,,天一天上,ちう日  いちたちよし
«1714-1970»,«暦日2»,廿四〳,きのえむま,とつ,金,　,●
«1714-1980»,«暦日0»,廿五〳,きのとのひつし,たつ,,　,大みやう 五む日
«1714-1990»,«暦日2»,廿六〳,ひのえさる,のそく,火,　,神よし
«1714-2000»,«暦日0»,廿七〳,ひのとのとり,のそく,,立秋七月せつうの初刻ニ入,十し
«1714-2010»,«暦日2»,廿八〳,つちのえいぬ,みつ,木,　, くらたて かまぬりよし
«1714-2020»,«暦日0»,廿九〳,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
«1714-2030»,«月序»,七月,大,建,壬申,奎宿　鬼　金よう
«1714-2040»,«暦日2»,一〳,かのえね,さたん,土,末伏,神よし きしく ふく日
«1714-2050»,«暦日0»,二〳,かのとのうし,とる,,　,●
«1714-2060»,«暦日2»,三〳,みつのえとら,やふる,金,　,大みやう  やたて  つめとりよし
