«1860-0000»,【 カンマ区切りテキスト形式です。】
«1860-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1860-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1860-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1860-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1860-0050»,【 外部リンク　】
«1860-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546787/64 ～ 73】
«1860-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1860h　(翻刻編集終了データを表成型して表示します)】
«1860-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1860ht (翻刻編集中データを表成型して表示します)】
«1860-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1860-0100»,«版元»,出版地○○,出版元□□□,　
«1860-1440»,«暦日2»,廿四〳,つちのえむま,のそく,火,ま日,くゑ日
«1860-1450»,«暦日0»,廿五〳,つちのとのひつし,みつ,,　,大みやう くゑ日
«1860-1460»,«暦日2»,廿六〳,かのえさる,たいら,木,　,神よし 大みやう 月とく ちいみ 大くわ 地火
«1860-1470»,«暦日0»,廿七〳,かのとのとり,さたん,,　,十し
«1860-1480»,«暦日2»,廿八〳,みつのえいぬ,とる,水,ま日,ふく日
«1860-1490»,«暦日0»,廿九〳,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
«1860-1500»,«暦日1»,卅〳,きのえね,あやふ,金,　,天おん
«1860-1510»,«月序»,四月,小,建,辛巳,軫宿　危　月よう
«1860-1520»,«暦日1»,一〳,きのとのうし,なる,金,　,天おん 月とく きこ  かまぬり  つめとりよし
«1860-1530»,«節中»,小満四月中明六時八分日の出より日入まて,昼五十八刻余|夜四十一刻半余,六より六まて,昼六十四刻|夜三十六刻
«1860-1540»,«暦日2»,二〳,ひのえとら,おさん,火,　,天おん 母倉 ふく日 めつもん  つめとりよし
«1860-1550»,«暦日0»,三〳,ひのとのう,ひらく,,　,神よし 天おん 母倉  わたましよし
«1860-1560»,«暦日2»,四〳,つちのえたつ,とつ,木,　,五む日 くゑ日
«1860-1570»,«暦日0»,五〳,つちのとのみ,たつ,,　,●
«1860-1580»,«暦日2»,六〳,かのえむま,のそく,土,　,神よし 月とく  さひらき みそすつくりよし
«1860-1590»,«暦日0»,七〳,かのとのひつし,みつ,,　,大みやう くゑ日
«1860-1600»,«暦日2»,八〳,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
«1860-1610»,«暦日0»,九〳,みつのとのとり,さたん,,　,十し
«1860-1620»,«暦日2»,十〳,きのえいぬ,とる,火,　, やたて くらたてよし
«1860-1630»,«暦日0»,十一〳,きのとのい,やふる,,　,月とく ちう日
«1860-1640»,«暦日2»,十二〳,ひのえね,あやふ,水,　,きしく ふく日  さひらきよし
«1860-1650»,«暦日0»,十三〳,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
«1860-1660»,«暦日2»,十四〳,つちのえとら,おさん,土,　,母倉 めつもん  たねまき  つめとりよし
«1860-1670»,«暦日0»,十五〳,つちのとのう,ひらく,,　,神よし 大みやう 天おん 母倉  入学よし
«1860-1680»,«暦日1»,十六〳,かのえたつ,ひらく,金,　,天おん  けんふく かといてよし
«1860-1690»,«節中»,芒種五月せつ夜五時四分ニ入日の出より日入まて,昼五十九刻半|夜四十刻半,六より六まて,昼六十五刻余|夜三十四刻半余
«1860-1700»,«暦日1»,十七〳,かのとのみ,とつ,金,　,十し
«1860-1710»,«暦日2»,十八〳,みつのえむま,たつ,木,入梅,大みやう 天おん 下しきうの時
«1860-1720»,«暦日0»,十九〳,みつのとのひつし,のそく,,　,天おん ふく日  田うへよし
«1860-1730»,«暦日2»,廿〳,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
«1860-1740»,«暦日0»,廿一〳,きのとのとり,たいら,,　,神よし めつもん 地火
«1860-1750»,«暦日2»,廿二〳,ひのえいぬ,さたん,土,　,月とく 五む日  むきかりよし
«1860-1760»,«暦日0»,廿三〳,ひのとのい,とる,,　,大みやう ちう日 ふく日
«1860-1770»,«暦日2»,廿四〳,つちのえね,やふる,火,　,●
«1860-1780»,«暦日0»,廿五〳,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
«1860-1790»,«暦日2»,廿六〳,かのえとら,なる,木,　,母倉 きこ  井ほり  つめとりよし
«1860-1800»,«暦日0»,廿七〳,かのとのう,おさん,,　,母倉 月とく ちいみ 大くわ  ものたちよし
«1860-1810»,«暦日2»,廿八〳,みつのえたつ,ひらく,水,　,大みやう 五む日
«1860-1820»,«暦日0»,廿九〳,みつのとのみ,とつ,,天一天上,十し
«1860-1830»,«月序»,五月,小,建,壬午,角宿　室　火よう
«1860-1840»,«暦日2»,一〳,きのえむま,たつ,金,　,天しや よろつよし
«1860-1850»,«暦日0»,二〳,きのとのひつし,のそく,,　,大みやう 五む日 わうまう  むきかりよし
«1860-1860»,«暦日1»,三〳,ひのえさる,みつ,火,　,神よし 月とく  入学 いちたちよし
«1860-1870»,«節中»,夏至五月中昼八時日の出より日入まて,昼五十九刻半余|夜四十刻余,六より六まて,昼六十五刻半余|夜三十四刻余
«1860-1880»,«暦日1»,四〳,ひのとのとり,たいら,火,　,さい下しき 神よし ふく日 めつもん 地火
«1860-1890»,«暦日2»,五〳,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
«1860-1900»,«暦日0»,六〳,つちのとのい,とる,,　,神よし ちう日
«1860-1910»,«暦日2»,七〳,かのえね,やふる,土,　,●
«1860-1920»,«暦日0»,八〳,かのとのうし,あやふ,,　,神よし 月とく 五む日  つめとりよし
«1860-1930»,«暦日2»,九〳,みつのえとら,なる,金,　,大みやう 母倉 きこ  くさかり  つめとりよし
«1860-1940»,«暦日0»,十〳,みつのとのう,おさん,,　,母倉 ちいみ 大くわ ふく日
«1860-1950»,«暦日2»,十一〳,きのえたつ,ひらく,火,　,きしく 大みやう  むきかり 田うへよし
«1860-1960»,«暦日0»,十二〳,きのとのみ,とつ,,　,十し
